fps,policy_loss,explained_variance,value_loss,advantage_norm,episode_length,epoch_idx,policy_entropy,P09:episode_rewards,PMM:episode_rewards,P01:episode_rewards,grad_norm,frames
545,-0.08314829045906663,-7.987844141721726,1.4215745892319864,5.685431401953101,168.125,1,1.2475005082786084,3.0,0.975,0.0,35.72609596811436,8000
326,-0.0010922449304780458,-12.617265235185624,0.006101682121059184,0.7510984540358185,182.82558139534885,2,1.3368886959552766,4.5,1.4186046511627908,0.0,0.15760433206594915,16000
360,-0.00048177820979617537,-8.264160941243171,0.005815248983831225,0.7001626013591885,188.36,3,1.351418707370758,4.0,1.56,0.0,0.13413898583154807,24000
380,-0.0004483496843022294,-5.147754371166229,0.004892017653778566,0.6549092812463642,173.33,4,1.3682927286624909,3.0,1.18,0.0,0.10098067276126926,32000
394,0.0008608533264487051,-4.620534045100212,0.005412014706878381,0.6722823338676244,168.32,5,1.3710550498962402,2.0,1.06,0.0,0.13273922274716463,40000
401,0.0010391593854728854,-2.7825492721796037,0.005287057966781959,0.7014022324234247,169.97,6,1.3834378123283386,2.1000000000000085,1.1,0.0,0.08886512404978916,48000
408,0.0010441528025694423,-2.715808491110802,0.005742042632386983,0.744788747932762,171.59,7,1.3850404918193817,3.0,1.11,0.0,0.12039618599922002,56000
414,0.0017986447317525744,-3.96599126636982,0.005452979245610549,0.6632650715764612,176.72,8,1.384274572134018,3.0,1.21,0.0,0.08367879888633639,64000
417,-0.0012468752919812687,-2.5538868367671967,0.006030133418071273,0.7632503944821656,182.08,9,1.3837789809703827,3.0,1.39,0.0,0.09698971260480091,72000
420,0.0011511678647366352,-2.408457199335098,0.005892972820161049,0.751503922753036,187.18,10,1.3853461277484893,3.1000000000000085,1.49,0.0,0.08324698480717059,80000
422,0.0007883070106618107,-2.0234419298171997,0.005297679766008514,0.680906316768378,185.04,11,1.3841241574287415,4.0,1.44,0.0,0.08475290335441332,88000
425,-0.00018896301422500984,-1.2871615731716155,0.006032245791179776,0.7570852964371443,184.01,12,1.3836781883239746,4.0,1.4,0.0,0.09943778225939078,96000
427,-0.0012755832436960191,-1.6159991025924683,0.005561939186145537,0.7086427471786737,187.62,13,1.3853395092487335,4.0,1.53,0.0,0.08251826623524078,104000
429,0.0002132926679769298,-2.3646818792819975,0.004957175287977407,0.6755085833370685,182.16,14,1.3838679361343384,4.0,1.48,0.0,0.08486315942916177,112000
430,0.0005055235057807295,-3.3684579485654833,0.004582827646681835,0.6300026113167405,171.25,15,1.3852560818195343,3.0,1.15,0.0,0.07477496345966746,120000
432,0.00027805724210338667,-1.36036289870739,0.006169755569417248,0.7804709124565125,180.08,16,1.3828010272979736,4.0,1.34,0.0,0.10164970807850664,128000
433,0.00013501120964065194,-2.2198114693164825,0.004651441590176546,0.6504634169489145,181.46,17,1.3852927458286286,4.0,1.33,0.0,0.0860568741338202,136000
434,0.00012774991992046126,-2.6083260583877563,0.00531053773248459,0.6794045954942703,180.72,18,1.3835129272937774,4.0,1.35,0.0,0.09648990201327895,144000
435,0.0002751545014325529,-2.1447264474630354,0.00542798320429938,0.7092300760373473,176.99,19,1.3849097192287445,3.0,1.29,0.0,0.09925947647554997,152000
436,0.00013234559024567717,-2.019153183102608,0.00605031363773378,0.7773598973453045,180.69,20,1.3823581075668334,3.0,1.36,0.0,0.10971707406088355,160000
437,1.7712816770654172e-06,-2.0302876126766205,0.005041070970801229,0.7080491917580366,194.52,21,1.3796511423587798,4.0,1.71,0.0,0.10853742209307332,168000
438,0.00011448518198449164,-2.4125301033258437,0.004480360878696956,0.6909609164297581,189.63,22,1.3828937470912934,4.0,1.61,0.0,0.13099696869897803,176000
438,0.0004818184918258339,-2.335352663397789,0.004419520764677145,0.6793101452291012,183.86,23,1.3839646208286285,3.1000000000000085,1.41,0.0,0.1194492085757185,184000
439,0.0007161629339680075,-3.0463748866319658,0.004093940675811609,0.6806768946349621,182.87,24,1.3852646625041962,3.1000000000000085,1.42,0.0,0.1286172537247762,192000
440,0.0004536154276866,-1.7565504384040833,0.0034937464516769977,0.6159801058471203,181.01,25,1.3850446701049806,3.0,1.35,0.0,0.11905745743405984,200000
440,9.291997193940915e-05,-2.887321845293045,0.0028616874054569054,0.5454706015437841,180.44,26,1.3789800477027894,3.0,1.26,0.0,0.10690777925983834,208000
440,-0.0009778089718292904,-3.401481097340584,0.0032990818994221628,0.5616789072006941,179.54,27,1.3847244322299956,3.0,1.24,0.0,0.12115430925845473,216000
441,-1.145710062701255e-05,-1.9911938005685805,0.003925944859183801,0.659295382425189,191.44,28,1.3831275343894958,4.0,1.51,0.0,0.11214215840964391,224000
441,0.0012411889198119751,-9.589561583399773,0.003666777350008488,0.6159131605923176,198.03,29,1.3828288221359253,4.1000000000000085,1.73,0.0,0.11464999404220678,232000
442,0.0003280685571917274,-3.037162409424782,0.0030258592013342423,0.5338586838915944,184.82,30,1.3830341815948486,3.0,1.47,0.0,0.08744629475908065,240000
442,-0.00011283682753855828,-2.6728204894065857,0.002569981974284019,0.49011582203209403,180.59,31,1.3841308772563934,3.0,1.35,0.0,0.09102123216900583,248000
442,-0.00020279354241210966,-2.261110696196556,0.002519119760745525,0.48730841469019653,172.45,32,1.3841023933887482,3.0,1.14,0.0,0.08811812321306631,256000
444,-0.0005859204597072676,-0.9554723417758941,0.003043166944225959,0.5588971244543791,181.12,33,1.3822184455394746,3.1000000000000085,1.33,0.0,0.08765345388579035,264000
445,-0.00010014045255957171,-3.16183374106884,0.0024822964443410455,0.49204896546900273,184.94,34,1.3805183804035186,4.0,1.45,0.0,0.08677610469803403,272000
447,-0.0001757848949637264,-0.7226618939638138,0.0030787533312468442,0.5750474124401808,193.46,35,1.3837978971004485,4.0,1.67,0.0,0.09884172514010486,280000
448,0.0006673080962355016,-8.563120090961457,0.0026986526188193236,0.5210498300939799,194.2,36,1.3837309646606446,4.0,1.66,0.0,0.07788807479740932,288000
