PMM:episode_rewards,policy_entropy,advantage_norm,epoch_idx,grad_norm,frames,fps,value_loss,episode_length,P01:episode_rewards,P09:episode_rewards,explained_variance,policy_loss
1.7647058823529411,1.3274963051080704,1.8532828875631093,1,1.352621323404926,8000,542,0.03970901462564143,189.61764705882354,0.0,5.399999999999999,-2.2082148283720016,0.0007866540714167058
1.6024096385542168,1.3348880469799043,1.3374611572921276,2,0.27294469809402855,16000,318,0.014852448103993084,187.9879518072289,0.0,4.799999999999997,0.0015204572677612305,0.0008403068967163563
1.62,1.335472172498703,1.454977456741035,3,0.29820450625745876,24000,362,0.018544440726900577,191.5,0.0,4.0,0.0018447273969650268,0.00017155764857307076
1.52,1.3528726422786712,1.2776401352882385,4,0.2827286077760163,32000,387,0.014595900926142349,185.45,0.0,4.0,-0.01386061668395996,0.0029587867818918314
1.42,1.380053459405899,1.2543351888656615,5,0.3432162840396419,40000,405,0.016624985394009854,182.26,0.0,3.0,0.020337741374969482,-0.003649236682249466
1.35,1.3784609091281892,1.358961629718542,6,0.3389005550920066,48000,419,0.01564757824380649,182.82,0.0,3.0,0.14530182123184204,0.0018029996315635799
1.41,1.33899051502347,1.406691937148571,7,0.5611858897125547,56000,425,0.02176443697200739,181.03,0.0,3.0,0.23144170105457307,-0.0018181703818845563
1.52,1.3643366384506226,1.3765129089355468,8,0.39778691008379125,64000,432,0.015229877984384075,182.03,0.0,3.0,0.5725977867841721,-0.0018650741723831743
1.75,1.3402985429763794,1.531441067457199,9,0.4510508730296102,72000,438,0.018705556559725663,193.64,0.0,4.0,0.5653023588657379,-0.005810411738202674
1.73,1.3613601195812226,1.4266330742835998,10,0.36179178552403835,80000,443,0.015189324024249799,193.62,0.0,4.0,0.5457958626747131,-0.0010967757023172453
1.69,1.3475750005245208,1.3357959818840026,11,0.4352177381153796,88000,448,0.0129379479738418,192.81,0.0,4.0,0.670293515920639,-0.002607122267363593
1.71,1.3467162835597992,1.2832835459709167,12,0.389842812542309,96000,453,0.011813732645241543,192.85,0.0,5.0,0.8199172347784043,-0.0015508899413725886
1.83,1.3630195331573487,1.1213735955953599,13,0.3283142736766489,104000,456,0.008834201347781345,197.78,0.0,5.0,0.8822972017526627,2.259658504044637e-05
2.06,1.3584060859680176,1.0641067641973496,14,0.2932426646415118,112000,459,0.008929424695961643,208.45,0.0,5.0,0.8113641029596329,0.0006029227866383735
1.84,1.36464803814888,1.0398002690076829,15,0.28421579171013883,120000,460,0.008060835282376501,202.14,0.0,4.1000000000000085,0.8854775536060333,-0.001754414653405547
1.82,1.3479048192501069,0.9304127438366413,16,0.26978258488522183,128000,462,0.006882460429333151,199.46,0.0,5.0,0.9088678413629532,-0.002356200657377485
1.87,1.3562898862361907,0.8610873791575432,17,0.22704152244592976,136000,464,0.005415568983007688,201.72,0.0,5.0,0.929007773399353,-0.0008246443683310645
1.64,1.3444661498069763,0.9227550938725472,18,0.2760946252834161,144000,466,0.007410414862097241,193.58,0.0,5.0,0.9252823185920716,-0.0026762769382912667
