episode_length,value_loss,PMM:episode_rewards,epoch_idx,policy_entropy,P01:episode_rewards,explained_variance,policy_loss,approx_kl_divergence,fps,P09:episode_rewards,grad_norm,clip_fraction,advantage_norm,frames
339.2142857142857,0.9786686112638563,187.5,1,1.1023710895329715,110.00000000000001,0.11243873611092567,0.015531226841267199,0.019501258945389247,917,257.5,40.751579454854394,0.284716796875,15.968719357252121,10240
338.40677966101697,0.11384351970627904,183.47457627118644,2,1.358019196242094,115.00000000000003,0.4232799652963877,0.0010475912014953793,0.0036409958152949706,950,275.0,3.6956835067514517,0.2134521484375,15.968719428777694,20480
344.03409090909093,0.1303849586751312,203.6931818181818,3,1.5544890627264976,125.0,0.55695774666965,-0.003103658420150168,0.0024700671093118723,975,307.49999999999994,3.7367745548767886,0.1556640625,15.96871924996376,30720
346.31,0.1281617893371731,221.75,4,1.6875985905528068,125.0,0.6275413889437914,-0.004378245682164561,0.0021588627757186257,985,327.5000000000002,3.4958271750219985,0.128564453125,15.968719238042832,40960
354.37,0.13824699399992824,256.5,5,1.7204751916229726,125.0,0.6554206728935241,-0.0060088081983849405,0.002424763238014194,970,400.0,2.9745396388579763,0.1552978515625,15.968719345331191,51200
359.46,0.14271213049069048,273.0,6,1.7067730203270912,125.0,0.5836110845208168,-0.004868734121555462,0.002483782470131131,958,500.0,2.951825643602471,0.1600830078125,15.968719154596329,61440
356.92,0.11977085417602211,264.25,7,1.7173127382993698,97.5,0.6003042414784432,-0.006687853910261765,0.002419751153627519,955,505.00000000000045,2.8017787725741092,0.1617431640625,15.968719071149826,71680
355.84,0.13575112926773727,259.75,8,1.7003418989479542,100.0,0.7014655392616987,-0.006004289610427804,0.002355756211318605,950,500.0,2.742251489016674,0.158984375,15.96871936917305,81920
359.69,0.11803474391344934,267.5,9,1.693645143508911,122.5,0.7209343194961548,-0.0060303761856630445,0.002060140561332327,948,505.00000000000045,2.658298820213134,0.129052734375,15.96871924996376,92160
376.14,0.12386262835934758,308.75,10,1.7023668169975281,125.0,0.8219004414975644,-0.0063438246463192625,0.0022280909688109614,945,625.0,2.393185648720369,0.148388671875,15.968719232082368,102400
386.63,0.13597187409177422,328.5,11,1.7241475857794284,172.5,0.7333736039698124,-0.007172200785134919,0.0023098764561157864,944,627.5000000000002,2.2094203359028874,0.1553466796875,15.968719172477723,112640
377.38,0.14427040060982108,323.5,12,1.7172039434313775,150.0,0.7470432963222265,-0.006552543022553437,0.0022399986685289618,941,627.5000000000002,2.4393622807251725,0.143798828125,15.968719184398651,122880
382.55,0.13450015294365586,328.0,13,1.7165658637881278,150.0,0.7765029735863209,-0.007538712126552128,0.002106922322537086,941,575.0,2.4767158558452564,0.130908203125,15.968719166517257,133120
384.44,0.13400232025887818,344.75,14,1.72777925953269,172.5,0.7837695270776749,-0.007506911462405697,0.0022473142054312187,940,600.0,2.480000225239665,0.1414306640625,15.968719339370727,143360
382.66,0.14746482914779335,346.5,15,1.7442289486527442,150.0,0.8044165302067995,-0.007503574826114345,0.002110773624827104,939,600.0,2.300467983730465,0.132470703125,15.968719321489335,153600
393.51,0.1416754933539778,368.25,16,1.7449913501739502,175.0,0.8200284227728843,-0.008041189433424734,0.0020254830125625515,928,625.0,2.5063880735776403,0.120458984375,15.968719255924224,163840
392.85,0.16848478191532196,350.0,17,1.7530348584055901,175.0,0.6768800631165505,-0.007682448218110949,0.002068498280005092,907,625.0,2.3192416737638557,0.1273193359375,15.968719226121902,174080
385.16,0.13163715889677405,338.75,18,1.723855398595333,150.0,0.7278799023479223,-0.008578979963203892,0.0019864163485865827,899,625.0,2.0184687159763826,0.11904296875,15.968719238042832,184320
382.11,0.11707707899622619,320.0,19,1.7116593457758427,172.5,0.7927921749651432,-0.008406603554612957,0.0022326290658387037,905,575.0,2.0148600308316627,0.1463134765625,15.968719327449799,194560
382.3,0.12357423603534698,313.5,20,1.7229922905564308,150.0,0.825471094250679,-0.010101753551862203,0.002309428389571904,911,550.0,2.140742041852356,0.1477783203125,15.968719214200974,204800
390.46,0.1413276602048427,342.25,21,1.721724957227707,175.0,0.7906869448721409,-0.010136573255294934,0.0022674395690959028,917,600.0,2.034276985861441,0.1506591796875,15.968719220161438,215040
396.88,0.1338514800183475,373.5,22,1.713819506019354,200.0,0.8440568231046199,-0.008491576585220173,0.002252016004740957,917,627.5000000000002,2.0993314169990853,0.140576171875,15.968719238042832,225280
396.22,0.1689847458153963,370.25,23,1.715511403232813,197.5,0.7475705832242966,-0.008539855843991973,0.002055052492346783,909,650.0,2.5025369936611073,0.1302734375,15.968719291687012,235520
397.47,0.1534736581146717,366.5,24,1.7217748321592807,175.0,0.7370774235576392,-0.008840609501930885,0.0021709809515417207,899,650.0,2.082690222044972,0.1303466796875,15.968719244003296,245760
394.42,0.13740034457296132,344.25,25,1.7222827926278115,150.0,0.7974420789629221,-0.01044796584174037,0.0024733043762128785,890,650.0,1.9210680489119798,0.154296875,15.968719410896302,256000
408.07,0.1274395370390266,356.25,26,1.7133243717253208,172.5,0.8153432130813598,-0.01059156378323678,0.002558576203637452,883,627.5000000000002,1.795048636443664,0.158837890625,15.968719387054444,266240
