epoch_idx,advantage_norm,PMM:episode_rewards,episode_length,policy_entropy,value_loss,policy_loss,P01:episode_rewards,explained_variance,frames,P09:episode_rewards,grad_norm,fps
52,0.9057865700125695,2.16,210.8,1.3514086675643922,0.0061867813172284515,-0.0007877873920369893,0.0,0.932882906794548,416000,5.0,0.24255569960772616,296
53,1.0564742514491081,2.77,228.5,1.348043987751007,0.008226504577905872,-0.0007360620310646481,0.0,0.9205512154102325,424000,9.0,0.28424716215334334,296
54,1.1204222241044044,2.83,232.15,1.3545038414001465,0.009412379406858235,-0.001176078397256788,0.0,0.8864824271202087,432000,9.0,0.2872500180397041,297
55,0.9609380650520325,2.79,231.13,1.3291489171981812,0.006718211674015037,-0.00047754022962180897,0.0,0.9475169569253922,440000,9.0,0.26161461320681934,297
56,0.878708875477314,2.6,226.2,1.3388168466091157,0.005583278060657904,-0.0019422911189030856,0.0,0.9433032536506653,448000,7.200000000000017,0.23960203566391172,297
57,1.1852024048566818,2.66,223.36,1.3517957043647766,0.010333961374708451,0.000818972650449723,0.0,0.8772083187103271,456000,9.0,0.3153797030562645,298
58,1.0765904614329338,2.05,203.18,1.353498820066452,0.008020952183287591,-0.0014335167192621157,0.0,0.9104448699951172,464000,5.0,0.27836135482266894,298
59,1.081703505218029,2.19,209.06,1.3569507503509521,0.008481929446570575,0.0021102184915798715,0.0,0.9066351181268693,472000,5.0,0.2725220990103935,298
60,1.0668619078397752,2.3,214.74,1.3613981878757477,0.008208509871037677,-0.0026129907550057397,0.0,0.8840479391813278,480000,6.0,0.2693477947013314,298
61,1.0015014824271202,2.43,220.76,1.3442188394069672,0.007168787317350506,-0.0030441625247476624,0.0,0.9253395980596543,488000,6.0,0.288642756808454,299
62,1.0195496946573257,2.33,216.66,1.3470410990715027,0.007468762790085748,-0.0006758784817066044,0.0,0.9241041857004165,496000,6.0,0.2737516204525049,299
63,1.0562778326869011,2.89,237.0,1.3491616880893706,0.00808097117464058,-0.0013800604493007995,0.0,0.9205673760175705,504000,7.0,0.2725299893053769,300
64,1.1596917578577994,3.1,242.86,1.3457804334163666,0.009334223843179643,-0.0014506176774011692,0.0,0.8818769723176956,512000,8.0,0.30159940985646605,300
65,1.041968852877617,2.95,237.78,1.3312254905700684,0.007616452217334881,-0.0020967190621013288,0.0,0.9198827981948853,520000,6.200000000000017,0.2874618040540097,300
66,1.0813901340961456,2.72,230.54,1.3401986837387085,0.008055905121145769,-0.0007441742665832863,0.0,0.9224576586484909,528000,6.0,0.29131583016170853,301
67,1.1066514599323272,3.0,238.21,1.3312513196468354,0.00865669416380115,-0.0012607493627001531,0.0,0.8932530629634857,536000,9.0,0.28301978750641466,301
68,1.2384512776136398,3.04,238.24,1.3399863862991332,0.01059856755193323,-0.0012425653613172471,0.0,0.9008246535062789,544000,9.0,0.32985240427674406,302
69,1.2765754118561745,3.5,252.94,1.3288589596748352,0.01116720043704845,-0.0022098074757923316,0.0,0.8692606276273728,552000,9.0,0.3483870959103879,302
