P01:episode_rewards,fps,advantage_norm,PMM:episode_rewards,value_loss,policy_entropy,P09:episode_rewards,frames,episode_length,grad_norm,epoch_idx,explained_variance,policy_loss
0.0,529,4.502369273528457,1.048780487804878,0.9945935193718708,1.357526261806488,3.0,8000,169.7560975609756,28.032200869349904,1,-2.789532945752144,0.15257658130372875
0.0,315,0.8061725882440806,1.3012048192771084,0.006572279711781448,1.3790681445598603,4.0,16000,179.86746987951807,0.14748726154643213,2,-3.4104940837621687,-0.0006076403098995797
0.0,359,0.7426109223999083,1.44,0.005850292606237417,1.385260946750641,4.0,24000,185.61,0.10306849482768593,3,-2.9442831760644914,3.772818862444183e-06
0.0,383,0.7314340876042843,1.32,0.005960026247630594,1.3833105409145354,4.0,32000,181.24,0.09738726328442064,4,-3.4823208224773405,0.000696902525742189
0.0,396,0.7797572566568851,1.48,0.00626072961042155,1.380665786266327,3.1000000000000085,40000,184.49,0.1059024385352197,5,-1.7312435376644135,-0.00023901754568214528
0.0,408,0.8269247478619218,1.78,0.006388320676196599,1.3815765964984894,4.0,48000,194.61,0.0972843395496014,6,-1.415740128159523,-0.000211118001898285
0.0,414,0.7053070333972573,1.6,0.0053710691737705926,1.3839377641677857,4.0,56000,188.11,0.09035321970852768,7,-3.431118398308754,0.00046713861083844674
0.0,418,0.6681297552585602,1.26,0.005119357085031879,1.3845137095451354,3.0,64000,175.83,0.08590974064490436,8,-2.711056906580925,-0.00041382875893759775
0.0,422,0.6971037970855832,1.34,0.005596495223680904,1.3836760067939757,3.0,72000,178.31,0.08545597702629885,9,-3.479782752990723,0.00014252073673560518
0.0,424,0.6933041710406542,1.32,0.005306364180696619,1.3773811411857606,4.0,80000,178.12,0.08939615442048435,10,-2.401086794137955,-9.19192418223247e-05
0.0,425,0.6115054138749838,1.13,0.0043808243754847355,1.3812595736980438,3.0,88000,171.82,0.07641655226985444,11,-2.7260573005676267,-0.0003374455607263371
0.0,426,0.6567370282113552,1.02,0.005048504747082916,1.3853254437446594,3.0,96000,167.86,0.0847069147673732,12,-2.950717817544937,0.000880759738793131
0.0,429,0.7094712625443935,1.14,0.0051834387829239855,1.3798406291007996,3.0,104000,172.37,0.08998002050822614,13,-2.377757493853569,0.00010108735266840086
0.0,431,0.7109510987251997,1.31,0.005182544775398128,1.3791104578971862,4.0,112000,178.27,0.09000755716068008,14,-2.0142249137163164,-0.00047756901651155206
0.0,431,0.7122560773789882,1.33,0.005047196136620187,1.376362580060959,3.0,120000,178.71,0.09578613533639802,15,-2.5261538076400756,-0.00034196746934867406
0.0,432,0.7455090756714344,1.34,0.005688095734585659,1.3743801057338714,3.0,128000,180.5,0.10511332000091107,16,-2.2488500267267226,0.0001714191833161749
