episode_length,P09:episode_rewards,frames,grad_norm,clip_fraction,explained_variance,P01:episode_rewards,advantage_norm,value_loss,fps,policy_entropy,epoch_idx,policy_loss,approx_kl_divergence,PMM:episode_rewards
360.08,585.0000000000005,10240,6895345.158588457,0.5800537109375,-1.1756397899240256,125.0,15.968717914819717,2622062.669924765,442,1.1434197322805464,1,0.11862107587076025,5187.044906816642,259.0
359.8727272727273,495.0000000000001,20480,0.0921990270986955,0.2610107421875,-5.587935447692871e-09,95.00000000000001,15.968717777729035,0.011073918869442423,346,1.7364482827484609,2,-0.00034621802624315026,0.004340461335766576,246.36363636363637
353.11494252873564,360.0000000000001,30720,0.05497982441705709,0.2524169921875,8.940696716308593e-09,50.0,15.968717634677887,0.009845700976075022,394,1.7785118110477924,3,-0.0017813860020396532,0.00351431593696816,218.67816091954023
350.88,500.0,40960,0.0535062876080117,0.2580078125,6.332993507385254e-09,50.0,15.96871730685234,0.009624162392719881,425,1.7631440132856369,4,-0.0020978307991754265,0.0033797101866184674,213.0
349.63,357.5000000000007,51200,0.05231303562947579,0.2490478515625,-1.30385160446167e-08,50.0,15.968717741966248,0.009959976133541205,443,1.7502794869244098,5,-0.0015957105857523856,0.0032963462725319912,192.5
348.73,500.0,61440,0.05174737608486375,0.2355712890625,1.1175870895385742e-09,50.0,15.968717640638351,0.007847081885438456,451,1.771101951599121,6,-0.0014124762867140817,0.002902040252320148,196.0
344.99,425.0,71680,0.051387059072061536,0.2395263671875,-1.0058283805847169e-08,25.0,15.968717157840729,0.00784657285676076,461,1.7685901746153831,7,-0.0014341230198624544,0.003144540443156529,175.0
334.74,425.0,81920,0.04950087342230704,0.2666259765625,0.0,25.0,15.96871738433838,0.006397426397916206,468,1.77871455475688,8,-0.0018123385896615218,0.0034622043720048622,151.0
324.2,330.0000000000004,92160,0.05517805459726734,0.27900390625,4.097819328308106e-09,0.0,15.96871758699417,0.00868832756395932,473,1.7824636481702327,9,-0.0021481105861312242,0.0037794753195385055,140.5
321.0,300.0,102400,0.05101239204911292,0.224609375,-1.30385160446167e-08,0.0,15.96869462132454,0.006452314698245231,473,1.7690505906939507,10,-0.0014744492636964424,0.0032917061511511746,132.0
316.35,300.0,112640,0.04868928817478276,0.2597900390625,4.8428773880004884e-09,0.0,15.968656367063522,0.005725418273920013,477,1.7586827725172043,11,-0.0016002803633455188,0.003553777986348905,131.5
316.13,300.0,122880,0.051035359421784644,0.31884765625,-1.4901161193847657e-09,0.0,15.968716764450074,0.006491303011307537,480,1.7789861887693406,12,-0.002824151556706056,0.004216356506697138,121.5
318.23,252.50000000000023,133120,0.05143796272149219,0.198046875,2.2351741790771484e-09,25.0,15.968717646598815,0.00897644682554528,480,1.7814230896532535,13,-0.0010969607410515891,0.00305038148169956,134.75
320.65,250.0,143360,0.05175910579997396,0.300048828125,4.470348358154297e-09,25.0,15.96871468424797,0.006997859526543948,485,1.7775018453598022,14,-0.002031975878344383,0.004155192643031569,135.75
324.97,355.00000000000045,153600,0.05338393987744704,0.2172607421875,-4.8428773880004884e-09,25.0,15.968715006113053,0.007340559095430343,488,1.7708285078406334,15,-0.000916333808345371,0.002924958100288677,149.0
326.51,402.5000000000002,163840,0.053805426037019564,0.2371337890625,1.1175870895385742e-08,25.0,15.96871749162674,0.009932273517915747,491,1.781141682714224,16,-0.001962512835962116,0.0029511883045771014,158.25
326.13,402.5000000000002,174080,0.05364258586003583,0.2567138671875,-1.1175870895385742e-09,25.0,15.96871737241745,0.007343035066651282,490,1.7840721763670444,17,-0.0017040178940078477,0.0033469875778507686,159.5
325.99,380.00000000000045,184320,0.052560969524968616,0.301171875,1.080334186553955e-08,22.500000000000007,15.968717414140702,0.007191982501944949,491,1.7818833969533443,18,-0.001992530602728948,0.003994932747036728,160.5
324.66,327.5000000000002,194560,0.05245818420601543,0.251904296875,-1.3783574104309083e-08,25.0,15.968717795610427,0.00833468243349671,494,1.775767420977354,19,-0.002398878009262262,0.003167790297607098,144.75
326.17,350.0,204800,0.05399687144064082,0.23251953125,-7.450580596923829e-10,25.0,15.968717569112778,0.009985181174488388,496,1.762282269448042,20,-0.0018033110292890342,0.0029238112640030066,160.0
321.59,275.0,215040,0.049792385202965805,0.2198486328125,3.3527612686157227e-09,25.0,15.968712365627288,0.0048376712704111926,498,1.7601998515427113,21,-0.0008290961253806017,0.0027613783978665653,132.5
325.45,275.0,225280,0.05493947156168216,0.2222412109375,-7.82310962677002e-09,25.0,15.968717044591903,0.008880482418135216,500,1.7816201478242875,22,-0.0012567187848617322,0.003127198164258971,137.25
327.91,282.5000000000007,235520,0.053169229708744756,0.255810546875,8.568167686462402e-09,25.0,15.968717432022094,0.008612539100931826,501,1.7747480280697345,23,-0.001619438630223158,0.003206160054060092,136.0
337.04,427.5000000000002,245760,0.05214183628186405,0.2557373046875,1.1175870895385742e-08,25.0,15.968716436624527,0.00808325223376869,502,1.7731171287596226,24,-0.0015208111453830497,0.0031369341346817237,160.5
336.16,450.0,256000,0.055085968055324355,0.23388671875,-7.078051567077636e-09,25.0,15.968717414140702,0.00903648042203713,504,1.7738793969154358,25,-0.0016381340883526718,0.0030262472151321163,171.5
333.54,352.5000000000002,266240,0.05298192821694632,0.241162109375,-6.332993507385254e-09,25.0,15.9687171459198,0.009253225083284633,504,1.7730310663580895,26,-0.001904398355691228,0.003095895882415789,160.75
