policy_loss,P01:episode_rewards,PMM:episode_rewards,episode_length,fps,value_loss,policy_entropy,grad_norm,frames,P09:episode_rewards,explained_variance,advantage_norm,epoch_idx
0.0046138030194561,0.0,1.0222222222222221,166.73333333333332,545,0.035387499817334175,1.3458763319253921,1.1635801410274131,8000,2.0,-0.9051055258512497,1.5454071336984634,1
0.0007098363662225893,0.0,0.8686868686868687,161.23232323232324,320,0.007906556391080812,1.358933197259903,0.17684436867103337,16000,2.0,-0.29320626258850097,0.8010302433371543,2
0.003072215730790049,0.0,0.87,160.9,362,0.012255334413775926,1.372913922071457,0.22435941332858966,24000,2.0,-0.04612024962902069,1.1183958818763495,3
-0.0005943968326300819,0.0,1.16,174.32,390,0.01331661151496519,1.3734573256969451,0.20203625294453992,32000,3.0,-0.02205244719982147,1.2095067489147187,4
0.001441759781446308,0.0,1.22,178.65,408,0.012267587300593732,1.3773905038833618,0.18175854136066774,40000,3.0,-0.056623225808143614,1.1344788482785224,5
-0.0011052224028389901,0.0,1.32,182.18,422,0.00924717643247277,1.3796124470233917,0.16787512302963656,48000,4.0,0.0323488187789917,0.9869419255107641,6
0.007625621944171144,0.0,1.26,179.15,430,0.022712085253733676,1.3774846768379212,0.47792664210620955,56000,4.0,-0.033157251477241516,1.4351860839128494,7
0.00045868977285863367,0.0,1.66,193.74,439,0.018092848379455972,1.363320758342743,0.4066317801174976,64000,4.0,0.13161304116249084,1.446718706637621,8
-0.002807111860565783,0.0,2.05,209.08,445,0.01375900708604604,1.3452006363868714,0.3392050797806705,72000,5.0,0.5741497486829757,1.359490157365799,9
-0.003928385889157653,0.0,2.01,206.69,451,0.015224420487647876,1.3402392494678497,0.4261749920501686,80000,5.0,0.7134484094381333,1.4003740039467811,10
0.0010220553984413528,0.0,1.91,201.21,456,0.01489176943374332,1.338004744052887,0.3997646890290038,88000,5.0,0.7525779229402542,1.4125029972195626,11
-0.0011470644050859847,0.0,1.56,187.92,460,0.018058286356390455,1.3693071216344834,0.42382030728122116,96000,4.0,0.7326660919189453,1.3433333805203438,12
-0.003875213134160731,0.0,1.61,190.06,464,0.010657378784380854,1.3359909844398499,0.3463961500486844,104000,4.0,0.8413279992341995,1.1732901844382286,13
-0.0025217701226938516,0.0,1.56,187.9,467,0.008186469769570976,1.3471216118335725,0.3004187405532168,112000,5.0,0.8372873920202255,1.0070283749699593,14
-0.0021850724657997487,0.0,1.56,188.19,469,0.006459705597371794,1.3489670956134796,0.2743800496232506,120000,5.0,0.9084885531663894,0.9278315412998199,15
-0.00038432276560342873,0.0,1.94,204.5,473,0.00894289396936074,1.3297720122337342,0.2939002117562684,128000,5.0,0.9139958721399307,1.1304005736112595,16
-0.0013257649360457436,0.0,2.0,207.21,475,0.005666040765936487,1.3401935255527497,0.22496096926278633,136000,5.0,0.9350835472345352,0.867400252521038,17
-0.001301533935184125,0.0,2.25,215.69,478,0.00757202405075077,1.340702702999115,0.28380232373079156,144000,5.0,0.9122643744945527,0.991246704608202,18
-0.0003280064006685279,0.0,2.04,206.73,479,0.009648578094202094,1.3293937039375305,0.2821619674649833,152000,5.0,0.9028681719303131,1.0500933429598809,19
-0.00040249592188047246,0.0,2.67,224.15,482,0.006357672881567851,1.3406021070480347,0.25365513250846206,160000,8.100000000000009,0.9120085614919663,0.9262984347343445,20
-0.0014367299291188828,0.0,2.81,227.6,483,0.004759542533720378,1.3256452524662017,0.1998239977999876,168000,9.0,0.9498046815395356,0.7733984127640724,21
-4.358073783805594e-06,0.0,2.63,225.39,484,0.003110981080390047,1.3248855900764465,0.16728072854392173,176000,8.100000000000009,0.973735335469246,0.6317417375743389,22
-0.00021907893471507123,0.0,2.66,228.03,485,0.0039997270167805256,1.3325316512584686,0.1932055210899732,184000,8.100000000000009,0.9561265790462494,0.7032823012769223,23
