q_loss,P01:episode_rewards,PMM:episode_rewards,policy_gradient_loss,advantage_norm,avg_q_retraced,frames,policy_entropy,grad_norm,avg_q_selected,model_prob_std,epoch_idx,episode_length,policy_gradient_bias_correction,policy_loss,rollout_prob_std,explained_variance,fps,P09:episode_rewards
0.007330190038919682,0.0,0.0,-0.00020328551620612718,0.10273898132145405,0.005123569275019691,7200,2.0967177907625834,0.1978818574176223,0.004992651849170216,0.0362163736174504,1,0,-1.473163923747939e-11,-0.0002032855307580424,0.036216374455640715,-64.11373807589213,479,0.0
0.00035297522348021936,0.0,0.0,-0.0004527702196962006,0.03462975810592373,0.0006526073596129815,14400,2.1660025636355082,0.02639573687601728,0.0008782686820874611,0.023568606842309235,2,0,0.0,-0.0004527702196962006,0.023568606531868378,-23.02852153778076,229,0.0
3.3835837984952374e-05,0.0,0.0,-4.6161416594259205e-05,0.02629843611891071,0.0022222134168259798,21600,2.192080839474996,0.004905074590045715,0.0023851838612851377,0.010775959802170594,3,0,0.0,-4.6161416594259205e-05,0.010775959833214681,-3.5774200916290284,287,0.0
6.636386730557812e-05,0.0,0.0,-2.4199919357670298e-05,0.05204597245901823,0.0009829883735316496,28800,2.189573899904887,0.006030107124574715,0.0009151387246674858,0.013682764458159606,4,0,0.0,-2.4199919357670298e-05,0.013682764333983263,-4.646300236384074,329,0.0
2.232302264625711e-05,0.0,0.0,-1.4560670870148821e-05,0.025438528507947922,0.0007271660035864139,36000,2.19228622118632,0.002622066784207579,0.0006996505459028413,0.010878615826368333,5,0,0.0,-1.4560670870148821e-05,0.010878615702191988,-3.441099007924398,357,0.0
4.0102188669758713e-05,0.0,0.0,-1.724849726087996e-05,0.0414391625362138,0.00033426265692545104,43200,2.191544445355733,0.004357320533664862,0.00032940092448067543,0.011482847823450963,6,3325.1666666666665,0.0,-1.724849726087996e-05,0.011482847870017092,-7.826319026947021,342,0.0
5.721081007929267e-06,0.0,0.0,-1.8576091558012802e-05,0.014403057858968775,0.0008204689472525691,50400,2.1938125689824424,0.0016207240348799976,0.0007865421541888888,0.008986086895068487,7,3325.1666666666665,0.0,-1.8576091558012802e-05,0.008986086988200744,-14.75109674135844,343,0.0
6.901713072693383e-06,0.0,0.0,-1.6014802758945736e-05,0.010013843514025211,0.0006414338016838883,57600,2.1917951504389444,0.001735583114731067,0.0006317132049389329,0.011493260227143764,8,3325.1666666666665,0.0,-1.6014802758945736e-05,0.011493260196099678,-12.94767812093099,356,0.0
2.4425801583068582e-05,0.0,0.0,-3.0382898813741122e-06,0.030268201666573683,8.532353761741736e-05,64800,2.1918485005696615,0.0028649599881274365,9.267510919623116e-05,0.011387057974934578,9,3325.1666666666665,0.0,-3.0382898813741122e-06,0.011387058005978664,-5.655726973215739,370,0.0
1.7418562570507372e-05,0.0,0.0,7.517975128242446e-06,0.02294928301125765,-0.0005894935689260213,72000,2.1925676663716636,0.002260120418836783,-0.0005805154632980702,0.01062655405451854,10,3325.1666666666665,0.0,7.517975128242446e-06,0.010626554085562626,-5.425490148862203,381,0.0
3.3961828520053436e-05,0.0,0.0,2.4072102451100364e-05,0.042093416365484394,-0.0008436313044512644,79200,2.190946650505066,0.0038640241435811662,-0.0007868625434336233,0.012419758892307679,11,3325.1666666666665,0.0,2.4072102451100364e-05,0.012419758892307679,-5.086007682482402,391,0.0
5.647846675553107e-06,0.0,0.0,1.872308760558402e-05,0.013286656622464458,-0.001424602783905963,86400,2.1937601963678994,0.0011250492959204417,-0.0014125092653557657,0.009176468787093958,12,3325.1666666666665,0.0,1.872308760558402e-05,0.009176468631873528,-9.230377817153931,399,0.0
1.6479624756963554e-06,0.0,0.0,3.396138455021477e-05,0.007330027470986048,-0.001534001308027655,93600,2.191604804992676,0.0007922408540886281,-0.0015550024768648048,0.011719356073687475,13,3325.1666666666665,0.0,3.396138455021477e-05,0.011719356073687475,-12.868596760431926,406,0.0
2.1506627869409082e-06,0.0,0.0,4.103169714350467e-05,0.007877999745930234,-0.0017973606668723126,100800,2.192243043581645,0.000728473724536873,-0.001796254504006356,0.011047047345588605,14,3325.1666666666665,0.0,4.103169714350467e-05,0.011047047469764948,-13.231996234258016,414,0.0
2.7671159625697327e-05,0.0,0.0,1.840068161224432e-05,0.03896458900223176,-0.0011637757328571753,108000,2.1906508843104047,0.003358902163365274,-0.001310810677993383,0.012764182966202497,15,3325.1666666666665,0.0,1.840068161224432e-05,0.01276418309037884,-8.122633775075277,420,0.0
6.372563012746468e-06,0.0,0.0,3.305404990593767e-05,0.012703780907516678,-0.0011842134001199156,115200,2.1926904280980426,0.001029640687829638,-0.0011893254132398093,0.010539010384430487,16,3325.1666666666665,0.0,3.305404990593767e-05,0.010539010477562746,-11.138492329915364,427,0.0
1.9508226216215817e-05,0.0,0.0,1.521372868460781e-05,0.03349203627970483,-0.0011125800732083412,122400,2.191071251100964,0.0027800946383326657,-0.001104528795403894,0.01233521483735078,17,3324.972222222222,2.5685046166756823e-06,1.7782233205960233e-05,0.01392977429139945,-6.687848491271336,428,0.0
5.575514046247536e-06,0.0,0.0,3.366159087882745e-05,0.017296782300164477,-0.0015552151068492553,129600,2.1927057019112604,0.0012701146699809164,-0.001592877813386694,0.010581217711931833,18,3324.972222222222,-2.592707581975049e-06,3.1068883158280775e-05,0.015102322327512657,-7.023943078139471,420,0.0
