policy_loss,frames,P01:episode_rewards,grad_norm,fps,P09:episode_rewards,epoch_idx,advantage_norm,PMM:episode_rewards,value_loss,explained_variance,episode_length,policy_entropy
-0.0634772280137986,8000,0.0,44.97416022275311,516,3.0,1,5.8041596977040175,1.1162790697674418,1.645541573354867,-3.0842520904541018,171.25581395348837,1.3181883746385574
-0.00023561482670629629,16000,0.0,0.1494218348766892,311,3.0,2,0.7395128394756466,1.2183908045977012,0.00584834327992553,-22.764766686558723,175.04597701149424,1.3770804238319396
-6.829512545664329e-05,24000,0.0,0.13835194759846448,352,4.0,3,0.7748249881900847,1.35,0.006189734843751467,-8.863942978382111,179.72,1.3753573620319366
-0.00010791641339892521,32000,0.0,0.14671886965026887,377,4.0,4,0.8315607019141317,1.59,0.006724395871348179,-39.03198354959488,187.58,1.3766780519485473
0.0007614457848467282,40000,0.0,0.11096848987539393,393,3.0,5,0.708317444557324,1.59,0.005557558335050316,-17.380132601857184,188.61,1.3804136073589326
-0.00019102787223516772,48000,0.0,0.1386865743631378,402,3.0,6,0.7439869306609035,1.46,0.005949701440204081,-23.41417598903179,185.85,1.3829119551181792
-0.00037532083108089866,56000,0.0,0.11149225454895145,407,3.0,7,0.6766096739191562,1.25,0.005192186692326004,-3.735163845419884,177.28,1.3782970535755157
5.292565294439555e-05,64000,0.0,0.09821054587366557,411,3.0,8,0.7290978986024856,1.26,0.005546663003649428,-12.333472077846528,177.87,1.376959365606308
0.001439662122866139,72000,0.0,0.14307766973221653,415,3.0,9,0.7769927628710867,1.39,0.0063668350933130564,-10.811556304693221,182.41,1.3729912257194519
-0.00021648627358445083,80000,0.0,0.10035699863379575,418,3.0,10,0.6948953969031573,1.3,0.005400842913454653,-6.608216589689254,177.32,1.3753502869606018
-8.488185587339103e-05,88000,0.0,0.08889384052757064,419,3.0,11,0.6019635802134872,1.15,0.0046044218245367575,-12.8713285946846,173.18,1.3770663297176362
