episode_length,policy_entropy,PMM:episode_rewards,P09:episode_rewards,frames,P01:episode_rewards,policy_loss,epoch_idx,advantage_norm,grad_norm,explained_variance,fps,value_loss
183.31578947368422,1.3162927529215813,1.5526315789473684,4.0,8000,0.0,-0.031071871769381688,1,2.2288411566615105,3.9595980732539022,-11.001283118724823,359,0.10168797315400298
182.0952380952381,1.3817666029930116,1.4761904761904763,4.0,16000,0.0,0.003982735173703986,2,1.2243614488467573,0.2432385614053002,0.015459323525428772,176,0.015162991257602699
177.42,1.382299861907959,1.3,3.1000000000000085,24000,0.0,0.003863760242238641,3,1.0688809463381768,0.2291173537281635,0.11178017735481262,210,0.011552339209229103
183.02,1.3844874393939972,1.42,3.1000000000000085,32000,0.0,0.0029416004722588695,4,1.2143578347563744,0.23243629872938434,0.09647852420806885,233,0.013448257394429675
183.71,1.3801223814487458,1.4,3.0,40000,0.0,0.0037322054244577885,5,1.333577891215682,0.3299109051654075,0.09049657821655273,250,0.017067935843515444
184.21,1.3705522906780243,1.43,3.1000000000000085,48000,0.0,0.0006899348337901756,6,1.3071845199912786,0.30929594346314004,0.19464113175868988,263,0.015168492588200024
186.37,1.3612924647331237,1.52,4.0,56000,0.0,0.00044108405010774733,7,1.3392359624803065,0.3137865957382451,0.3218418902158737,274,0.014190091446216684
188.0,1.3673759973049164,1.54,5.0,64000,0.0,-0.0005918458751693834,8,1.484526882469654,0.6808923432811416,-0.4733263194561005,283,0.022952831918082665
183.92,1.357893899679184,1.39,4.0,72000,0.0,-0.0003141509441047674,9,1.2599741095304489,0.3691822646007196,0.4825961834192276,289,0.01452526334353024
170.59,1.3661138415336609,1.07,3.0,80000,0.0,-0.002182014966965653,10,1.1099268285930157,0.3120648175433496,0.41644736647605896,295,0.010670215022691991
174.2,1.2925269091129303,1.21,3.0,88000,0.0,-0.0068449847301235425,11,1.5190312111377715,0.5466753015205719,0.13160949170589448,299,0.020698190523544328
