grad_norm,epoch_idx,policy_entropy,value_loss,explained_variance,frames,P01:episode_rewards,advantage_norm,policy_loss,P09:episode_rewards,PMM:episode_rewards,fps,episode_length
1.465669272162577,1,1.3380310735106469,0.029332447099295677,-1.5735127979516983,8000,0.0,1.4196052853763104,-0.017850814153789543,2.0,0.8125,382,157.08333333333334
0.38362782130231,2,1.3659873151779174,0.02000691599421771,-0.16374525427818298,16000,0.0,1.4257959204912185,-0.00025093277101404963,3.0,1.1145833333333333,197,168.07291666666666
0.22122217407911632,3,1.3823368394374846,0.01367157849646901,-0.030088915824890136,24000,0.0,1.1894420280307532,0.0026475642318837343,3.0,1.31,233,176.99
0.19732508740661006,4,1.3762391269207002,0.010508449226563243,-0.013383330106735229,32000,0.0,0.975130478143692,0.00011461547284852714,3.0,1.11,252,170.98
0.22453201570807133,5,1.3714153778553009,0.01239142456339323,0.019223973751068116,40000,0.0,1.1691474586725235,0.00027093045879155397,3.0,0.99,266,165.45
0.19882386952884365,6,1.3570022809505462,0.011268569490730442,0.012131147980690003,48000,0.0,1.0482106452807785,0.00024470892261888364,3.0,1.09,276,167.16
0.2885265943373588,7,1.3587543606758117,0.013870121386607934,-0.032393368482589724,56000,0.0,1.1859968257695437,0.0019568242522655056,3.0,1.0,284,164.16
0.24398194943761684,8,1.3558664977550507,0.012014620009285864,0.04760162532329559,64000,0.0,1.1405960712581873,-0.000942417169608234,3.0,1.11,292,167.71
0.3746555228659013,9,1.3785415422916412,0.0161258624632319,0.014454990029335021,72000,0.0,1.4215729428827764,0.0019131105244741776,3.0,1.28,299,174.47
0.2586726780626645,10,1.3813593530654906,0.010030188101809471,0.06528128266334533,80000,0.0,1.050572250634432,-0.00012013085011858493,3.0,1.24,304,174.58
0.318102143992807,11,1.366461876630783,0.013581801165782963,0.20672096610069274,88000,0.0,1.2599101582169532,-0.0029482090820965824,2.1000000000000085,1.16,307,171.22
0.31753928589432545,12,1.3558988893032073,0.010638159198133507,-0.001784346103668213,96000,0.0,1.0829339894652366,-0.004187419571098872,2.0,1.03,311,164.5
0.35726799466631826,13,1.353338998556137,0.01422040714751347,0.2646480816602707,104000,0.0,1.3202827529609202,-0.0021077237016288563,2.0,0.94,314,162.23
0.3871578750943731,14,1.369922664165497,0.012828702494298341,-0.06758509695529938,112000,0.0,1.234830858707428,0.0014079619155381805,3.0,1.17,317,171.43
0.38819813414765103,15,1.3636971080303193,0.011097380186547524,0.5256639045476913,120000,0.0,1.165672362446785,-0.005774116211482578,2.1000000000000085,1.05,320,167.03
0.40365360664033856,16,1.377585974931717,0.014011854080599732,0.5207461208105088,128000,0.0,1.3116574259102345,-0.0010676627911198012,2.1000000000000085,1.06,322,167.97
0.4919846663714265,17,1.3628346955776214,0.016797694736451377,0.32966293156147003,136000,0.0,1.402106290757656,-0.010807588595198467,3.1000000000000085,1.23,324,174.98
0.32986783947435305,18,1.365680344104767,0.010610573858430143,0.5837625277042389,144000,0.0,1.1826822501420975,-0.0017765160970157011,3.0,1.17,325,172.58
0.36761852030090425,19,1.3812502479553224,0.012727995682798792,0.6323917883634568,152000,0.0,1.2913919451832772,-0.003355440773302689,3.0,1.23,329,174.66
0.3148694709903969,20,1.378490560054779,0.010156748299632454,0.6143438053131104,160000,0.0,1.138335363715887,-0.000299185848207344,3.0,1.22,335,176.13
0.34048423350404866,21,1.3655268359184265,0.009970691980561242,0.6267377161979675,168000,0.0,1.144743366241455,-0.003230215182993561,3.0,1.15,341,173.99
0.29562017174560284,22,1.3578217804431916,0.009082545893179486,0.5804406446218491,176000,0.0,1.0323031647503376,-0.0013685504329623655,3.0,1.0,346,165.49
0.5237865940286778,23,1.3663161408901214,0.01468252369610127,0.680844504237175,184000,0.0,1.3643165192008018,-0.012455915264563373,3.0,1.09,351,166.5
0.3338282314934834,24,1.3617614006996155,0.010864233946485911,0.7164101809263229,192000,0.0,1.1949425646662712,-0.0015993431757669895,3.0,1.2,356,172.32
0.37502970783777123,25,1.3539377164840698,0.01137739262660034,0.7527266132831574,200000,0.0,1.2403549322485923,-0.0039202171366196125,3.0,1.23,361,175.56
0.3111904421972444,26,1.3738555419445038,0.009426174267427995,0.800516141653061,208000,0.0,1.1513673236966133,-0.0010069655436382163,5.0,1.68,366,192.92
0.306609717828118,27,1.3722457873821259,0.008055796008557081,0.8665416914224625,216000,0.0,1.0535491552948952,0.0010454635199857877,5.0,1.78,372,197.62
0.4912028727469493,28,1.3830342078208924,0.013786246612435207,0.8040002137422562,224000,0.0,1.3457021898031234,-0.006607457979116589,4.0,1.64,376,192.6
0.36815121239298504,29,1.3502252894639968,0.009837557674618438,0.7813356018066406,232000,0.0,1.1617149794101715,-0.004278339734883048,4.0,1.61,375,191.86
0.32054396731635776,30,1.3386925494670867,0.008327196688624099,0.9187749588489532,240000,0.0,1.0984023594856263,-0.0026857683737762273,5.0,2.02,376,206.42
0.1930792129343183,31,1.3493658578395844,0.0047328514489345256,0.9312065088748932,248000,0.0,0.8025216212868691,-0.0005073891987740353,5.1000000000000085,2.14,380,210.95
0.2557456285834534,32,1.3469861876964568,0.007355310304556042,0.9185659593343735,256000,0.0,0.993374345600605,-0.000991046196577372,5.0,2.16,384,211.7
0.17576156420231215,33,1.3383389842510223,0.0030412738717859613,0.9714263361692429,264000,0.0,0.631794091463089,-2.914392258389853e-05,5.0,1.81,382,195.19
0.23078105180931874,34,1.3362668073177337,0.006099281662027351,0.9261004102230072,272000,0.0,0.8825733372569085,-0.0019684170516848097,5.0,1.56,379,186.57
