policy_gradient_bias_correction,episode_length,PMM:episode_rewards,P09:episode_rewards,grad_norm,P01:episode_rewards,epoch_idx,policy_loss,advantage_norm,frames,rollout_prob_std,q_loss,avg_q_selected,model_prob_std,explained_variance,policy_gradient_loss,policy_entropy,fps,avg_q_retraced
1.1633851289734784e-12,0,0.0,0.0,0.16560934453241655,0.0,1,-0.000193172316600491,0.11497465036809444,7200,0.08145995475351811,0.005294274363404838,-0.028447472255599373,0.08145995264252028,-49.84739977518718,-0.0001931723321225339,1.9332476039727529,448,-0.027518496207873493
8.027689045915961e-13,0,0.0,0.0,0.054999920975482,0.0,2,-0.00015695591015780035,0.05143886009852092,14400,0.07610569112002849,0.0007813270151473262,-0.021200399713901183,0.07610569136838118,-116.63341371218364,-0.0001569559179188218,1.9384745746850967,213,-0.022423405991867186
0.0,0,0.0,0.0,0.0036555937337221663,0.0,3,0.00021211321084895946,0.01716995732858777,21600,0.016601178050041198,2.4946915724891976e-05,-0.008745746267959476,0.016601178018997114,-20.699006223678587,0.00021211321084895946,2.181835643450419,265,-0.008659229474142193
0.0,0,0.0,0.0,0.005671336980236413,0.0,4,0.0001284927954354013,0.04576381541167696,28800,0.013356982419888178,5.2496412051065516e-05,-0.005491987545974552,0.013356982544064522,-11.245072937011718,0.0001284927954354013,2.1900022506713865,302,-0.005437691540767749
0.0,0,0.0,0.0,0.00241494496043193,0.0,5,9.328515067560753e-05,0.022083747045447428,36000,0.012699528317898511,1.7250072164642916e-05,-0.0042839740480606755,0.012699528131633997,-6.281409033139547,9.328515067560753e-05,2.1907775243123373,304,-0.0042853985525046785
0.0,3324.5833333333335,0.0,0.0,0.0037299731069030478,0.0,6,0.00017248348058274132,0.03330076686106622,43200,0.010752085192749897,2.910747944800581e-05,-0.005071993529175718,0.010752085223793983,-20.594240188598633,0.00017248348058274132,2.192316977183024,300,-0.005006925311560432
0.0,3324.5833333333335,0.0,0.0,0.0013127674675675887,0.0,7,8.892000102302214e-05,0.008430625560383003,50400,0.012729715680082639,5.330281949985268e-06,-0.004946323220307628,0.012729715555906296,-21.716109720865884,8.892000102302214e-05,2.1875761349995932,314,-0.004919583785037199
0.0,3324.5833333333335,0.0,0.0,0.0013869728997906452,0.0,8,0.0001377406264509773,0.012946799863129854,57600,0.02349664724121491,3.3062568869960765e-06,-0.0059277211471150315,0.02349664724121491,-5.835392920176188,0.0001377406264509773,2.1712108055750527,326,-0.005860764991181592
0.0,3324.5833333333335,0.0,0.0,0.002278552066132564,0.0,9,7.21132341880093e-05,0.026378028777738413,64800,0.009703195483113328,1.6673026588402234e-05,-0.00341143140103668,0.009703195483113328,-6.074260902404785,7.21132341880093e-05,2.193330160776774,337,-0.003290677512995899
0.0,3324.5833333333335,0.0,0.0,0.0017712137857234397,0.0,10,4.3383629054005725e-05,0.02019378049299121,72000,0.010231830676396688,1.2127970469085389e-05,-0.00215402659183989,0.010231830676396688,-7.35604985555013,4.3383629054005725e-05,2.192982824643453,345,-0.002122776893277963
0.0,3324.5833333333335,0.0,0.0,0.002822476659417499,0.0,11,5.036814033398211e-05,0.03478213562630117,79200,0.01075688898563385,2.179179730129969e-05,-0.0021437907746682566,0.01075688898563385,-7.367322572072347,5.036814033398211e-05,2.1925522089004517,354,-0.0021984580516194304
0.0,3324.25,0.0,0.0,0.0007991752278299424,0.0,12,9.47193083751093e-05,0.009830851821849744,86400,0.006748604727908969,3.5620225456038196e-06,-0.0024380884133279324,0.006748604821041226,-15.657573922475178,9.47193083751093e-05,2.195322855313619,363,-0.002377025429935505
0.0,3324.25,0.0,0.0,0.0011659227716976797,0.0,13,5.695626025499223e-05,0.010153406982620556,93600,0.01999511420726776,3.6404431331978533e-06,-0.0027597076375968756,0.019995115029936037,-10.729434339205424,5.695626025499223e-05,2.17779761950175,370,-0.0027525026234798133
0.0,3324.25,0.0,0.0,0.0006940487370246215,0.0,14,5.2023611578988495e-05,0.01030693642484645,100800,0.01060953652486205,1.6926666660310729e-06,-0.002098644222132862,0.01060953652486205,-5.17231334845225,5.2023611578988495e-05,2.1902138312657673,378,-0.002093233816170444
0.0,3324.25,0.0,0.0,0.0023565575337163047,0.0,15,2.480503627945533e-05,0.031383825900654,108000,0.008944568752000729,1.6963482388140012e-05,-0.0011412768935163816,0.008944568767522773,-7.68216012318929,2.480503627945533e-05,2.1939854939778645,384,-0.001090929207081596
0.0,3324.25,0.0,0.0,0.0007871267853656246,0.0,16,9.271399979600877e-06,0.011693693806106846,115200,0.008469922561198473,3.862855062190344e-06,-0.00072491762075515,0.008469922561198473,-4.641802779833475,9.271399979600877e-06,2.1943237225214642,391,-0.0007103351119440049
1.0089168204672207e-05,3324.4166666666665,0.0,0.0,0.002063046011265526,0.0,17,5.21281524611873e-05,0.028494660553470667,122400,0.015344884963964836,1.3401281226603288e-05,-0.000295601354359197,0.0089969699172717,-8.98469450182385,4.2038984227619686e-05,2.1939040089978117,394,-0.0002074017940968689
2.4744500187403952e-05,3324.4166666666665,0.0,0.0,0.0009709461502753944,0.0,18,3.102643673672999e-05,0.014507061453196145,129600,0.02701570310860887,3.88306071436145e-06,-9.025455286366958e-05,0.007662145542276522,-8.00756119983537,6.281936516117752e-06,2.194803756049701,390,-6.843486844330086e-05
1.8852779653027094e-06,3324.4166666666665,0.0,0.0,0.0007599191435306105,0.0,19,-6.540465639036917e-06,0.012619051259656549,136800,0.025249441595299658,2.6171960750617914e-06,0.00033937044479810175,0.007586224689253078,-6.621279538690098,-8.425743557789021e-06,2.194853615391822,386,0.0003298180532840554
2.1502420281965194e-06,3324.4166666666665,0.0,0.0,0.000676505834105677,0.0,20,3.2699329875009024e-06,0.01193883442262646,144000,0.02272518003067475,2.38641101206883e-06,0.00026137522882598724,0.007153094135601783,-5.799515920749732,1.1196909104596453e-06,2.195143189780296,384,0.00024585884587371954
2.650030075524592e-06,3324.4166666666665,0.0,0.0,0.0006184205678514718,0.0,21,6.0104696961997275e-06,0.011181809183651605,151200,0.024377743799375805,2.1041968101514654e-06,7.69049008813457e-05,0.006900542431331573,-6.82801865400518,3.360439576319839e-06,2.195290625332754,381,7.0594065412013e-05
4.02830687299218e-06,3324.4166666666665,0.0,0.0,0.0005957312096899189,0.0,22,2.8865492826074214e-06,0.01137560748834244,158400,0.02281283636248508,2.1016705099963998e-06,0.0001827562438654635,0.006755886097357329,-5.918530446366658,-1.1417574814754274e-06,2.1953690389350613,380,0.00018402221523567964
-4.526600360166066e-06,3324.0,0.0,0.0,0.00042207830975008685,0.0,23,-1.2903036617821666e-05,0.008478840607264334,165600,0.021924505440146222,1.240643798262121e-06,0.0005179211359952913,0.006270986361288657,-6.6812447964577455,-8.376436231027166e-06,2.195622826947106,377,0.0005011960067504188
-3.242921697030113e-07,3324.0,0.0,0.0,0.000337552788197736,0.0,24,-7.148177565373512e-06,0.007000092067580211,172800,0.020209308530107915,7.744480695820015e-07,0.00038955106633087165,0.006931780061854552,-6.085981599783142,-6.823885299098719e-06,2.195248036914401,377,0.0003739104424222378
-2.5275075616928147e-07,3324.0,0.0,0.0,0.0003061107807946417,0.0,25,3.8606012151135847e-07,0.006631656844410971,180000,0.01896156745895044,7.033637637353762e-07,9.309727956140708e-05,0.006547227643341536,-5.180347652905201,6.38810866900316e-07,2.1954697771740967,375,9.639269448225555e-05
6.813744944161518e-07,3324.0,0.0,0.0,0.000365896585014897,0.0,26,3.5129872328967486e-06,0.008426587439256734,187200,0.01904400767167789,1.0315012758664038e-06,-2.5990110922549398e-05,0.006649967060164455,-4.514074471581865,2.831612756391294e-06,2.195425364381422,372,-2.218997297263957e-05
8.606727045438737e-07,3324.0,0.0,0.0,0.00024406256817115874,0.0,27,4.97935140383131e-06,0.005801914641113219,194400,0.0189137773294792,5.582094222925822e-07,-0.00016175465379651284,0.006815410797764087,-6.51634194848198,4.118678738704367e-06,2.195335635169301,370,-0.0001607927645759844
1.3927111597666908e-06,3324.35,0.0,0.0,0.0003210714271319463,0.0,28,6.345709355787987e-06,0.007886145228856346,201600,0.017134005525167882,9.061650928020987e-07,-8.424943987661785e-05,0.006944156158068735,-4.712644181705657,4.952998215315352e-06,2.195262748353065,369,-7.970122227637453e-05
-1.0126207904498508e-07,3324.35,0.0,0.0,0.00022470370316204886,0.0,29,3.485586314766769e-06,0.005235901580324732,208800,0.01832405442267868,5.325053589215544e-07,-8.573958218101073e-05,0.007019366238163982,-5.578664750338547,3.5868483757481325e-06,2.1952200027243793,367,-8.506335342036153e-05
9.268098303646253e-07,3324.35,0.0,0.0,0.00022756165994480796,0.0,30,-3.2824144240584045e-06,0.005519245023307608,216000,0.01836877691368548,4.460557512898532e-07,0.00016204991432254074,0.007582547692384906,-4.77283384840955,-4.209224296605115e-06,2.1948769009870195,366,0.00016210732095780337
-6.914517750133082e-07,3324.35,0.0,0.0,0.00022020623858447035,0.0,31,-1.7663064748661318e-06,0.005527396466525729,223200,0.019085348671401985,4.898736282554419e-07,0.0001221431415245437,0.007206183532973574,-5.442432744119848,-1.0748547371478586e-06,2.1951151379611757,365,0.00011165517967593564
2.0336381959621588e-06,3324.35,0.0,0.0,0.00021900141593759608,0.0,32,5.923498804876275e-06,0.005546966722030588,230400,0.01720608151122366,4.80607656616111e-07,-2.955350972103381e-05,0.007258508613544994,-6.900909831457668,3.889860596159686e-06,2.195083958951254,365,-2.500913639901757e-05
2.0347432310977243e-06,3324.35,0.0,0.0,0.0002057005671725178,0.0,33,7.068531067646847e-07,0.005515604291408274,237600,0.015477125939029815,4.816334004063815e-07,2.050936287516725e-05,0.007404995393839531,-5.207312333891315,-1.3278901334494155e-06,2.194997838347677,365,2.522422532282444e-05
1.131568497658101e-06,3324.5138888888887,0.0,0.0,0.00018525354406030792,0.0,34,1.227663425934557e-06,0.004906872102100329,244800,0.018718734909789845,4.1251268559958e-07,4.033390877914604e-05,0.0077065918976826275,-5.2054049164499725,9.609489321328771e-08,2.1948116519922474,363,4.2196503795396474e-05
1.2850863233705382e-06,3324.5138888888887,0.0,0.0,0.0001685699102377043,0.0,35,7.260619329354245e-08,0.004283380566806059,252000,0.01800678047972421,3.602768935983045e-07,0.00015744636831078378,0.008075348541495346,-5.426902773548213,-1.2124801393213824e-06,2.194569773948382,364,0.00015851657687874878
-3.9373615921124024e-07,3324.5138888888887,0.0,0.0,0.00015160163528225845,0.0,36,-6.024303010245636e-06,0.004178286924743878,259200,0.017017794215815174,2.634049243568254e-07,0.00027374806891837956,0.0078539277173187,-4.420458541819974,-5.630566836525228e-06,2.19471561075203,363,0.00027529792491693105
7.616765480576575e-07,3324.5138888888887,0.0,0.0,0.00019577288840014068,0.0,37,-3.0793032262056024e-06,0.005373500512940432,266400,0.01664690211928997,4.143424065526683e-07,0.0002293678891459104,0.007836749355534151,-3.707954085805113,-3.840979813516893e-06,2.1947314918325063,361,0.00023182984050137707
2.137395935519113e-06,3324.5138888888887,0.0,0.0,0.00015431424126691783,0.0,38,-8.687537549859231e-07,0.004102862434724725,273600,0.01786213766554341,2.9017167175211437e-07,0.0001415837595856449,0.008173756493937973,-6.339475201227203,-3.006149672089385e-06,2.1945137968895927,362,0.00014808075800438116
1.478044236205329e-06,3324.4166666666665,0.0,0.0,0.00021219755324603217,0.0,39,-3.4079705887275884e-06,0.005578828185116725,280800,0.013859520020362521,4.78213138473942e-07,0.00022636993080404577,0.008264754784833048,-4.281868615552546,-4.88601478778154e-06,2.1944522242602846,361,0.00022146890407660587
1.224805531759713e-06,3324.4166666666665,0.0,0.0,0.0001395958944558349,0.0,40,-2.3800643950515843e-06,0.003971608621262696,288000,0.015430833602358723,2.3068902298436278e-07,0.00015137914610606758,0.008396558339594132,-3.9760233078064857,-3.604869930530897e-06,2.194365432077875,360,0.00015301088986269216
8.855469329542747e-07,3324.4166666666665,0.0,0.0,0.00016326101066891925,0.0,41,-5.941114354515869e-06,0.0043706770342307796,295200,0.01564410704310008,2.967543000816608e-07,0.00039658741482516006,0.00882538393009257,-4.219550620960022,-6.826661270440521e-06,2.194064156857748,359,0.0003937115182387144
3.120644466698897e-07,3324.4166666666665,0.0,0.0,0.00014404051222487068,0.0,42,-3.6745736882082267e-06,0.0040750806465225725,302400,0.01533862051007057,2.640958557952375e-07,0.00020066791078000425,0.008492520949951123,-4.2530485163463485,-3.9866381463421735e-06,2.1943002351787357,359,0.00020115710966812746
1.444970237850877e-06,3324.4166666666665,0.0,0.0,0.00015159024205390587,0.0,43,-4.841182108806145e-06,0.004280539475707523,309600,0.016056101923616277,2.6495272623185324e-07,0.00029571432576573446,0.00833938717413398,-4.724515061165604,-6.286152343509979e-06,2.1944038649589293,359,0.00029554247219118495
9.767017777660917e-08,3324.4166666666665,0.0,0.0,0.00015407566160073857,0.0,44,-8.744266353674401e-06,0.004126640717562786,316800,0.01588728630167516,2.4232558659032013e-07,0.00043438212772646995,0.007917529307847853,-5.6240196072629525,-8.841936510609658e-06,2.194681654285502,358,0.00042584452041111913
-4.3716929261983326e-07,3324.53125,0.0,0.0,0.00014194095639434289,0.0,45,-9.628213297515758e-06,0.004021694631734723,324000,0.01669936282592259,2.474323707371536e-07,0.00040633162406769705,0.007828912380960057,-5.2800400441124475,-9.191044045429575e-06,2.194736860441055,357,0.0004069410366056792
3.151178550853822e-07,3324.53125,0.0,0.0,0.00012162924640669298,0.0,46,-9.495398621148012e-06,0.0033180870448880355,331200,0.017631028118979424,1.7711347040496485e-07,0.00039588732346832297,0.008134861178363541,-5.115983561303408,-9.810516517450512e-06,2.1945344461429688,358,0.00039533313726491226
5.810439182344496e-07,3324.53125,0.0,0.0,0.00013413815673434575,0.0,47,-9.361125188696051e-06,0.003600519097775249,338400,0.01508021842392664,2.1308623257554925e-07,0.0003714349082016539,0.008306905342322632,-4.273853776670953,-9.942169119063489e-06,2.1944203193604,357,0.0003754886653479372
4.572753922555115e-07,3324.53125,0.0,0.0,0.0001451416996489394,0.0,48,-1.0010161693300433e-05,0.004009127312588688,345600,0.013862897244912803,2.3161593622633348e-07,0.0004901536955109262,0.007821019836818483,-4.391512356808104,-1.046743705197218e-05,2.19474127220729,357,0.0004813869680643264
2.5945206002255663e-08,3324.53125,0.0,0.0,0.00012133409289785461,0.0,49,-1.3251647247670466e-05,0.0033124773039428027,352800,0.015390652113756727,1.8046038152725206e-07,0.0005510913178884602,0.007555426894520809,-5.844247268745826,-1.327759247089295e-05,2.194908822538361,357,0.0005493320501478767
2.4200235905325635e-07,3324.61,0.0,0.0,0.00014308649659931436,0.0,50,-1.1141537314630818e-05,0.00429561052422123,360000,0.014080185039121678,2.4458543737460685e-07,0.0005014183324730583,0.007640191379136271,-4.5222940707805925,-1.1383539668917892e-05,2.1948563944662687,357,0.0004993305908244721
4.079581758688414e-07,3324.61,0.0,0.0,0.00010458800753556715,0.0,51,-1.0191123117263588e-05,0.0029982621529895353,367200,0.0131352606321754,1.4604730490625733e-07,0.0004731603498076626,0.007615028509190158,-5.217298182465097,-1.0599081293906258e-05,2.1948708150184975,357,0.00047064284005380355
1.4953357540068773e-07,3324.61,0.0,0.0,0.00012276267352288964,0.0,52,-1.323209620024696e-05,0.003325292628872727,374400,0.015121372364678238,1.8326751694450681e-07,0.0006212368862245018,0.00795005198725174,-4.078132011452049,-1.3381629793146417e-05,2.194651854035085,356,0.0006166983862095986
-2.5606048797541143e-07,3324.61,0.0,0.0,0.00010830853948608117,0.0,53,-8.865133630798356e-06,0.0031014018364011356,381600,0.013757164702632479,1.5115891891593498e-07,0.00040299881693249394,0.007800721397288339,-4.72185906728976,-8.609073161889104e-06,2.1947538644390763,356,0.0003997801238066618
6.622392905340758e-07,3324.61,0.0,0.0,0.00012655402428526384,0.0,54,-6.881743034751872e-06,0.0037945074663518603,388800,0.012919499157723436,2.1308918276801465e-07,0.00034604492868272853,0.007848428226231286,-4.4783096586664515,-7.543982323759926e-06,2.1947231935224836,356,0.00034407883049858526
