policy_entropy,fps,P01:episode_rewards,episode_length,PMM:episode_rewards,P09:episode_rewards,value_loss,explained_variance,epoch_idx,grad_norm,frames,advantage_norm,policy_loss
1.3389066511392593,333,0.0,157.17777777777778,0.7777777777777778,2.6000000000000014,0.05162356706416176,-1.7791405487060548,1,2.609794449625203,8000,1.7387692510336636,-0.0036420568583707793
1.3696065664291381,161,0.0,167.60416666666666,1.0208333333333333,3.0,0.011991119675158188,-0.035177186727523804,2,0.20080035801166443,16000,1.0976553310453891,0.0010453989217057823
1.383009215593338,187,0.0,178.5,1.3,3.0,0.014374947900441838,-0.009868621826171875,3,0.18674283438598038,24000,1.2644816442206501,0.002225169636076316
1.3840895593166351,204,0.0,182.8,1.4,3.0,0.014803400037098981,-0.003162413239479065,4,0.16211855776494807,32000,1.3028245286643505,0.0020886765187606215
1.3822893071174622,218,0.0,191.07,1.62,4.0,0.01305379517880283,-0.0027096217870712282,5,0.17833083360588659,40000,1.1676553479954601,4.564736504107714e-05
1.3847044372558595,228,0.0,189.48,1.6,4.0,0.015520215943652146,-0.03134446203708649,6,0.21289855056845675,48000,1.3489377827569842,-0.0008808531644172035
1.375620617866516,236,0.0,186.98,1.55,3.1000000000000085,0.014411808213026234,-0.007482181191444397,7,0.24166867823911187,56000,1.2309202495217324,0.0027755987545970127
1.3769406855106354,243,0.0,183.39,1.5,3.0,0.015237742364151928,0.01613728404045105,8,0.20961260629527068,64000,1.2928948104381561,0.0009501135814934968
1.3788943564891816,248,0.0,185.35,1.57,4.0,0.012137786627754395,0.04088317573070526,9,0.18436351017696545,72000,1.131661249101162,0.0009138966743194032
1.3807538616657258,252,0.0,181.24,1.38,4.0,0.014134955224071745,0.12258651435375213,10,0.22121451585106988,80000,1.2561855329573155,0.0017645997856743634
1.367245498895645,255,0.0,172.02,1.11,3.0,0.01055842808127636,0.12869364142417908,11,0.278474906918394,88000,0.9653835931420326,0.0008738292301131878
1.374942193031311,259,0.0,174.14,1.17,3.1000000000000085,0.012920248908485518,0.263879674077034,12,0.2693293825918517,96000,1.2388100183010102,0.0009761459557921625
1.3692819058895112,262,0.0,178.51,1.3,3.0,0.01488251461647451,0.45067982077598573,13,0.3474265117328348,104000,1.4075797843933104,0.004968938569072634
1.3354745727777482,265,0.0,186.74,1.52,4.0,0.023822405253304167,0.6117067456245422,14,0.6787881007987822,112000,1.554410718679428,0.0018951581131841522
1.3247254878282546,267,0.0,199.05,1.86,5.0,0.018058828285429627,0.750233610868454,15,0.5428754712585999,120000,1.5231494545936584,-0.00728809413529234
1.3614201080799102,268,0.0,206.98,2.08,6.0,0.012728568107122555,0.8205159109830856,16,0.3899190566843984,128000,1.350122915506363,-8.595084378612227e-05
1.3570214343070983,269,0.0,209.7,2.17,7.1000000000000085,0.01592225810745731,0.8148018115758896,17,0.45919410458091664,136000,1.2893304961919785,-0.0055955670401453975
1.3571664583683014,271,0.0,212.63,2.27,8.0,0.011980918551562353,0.8776268243789673,18,0.3679215184904789,144000,1.3142899405956268,-0.003306919100286905
1.350032547712326,272,0.0,214.02,2.3,7.0,0.010339501030975952,0.8839073318243027,19,0.3387445361969919,152000,1.2023956680297851,-0.001078071069437101
1.3648837971687318,273,0.0,206.89,2.12,5.1000000000000085,0.009566836522426457,0.8921100479364396,20,0.33463482902170133,160000,1.1582905289530754,-0.0002739783565630205
1.362047665119171,274,0.0,211.4,2.2,6.0,0.01083732716506347,0.8864303290843963,21,0.33339929612450997,168000,1.2363979852199554,0.004141777507393272
1.3545798075199127,275,0.0,208.05,2.04,6.0,0.006841792626073584,0.9157294374704361,22,0.2804097183405372,176000,0.9770183107256889,-0.0020273350668139757
1.3461745703220367,277,0.0,202.83,1.88,5.0,0.006380806540837511,0.9294950419664383,23,0.2595445989656896,184000,0.9271551907062531,0.0002011535334168002
1.3521793258190156,278,0.0,197.25,1.73,5.0,0.007005374896689318,0.9101987832784653,24,0.25474878804600026,192000,0.9713238111138344,-0.002523372749274131
1.336655740737915,278,0.0,203.14,1.94,5.0,0.005343389887711964,0.9334334951639175,25,0.22445288027618965,200000,0.8311875396966935,-7.400293718092144e-05
1.3221230924129486,279,0.0,201.89,1.95,5.0,0.007114748045569286,0.9404606008529663,26,0.2761396103634819,208000,0.9812261697649955,-0.0029848401594063036
1.3318793714046477,280,0.0,203.56,2.04,5.0,0.005433198094251566,0.9504491019248963,27,0.2519884732207228,216000,0.850998320877552,-0.0027801475452724845
1.3244737207889556,281,0.0,212.63,2.19,5.0,0.0036551988002611322,0.9680451840162277,28,0.1959276454676299,224000,0.6937451715767383,-0.00054924350217334
1.3514575147628785,282,0.0,208.01,2.09,5.0,0.005612812749459409,0.9426844787597656,29,0.22012182787938606,232000,0.8431075286865234,-0.0011681577021954582
1.3327806043624877,282,0.0,210.36,2.24,6.0,0.006574366902932525,0.9378377270698547,30,0.26956155516720753,240000,0.9224144154787064,-0.003006303953079623
1.336073452234268,283,0.0,192.77,1.73,5.0,0.0036511902351048773,0.9631572669744491,31,0.19339203384502773,248000,0.6943262057006359,-0.0015679257677402346
