P01:episode_rewards,fps,policy_loss,policy_entropy,episode_length,PMM:episode_rewards,P09:episode_rewards,value_loss,epoch_idx,grad_norm,explained_variance,frames,advantage_norm
0.0,359,0.0004716640225706215,1.3465216241776943,174.075,1.2,3.0,0.049154238978953796,1,1.6417848119325162,-1.2351344430446625,8000,1.85666947953403
0.0,174,0.001863673474290408,1.3822405910491944,174.10344827586206,1.2183908045977012,3.0,0.01299868326563228,2,0.22172769034583797,0.03940129339694977,16000,1.1936726658791303
0.0,210,-0.0003562005155254155,1.3792382633686067,178.46,1.3,3.0,0.01277740989187805,3,0.2266448391244888,0.07726824760437012,24000,1.1796322928741574
0.0,236,0.0027486425363167657,1.3792863547801972,173.53,1.17,3.0,0.011310140646146464,4,0.2082347466176754,0.033728161454200746,32000,1.0375761683285236
0.0,255,0.0029101598303532226,1.3825500452518462,172.03,1.17,3.0,0.01397638018916041,5,0.21492982840241695,0.037907317876815796,40000,1.2523941251263022
0.0,269,0.0007027521189593244,1.376333978176117,188.81,1.56,4.0,0.01452106941571401,6,0.2653079607188484,0.004555659294128418,48000,1.2779910065233708
0.0,280,0.002197521160414908,1.3772701394557954,193.29,1.69,4.0,0.017547534535769956,7,0.3217975013112608,0.12932247221469878,56000,1.3034046249091624
0.0,290,-0.0012548132989468287,1.3796986877918243,183.01,1.42,4.0,0.013689248245209456,8,0.30718332510776447,0.22539064347743987,64000,1.2563200488686561
0.0,299,0.0010669977571524214,1.3829350340366364,184.08,1.39,3.1000000000000085,0.013926487696153345,9,0.3258472380453745,0.2568633133172989,72000,1.2988512164354324
0.0,305,-0.0014915315032703802,1.3747188937664032,186.85,1.49,3.1000000000000085,0.012571559326024726,10,0.3242651333656441,0.19427392601966859,80000,1.2300583907961846
0.0,311,-0.0014783703156354023,1.3535210633277892,170.28,1.14,2.1000000000000085,0.009610637415898965,11,0.32147000121965535,0.46534661650657655,88000,1.135202133655548
0.0,317,-0.0002073777989426162,1.3709349405765534,165.72,1.01,3.0,0.010268898973299656,12,0.3367262509493839,0.5353529334068299,96000,1.1470249480009078
0.0,321,-0.002112150007742457,1.3753060507774353,176.14,1.23,3.0,0.01511581554892473,13,0.4323682067824347,0.6538734775781632,104000,1.4321255803108215
0.0,325,-0.0019756259831774513,1.365242795944214,193.74,1.69,4.0,0.016953876281622798,14,0.5343290477452645,0.7086371439695358,112000,1.456695979833603
0.0,328,-0.003648272657301277,1.3667047357559203,208.65,2.09,5.0,0.013798646689392626,15,0.4774030376899645,0.770396203994751,120000,1.3628997975587844
0.0,331,-0.005469517845194787,1.369663622379303,202.17,1.89,5.0,0.018329800341743977,16,0.5177564552649717,0.7539237207174301,128000,1.40742642223835
0.0,334,-0.003666021459212061,1.3717539584636689,198.83,1.8,4.1000000000000085,0.01118090829346329,17,0.41736369176640364,0.8311357355117798,136000,1.2564685040712356
0.0,336,-0.001999095155042596,1.3452411961555482,205.28,1.96,5.0,0.006975794543977827,18,0.29840883924476885,0.9118912833929061,144000,1.0156498530507088
0.0,338,-0.0019285683182533831,1.3424732565879822,207.7,1.96,5.0,0.005630918219685555,19,0.2782437206532492,0.88714899122715,152000,0.88695530295372
0.0,343,-0.0013806910981656983,1.3405947268009186,203.64,1.88,5.0,0.006012538390350528,20,0.2514892556814036,0.9318308174610138,160000,0.8897031244635581
0.0,349,-0.00010730021051131189,1.3233363628387451,211.21,2.1,5.0,0.004576217690482736,21,0.24789223734535462,0.9597494381666184,168000,0.7943725460767745
0.0,355,-0.0013246454231557437,1.3470175886154174,208.3,2.01,5.0,0.004060671380138956,22,0.2132943309011001,0.9527171444892883,176000,0.7319762815535068
