P01:episode_rewards,episode_length,explained_variance,frames,policy_loss,policy_entropy,epoch_idx,P09:episode_rewards,value_loss,PMM:episode_rewards,advantage_norm,fps,grad_norm
0.0,163.95454545454547,-1.268718454837799,8000,-0.011007468524912838,1.334305135011673,1,2.700000000000003,0.08133088314332781,0.8636363636363636,1.6572948614135385,557,1.6965609939968855
0.0,166.8673469387755,-0.027235152125358583,16000,-0.0004286266316194087,1.369489438533783,2,2.0,0.009900224027751392,0.9795918367346939,0.9503300936892629,327,0.1781151434912711
0.0,177.35,-0.05892828166484833,24000,0.004549924535003811,1.3811053872108459,3,3.0,0.013246142976122428,1.26,1.1672384690865873,370,0.193552617679286
0.0,178.78,-0.08375916659832,32000,-0.0005022873694542796,1.380559468269348,4,3.0,0.01216133587810873,1.28,1.10362047880888,396,0.19846717623164495
0.0,169.38,-0.03746702790260315,40000,5.462425164296292e-05,1.3682017469406127,5,3.0,0.011430403941340046,1.09,1.0291874701529742,414,0.22256778822477588
0.0,166.15,-0.029096086025238038,48000,0.000668729759636335,1.36738285779953,6,3.0,0.012752105200634105,1.11,1.1479662007838487,424,0.21340871188736632
0.0,174.55,0.0009225940704345703,56000,0.0011728202945232623,1.3771469569206238,7,3.0,0.011582785395221435,1.27,1.1280347845703362,429,0.2153721658446078
0.0,180.0,-0.1996170300245285,64000,-0.000588561674230732,1.3700911724567413,8,3.0,0.013496978559633135,1.32,1.194790898412466,437,0.26784365374404046
0.0,174.41,0.1726817512512207,72000,2.170087129343301e-05,1.3685823440551759,9,3.0,0.011875543552014279,1.18,1.1972861588001251,443,0.2917554596759998
0.0,173.87,0.2578255981206894,80000,0.0003196183138061315,1.3805532741546631,10,3.0,0.011444585181889124,1.19,1.2011026230454445,449,0.2931504772771958
0.0,173.36,0.4778501224517822,88000,0.0005835673813999165,1.3794460558891297,11,3.0,0.010297619541088352,1.15,1.1332779340445995,454,0.30894615202055364
