P01:episode_rewards,P09:episode_rewards,epoch_idx,fps,PMM:episode_rewards,grad_norm,explained_variance,policy_loss,policy_entropy,frames,advantage_norm,episode_length,value_loss
0.0,4.0,1,579,1.5945945945945945,0.6946894140293105,-0.5871267706155777,0.0033048980217427015,1.359997606277466,8000,1.408764919936657,192.13513513513513,0.02062914800654653
0.0,5.0,2,376,1.725,0.28519079745032466,-0.04096699595451355,0.0035482744459295647,1.365334541797638,16000,1.4047175407037138,196.7875,0.016846453744947212
0.0,6.0,3,451,1.99,0.2800273008066514,-0.009769382476806641,-0.0010124476440250873,1.3786694180965424,24000,1.3638672164082528,206.61,0.015266801293983008
0.0,5.0,4,501,1.89,0.24345986695727942,-0.08012396514415741,0.003373650385910878,1.37838440656662,32000,1.123994851782918,201.7,0.012024401656526606
0.0,4.0,5,540,1.58,0.3751267836122066,0.03447776138782501,-0.0018133819336799207,1.3751955032348633,40000,1.4340593748539687,189.56,0.017379640355939044
0.0,4.1000000000000085,6,569,1.75,0.3614662711580659,0.18099450886249543,0.0015154594674822875,1.3704111361503601,48000,1.5206608276069165,197.74,0.01785685050097527
0.0,4.1000000000000085,7,592,1.91,0.3490320584895924,0.2163298696279526,-0.0002488475505379029,1.3604096710681914,56000,1.3096693037450313,204.4,0.013920420846843626
0.0,3.0,8,607,1.37,0.3979053388325021,0.5038599425554275,-0.004345477145507175,1.3727616059780121,64000,1.3355009970068932,183.47,0.013465299221570604
0.0,3.1000000000000085,9,621,1.31,0.40467282018389034,0.5867613488435746,-0.004896911584073678,1.36973486661911,72000,1.2349067920446395,179.26,0.01180186597746797
0.0,4.0,10,634,1.44,0.36161775968058474,0.7253118658065796,-0.0007301743541029282,1.3779936158657073,80000,1.3026327940821647,186.29,0.012810697019449434
0.0,4.1000000000000085,11,646,1.66,0.34924174993101686,0.7498933380842209,-0.0014742238691542297,1.3680112767219543,88000,1.3273756593465804,196.86,0.01254800498019904
0.0,5.0,12,656,1.76,0.41975441859925877,0.810037470459938,-0.00885720301012043,1.3590479469299317,96000,1.3000692957639695,198.22,0.014853064572671429
0.0,5.0,13,665,1.72,0.3239358989986998,0.859763303399086,-0.0021724345191614703,1.3542564010620117,104000,1.1094748666882515,193.98,0.009021244880277663
0.0,5.0,14,674,1.68,0.3041565635344188,0.8728101366758346,-0.0006686773407272995,1.3513582360744476,112000,1.0088634923100472,192.23,0.007527686569956131
0.0,5.0,15,681,1.98,0.34197000652971754,0.8614898771047592,0.0002935139849432744,1.361507487297058,120000,1.0594251796603202,203.18,0.008631409212248399
0.0,5.0,16,687,2.18,0.3167692801945762,0.8980238270759583,-0.003478838747832924,1.336112390756607,128000,1.0686021432280541,211.84,0.008497564034769312
0.0,5.0,17,692,2.22,0.2941225907389674,0.910393186211586,-0.00075218002544716,1.3387040960788728,136000,0.9802762392163277,213.37,0.007342839460470714
0.0,5.0,18,696,1.93,0.3183566034482942,0.8261907911300659,0.0005038601628621109,1.3655668258666993,144000,1.0537056271731853,202.25,0.009553932445123791
0.0,4.1000000000000085,19,699,1.59,0.26325621699829244,0.8954120028018951,-0.00034485987096559255,1.3587257468700409,152000,1.0073121589422227,189.74,0.007760600774199702
0.0,7.1000000000000085,20,703,2.24,0.2705221969815081,0.9358566015958786,-0.002535572914930526,1.3430294287204743,160000,0.8504777590930462,212.19,0.006849285934877116
0.0,9.0,21,707,2.63,0.24088692656841515,0.9235408067703247,-0.0013853727647801862,1.340381442308426,168000,0.9159170797467232,223.49,0.006278221546672284
0.0,8.0,22,710,2.55,0.24748596622404195,0.9471142578125,-0.0006174285194720142,1.3348557925224305,176000,0.870931046307087,223.54,0.005601946611714084
0.0,5.0,23,713,2.11,0.16721124149966787,0.9742109721899033,-0.0024387265788391233,1.3249509966373443,184000,0.6107390928268432,210.9,0.0029844133407459592
0.0,5.0,24,715,1.83,0.19691290576850012,0.9680090153217316,-0.0003704688817379065,1.3314720451831819,192000,0.6991026993095875,197.83,0.003925975914753508
0.0,5.1000000000000085,25,717,2.21,0.27167376307595165,0.9312362968921661,-0.0011619938095100224,1.3476455318927765,200000,0.9365076637268066,210.89,0.006885839037131518
0.0,7.0,26,718,2.42,0.24427401576683525,0.937504391670227,-0.00155370093176316,1.3525808215141297,208000,0.8870420207083225,218.1,0.005845370594179258
0.0,5.0,27,720,1.88,0.1680041529116363,0.9576109117269516,-0.0012016406012116932,1.3570397543907164,216000,0.6188024844229222,200.23,0.003413876368285855
0.0,5.0,28,722,1.42,0.21783775810524525,0.9518827414512634,-0.0005282033589901402,1.3505786347389221,224000,0.7851572099328041,182.95,0.004967735854443163
0.0,5.0,29,723,1.59,0.1651915278501538,0.9717960548400879,-0.0002638682500401046,1.3542872059345246,232000,0.5946202193200588,188.94,0.002952249229128938
0.0,4.0,30,725,1.31,0.20241588887921366,0.938841010928154,-0.001787291080399882,1.3518869948387147,240000,0.6667464783787728,178.86,0.00391343761322787
0.0,5.0,31,726,1.62,0.19313308236182164,0.9645598071813584,-0.0017486530073074391,1.3469206881523133,248000,0.699849598556757,190.85,0.004163052064250224
0.0,5.1000000000000085,32,728,1.98,0.19676764940467392,0.9491723328828812,0.0006394397985422984,1.355333126783371,256000,0.756198377162218,204.87,0.004774800168816
0.0,6.0,33,730,2.01,0.2266869534553668,0.9447130870819092,-0.0014529867994133383,1.344134315252304,264000,0.8254505303502083,202.81,0.005249033721920569
0.0,8.100000000000009,34,731,2.37,0.1976552517164064,0.9459383404254913,0.001017473134561442,1.3540106809139252,272000,0.7412025010585785,214.58,0.0046505326000624335
0.0,9.0,35,733,2.33,0.23206081796850048,0.9472890269756317,-0.00166317328956211,1.361582224369049,280000,0.804252472370863,211.44,0.005369146129814908
0.0,6.0,36,734,2.04,0.1594768856065624,0.9636525720357895,-0.0009722406270884676,1.357233761548996,288000,0.6248567742109299,204.63,0.0031758162076584995
0.0,6.1000000000000085,37,735,2.21,0.17924138156218786,0.9671305567026138,0.00037741356791229916,1.3613848972320557,296000,0.6689111682772636,212.39,0.003665015911392402
0.0,5.200000000000017,38,736,2.21,0.2041424356764959,0.95202239215374,-0.0006874734016309958,1.3579767727851868,304000,0.7637141129374504,213.73,0.004604728255653754
0.0,7.0,39,738,2.37,0.22272142057876748,0.9311504882574081,-0.00011462266382295639,1.3617564344406128,312000,0.8016866374015809,222.12,0.0057847839948954064
0.0,7.0,40,737,2.24,0.21953717137771683,0.9427642351388932,0.0006975431882892735,1.3564830029010773,320000,0.8490143804252148,212.43,0.005826855277409777
0.0,6.0,41,738,2.11,0.27378837401959255,0.8475277847051621,0.0004777132542221807,1.3664707553386688,328000,1.0533595114946366,204.8,0.008550043041468598
0.0,6.0,42,736,2.14,0.21130512960359332,0.9392374610900879,-0.002024554278505093,1.3538022637367249,336000,0.8346370728313923,206.26,0.005677525885985233
0.0,5.0,43,734,1.85,0.1489107777624124,0.9782465487718582,-0.0005573513836861821,1.3525594449043274,344000,0.5751246701180935,199.86,0.0025316455381107516
0.0,5.0,44,732,2.1,0.20872720937912842,0.8180262410640716,-0.00010177592994295992,1.3650497055053712,352000,0.8524434351921082,205.42,0.005500913054856937
0.0,6.0,45,729,2.23,0.2469363513904693,0.9203603661060333,-0.0020168492646189407,1.3477490639686585,360000,0.9019952481985092,210.98,0.006704725002637133
0.0,5.1000000000000085,46,724,2.09,0.16324141590874436,0.971214811205864,-0.0012051508881268092,1.3471035075187683,368000,0.6144044546782971,204.94,0.0032412814293638803
0.0,5.1000000000000085,47,720,2.17,0.15172465442338767,0.9787791484594345,-0.0010921723398496397,1.3413131606578828,376000,0.5755637077987195,208.91,0.0028847050984040835
0.0,9.0,48,716,2.59,0.1993111633074319,0.9530625081062317,-0.001542105368571356,1.3590143322944641,384000,0.7750136850774288,222.42,0.004954986307129729
0.0,9.0,49,712,2.94,0.2341838190375,0.9322822749614715,0.00125562669354224,1.3456841254234313,392000,0.9334679883718491,233.83,0.006951470907661132
0.0,8.100000000000009,50,707,2.86,0.27163924952080265,0.9084453123807907,-0.0009797755093313753,1.3649887037277222,400000,1.0237748569250107,231.13,0.007769346793647856
0.0,7.0,51,701,2.46,0.2678136639554459,0.9007422965765,-0.0033432988985441624,1.3730186879634858,408000,1.0004683324694634,218.75,0.007730355046805926
0.0,5.0,52,696,2.1,0.17575312457635164,0.9597756791114808,0.0006406356379739009,1.3514717423915863,416000,0.6988637398183346,206.01,0.004062063779565505
0.0,5.0,53,692,2.08,0.2871450401302006,0.9029759985208511,-0.0002735097105323803,1.363836386203766,424000,1.0121048605442047,204.06,0.007513941578799858
0.0,7.200000000000017,54,687,2.46,0.255780136300544,0.908315228819847,-0.0006948954530525953,1.3579965114593506,432000,1.032741717994213,216.62,0.00801467744866386
0.0,7.0,55,682,2.38,0.2165876011871209,0.9319942736625672,-0.0009684678066696505,1.3624694228172303,440000,0.8702713248133659,218.09,0.006112643217202276
0.0,6.0,56,678,2.2,0.2567206266517439,0.9208288812637329,-0.00022810276481322945,1.36320996761322,448000,0.9461818474531174,213.31,0.007001567498664371
0.0,6.0,57,674,2.46,0.2650751028178939,0.929284479022026,-0.0024142174862208775,1.3551598930358886,456000,0.9418606767058373,223.09,0.007103372836718335
0.0,6.0,58,670,2.48,0.24505217678920613,0.9204335010051727,-0.0009381913207471371,1.3621641099452972,464000,0.9629286658763886,220.09,0.007104669126565568
0.0,6.300000000000026,59,666,3.02,0.2912085732147713,0.9141447830200196,-0.0006615507488459116,1.3471927571296691,472000,1.1298744505643845,241.37,0.009194925951305777
0.0,6.0,60,662,2.82,0.21436002961426243,0.9429244261980056,0.00028429128622519783,1.3500822567939759,480000,0.8721881911158562,234.45,0.006140116450260393
0.0,5.0,61,659,2.63,0.35107764575341527,0.8383893877267837,-0.002359425167669542,1.354777762889862,488000,1.3113446426391602,229.07,0.012119001260725782
0.0,5.0,62,655,2.46,0.3234239139720732,0.864986709356308,-0.0006343147903680801,1.3576420140266419,496000,1.2154250571131706,221.46,0.010661427865270525
0.0,5.0,63,651,2.38,0.35321887012072617,0.884769514799118,-0.0028670959320152177,1.3444954872131347,504000,1.3051477032899856,218.76,0.012245931450743229
0.0,5.0,64,648,2.61,0.3630430225014029,0.8744472998380661,-0.0031408315361204585,1.3414394187927245,512000,1.30598215341568,228.88,0.012132168898824602
0.0,5.0,65,644,2.58,0.2994669537980082,0.9010338872671128,-0.0007290976200602017,1.3384396612644196,520000,1.1501406744122504,226.73,0.009561889896867798
0.0,6.0,66,640,2.86,0.28009805869868937,0.900721048116684,-0.0014735348883550615,1.3434614181518554,528000,1.0877696320414543,237.2,0.008551310029579326
0.0,6.0,67,636,2.62,0.3175099965940035,0.7906162869930268,-0.004079249945643824,1.3185655105113983,536000,1.3412180191278458,225.98,0.012830147367203608
0.0,5.0,68,633,2.09,0.3544115724352195,0.8144206529855729,-0.0037703186288126746,1.3176340556144714,544000,1.2467994344234468,203.19,0.011451601001317613
0.0,5.0,69,630,2.15,0.3421760757368255,0.842112797498703,-0.002978763892315328,1.2982599592208863,552000,1.3049804803729057,204.18,0.012429155127611011
