episode_length,policy_loss,advantage_norm,epoch_idx,explained_variance,frames,PMM:episode_rewards,P01:episode_rewards,fps,policy_entropy,grad_norm,P09:episode_rewards,value_loss
208.33,-0.00042748885147375404,0.7526177023351193,40,0.9499853873252868,320000,2.13,0.0,480,1.3398919951915742,0.1810712067491897,6.0,0.004611571047571488
209.98,0.0008737452811328695,0.8670422095060348,41,0.948868203163147,328000,2.18,0.0,481,1.353546243906021,0.23002300041783352,6.0,0.006015278317790944
216.4,-0.0016786909099892,0.6803789156675338,42,0.9578843402862549,336000,2.3,0.0,479,1.3477226078510285,0.1730490754785686,6.1000000000000085,0.0034798551455605775
215.45,-0.0008773186488542705,0.786086423099041,43,0.946688295006752,344000,2.23,0.0,479,1.3581416952610015,0.21188229991393256,5.0,0.005290033122873865
202.1,-0.003857057607965544,0.7226451793313027,44,0.9486752569675445,352000,1.94,0.0,479,1.3420886731147765,0.19208922672783416,5.0,0.004398828670673538
215.81,-0.0005863266537198797,0.6047207376360894,45,0.9736681342124939,360000,2.32,0.0,479,1.337173399925232,0.1550362689664375,5.0,0.0029270348092541097
217.25,0.0008196966606192291,0.7605149222910405,46,0.9337080031633377,368000,2.46,0.0,478,1.3407375621795654,0.19489490284365463,8.100000000000009,0.005012527405051514
204.56,-0.0011681221761682535,0.7134583546221256,47,0.9562872499227524,376000,2.1,0.0,478,1.3435921132564546,0.17823618834638366,6.1000000000000085,0.004078151637222618
207.21,-0.0015214401154662483,0.7255424612760544,48,0.9613889783620835,384000,2.13,0.0,477,1.342176729440689,0.1739504451399623,6.0,0.004194895054970402
203.16,-0.000117430677782977,0.6473076443374157,49,0.9538369965553284,392000,1.93,0.0,476,1.342047883272171,0.1635327336223317,5.1000000000000085,0.003572522988251876
209.7,-0.00017602419306058436,0.7702347838878632,50,0.9601242238283157,400000,2.09,0.0,475,1.3370393776893617,0.18755763431597924,5.1000000000000085,0.0044461348594632
206.6,-0.00027326562616508454,0.6753267499804497,51,0.9670000505447388,408000,2.05,0.0,474,1.3572191441059112,0.16435205926245408,6.0,0.003695413167879451
211.41,-0.002269724590150872,0.9482014440000057,52,0.9318496906757354,416000,2.17,0.0,474,1.365723443031311,0.22593242224191545,6.0,0.006915054797427728
211.44,-0.0014360422733216182,0.7921135506033897,53,0.9468519711494445,424000,2.26,0.0,473,1.3517545652389527,0.18918384555827342,6.0,0.005375985170539934
211.93,0.0004831088217906654,0.5266468374431134,54,0.9781424129009246,432000,2.31,0.0,473,1.3439791202545166,0.11713660878674706,6.200000000000017,0.0022588784043909983
219.83,-0.0007776376846004495,0.6204440507292748,55,0.9372879242897034,440000,2.54,0.0,472,1.360399751663208,0.1388287446059195,8.100000000000009,0.003510638084699167
225.0,-0.0005510570353362709,0.744354158192873,56,0.9604248702526093,448000,2.62,0.0,471,1.3496819627285004,0.17636726246070705,6.300000000000026,0.004278579969832208
223.1,-0.0005539951346872841,0.630927617251873,57,0.9674021822214126,456000,2.46,0.0,471,1.3569282114505767,0.149516064888369,6.0,0.0034724893822567536
213.5,-0.002081651955959387,0.6301214621961116,58,0.9693821758031845,464000,2.18,0.0,470,1.3433122956752777,0.1502131262389347,5.0,0.0032337208566605114
204.27,-0.00018797516816903225,0.6396207894384861,59,0.9688513863086701,472000,1.95,0.0,469,1.3469930970668793,0.14606643855874352,5.0,0.0033978283846226986
