fps,frames,P09:episode_rewards,advantage_norm,clip_fraction,explained_variance,PMM:episode_rewards,grad_norm,policy_loss,episode_length,value_loss,P01:episode_rewards,approx_kl_divergence,epoch_idx,policy_entropy
444,10240,260.00000000000006,15.968717646598815,0.3909912109375,-1.182932699099183,181.4814814814815,14292114.30638587,0.046511249674949795,357.44444444444446,7785118.0621291995,100.0,7224.323335862622,1,1.6032218114082606
347,20480,459.99999999999994,15.968717831373215,0.2223388671875,-2.0489096641540527e-08,216.2280701754386,0.08575412578205686,-0.001748186658733175,352.3157894736842,0.0108390369128756,65.00000000000001,0.0030773133242291808,2,1.779543723911047
386,30720,357.49999999999994,15.968716901540756,0.2369384765625,1.4901161193847657e-09,192.89772727272728,0.0538473243664345,-0.0016174426429643063,347.59090909090907,0.008629412542381943,50.0,0.0032797523281033135,3,1.7805915229022502
405,40960,382.5000000000007,15.968717622756959,0.2246337890625,1.3411045074462891e-08,193.5,0.05640010001366942,-0.0013105486068525352,337.88,0.010739309915061312,25.0,0.0030852627283934455,4,1.7727783054113389
423,51200,327.5000000000002,15.968717873096466,0.2051025390625,-9.313225746154785e-09,174.5,0.05318656363624967,-0.0012444962492736522,330.32,0.009348166537529323,25.0,0.0028624208709914,5,1.7707045637071133
439,61440,277.5000000000002,15.968717741966248,0.222509765625,-1.899898052215576e-08,180.75,0.055836062110377636,-0.0012283002593903801,332.82,0.010308928498670867,47.50000000000001,0.003053425250266173,6,1.779846291989088
450,71680,350.0,15.968713492155075,0.2721923828125,-1.862645149230957e-09,169.25,0.052696686969625615,-0.001786884896500851,332.67,0.006674701835359542,25.0,0.0035050234989284943,7,1.7811103962361812
459,81920,300.0,15.968717563152314,0.1876220703125,-1.5273690223693846e-08,142.25,0.051333227263422376,-0.0011990331553533907,327.75,0.006669624817504882,22.500000000000007,0.002676595695766082,8,1.76629211679101
466,92160,275.0,15.968717634677887,0.2370849609375,9.313225746154785e-09,133.25,0.052966432187246545,-0.0018861131960875356,321.12,0.00817021686334556,25.0,0.0031738179194462646,9,1.7722900450229644
472,102400,252.50000000000023,15.96871758699417,0.2301513671875,-4.470348358154297e-09,135.0,0.0537289901784971,-0.0019157852464559255,325.49,0.00930908961518071,25.0,0.0031637104142873797,10,1.774189394712448
