frames,grad_norm,epoch_idx,fps,value_loss,PMM:episode_rewards,advantage_norm,policy_entropy,policy_loss,explained_variance,P01:episode_rewards,episode_length,approx_kl_divergence,clip_fraction,P09:episode_rewards
10240,9728527.7006074,1,473,4382014.507714631,71.09375,15.968716865777969,1.0408653476599108,0.10715702352790686,-3.136462842300534,0.0,301.6875,3337.5060417766763,0.715771484375,150.0
20480,0.11237084160620339,2,359,0.007329218803755566,91.92307692307692,15.968716883659363,1.7205372221767903,0.00018539156335464213,-1.1548399925231934e-08,0.0,306.81538461538463,0.005737845445111134,0.33212890625,200.0
30720,0.07482946110936432,3,404,0.007409720848431789,99.48979591836735,15.968717104196548,1.7744622312486171,-0.0016929682176851201,7.450580596923829e-10,0.0,310.7959183673469,0.004759135520271229,0.2867919921875,200.0
40960,0.05010983395027946,4,434,0.0075510787794968335,115.75,15.968712162971496,1.7684965953230858,-0.001947748675411276,-1.1175870895385742e-08,0.0,314.38,0.0034809816245967794,0.22841796875,202.50000000000023
51200,0.05245941898363645,5,453,0.00796856973308877,129.0,15.968717062473297,1.7637989811599255,-0.001815197702308069,4.097819328308106e-09,25.0,320.48,0.004183061732260285,0.2781982421875,275.0
61440,0.05277476564630066,6,466,0.010131063539120078,172.75,15.968717366456985,1.776969027519226,-0.002155120806128252,2.0489096641540527e-08,25.0,332.28,0.0036220712108161026,0.2498779296875,425.0
71680,0.05403436119826625,7,475,0.008357397202325955,180.75,15.968717437982558,1.7705856896936893,-0.0015549521442153492,-3.7252902984619143e-10,25.0,337.85,0.0033109022323969837,0.256298828125,427.5000000000002
81920,0.05369531524647968,8,481,0.009034571834490635,185.0,15.96871766448021,1.772393237054348,-0.0016358401313482317,1.1175870895385742e-09,25.0,341.22,0.0030026893773310802,0.2277587890625,477.5000000000002
92160,0.05280933829427033,9,487,0.008588209580329931,152.75,15.968716603517532,1.7748316802084445,-0.0019589613559219286,-9.685754776000977e-09,25.0,330.65,0.0035039160160522443,0.287646484375,300.0
102400,0.054068434022027934,10,491,0.008840705971647368,169.0,15.968717235326768,1.777804995328188,-0.0018375660481979139,-4.097819328308106e-09,25.0,332.98,0.003429382467447795,0.262890625,325.0
112640,0.05467827080552218,11,494,0.009125879025941686,160.5,15.968717682361603,1.7821401104331016,-0.0018796820728312013,2.644956111907959e-08,25.0,332.46,0.0036683277465499485,0.2649169921875,325.0
122880,0.05509946476812931,12,498,0.009156299725873396,175.0,15.968717527389526,1.7690349347889422,-0.0017926949592947494,-2.2351741790771484e-09,25.0,337.76,0.0028510414934203253,0.2240234375,427.5000000000002
133120,0.05606994891461943,13,502,0.010223771717573982,166.25,15.968717765808105,1.7739442832767964,-0.001300652983627515,-1.9371509552001954e-08,50.0,333.62,0.002785036079581005,0.2205810546875,302.5000000000002
143360,0.05227146770625405,14,504,0.007876368613551676,166.25,15.968717610836029,1.7523477144539357,-0.0023334291745413793,1.30385160446167e-08,47.50000000000001,331.26,0.003932538005551578,0.2945068359375,327.5000000000002
153600,0.05072217101497099,15,504,0.01019060314993112,170.25,15.968717867136002,1.7575905174016953,-0.0016480059472087304,3.725290298461914e-09,50.0,331.93,0.0031698145416157787,0.210205078125,327.5000000000002
163840,0.053509118848342016,16,506,0.008914464764984587,183.5,15.968717634677887,1.7749206073582173,-0.0016169287835509749,3.3527612686157227e-09,47.50000000000001,337.12,0.0027107414478791726,0.2046875,450.0
174080,0.050412252954694224,17,508,0.006435580134711927,162.0,15.968717527389526,1.766244975477457,-0.0010617412586725549,8.195638656616212e-09,25.0,328.55,0.003376923258053921,0.2179931640625,305.00000000000045
184320,0.05593951204763418,18,511,0.00947735251920676,153.5,15.968717777729035,1.7694524869322776,-0.0014916370622813702,-1.2665987014770507e-08,25.0,328.82,0.0028570683006137187,0.234375,275.0
194560,0.05581372748673915,19,512,0.009993783202662598,152.75,15.968717670440673,1.7779430724680423,-0.0013301842616783687,-1.825392246246338e-08,25.0,328.13,0.0028428443249481463,0.2009033203125,277.5000000000002
204800,0.05420270510957753,20,513,0.008678469999949812,162.0,15.968717247247696,1.7810807272791862,-0.002339595782541437,-1.899898052215576e-08,47.50000000000001,335.21,0.004247614248481568,0.290869140625,277.5000000000002
215040,0.05385587938923887,21,515,0.008720039456784434,181.5,15.968717753887177,1.7756711095571518,-0.0015454771652002818,-3.3527612686157227e-09,25.0,340.15,0.0030694746780909553,0.2444091796875,355.00000000000045
225280,0.052431462231502746,22,517,0.006967632704819237,166.5,15.968716448545456,1.775617464631796,-0.0018148411139918609,2.9802322387695314e-09,0.0,337.07,0.003955718081104465,0.2587158203125,350.0
235520,0.05294662839139599,23,517,0.008707093310840719,158.5,15.968717688322068,1.7678255781531333,-0.001572389244029182,-5.960464477539063e-09,0.0,333.22,0.0031320832002165845,0.22412109375,350.0
245760,0.05188275246358313,24,519,0.00865654298163463,140.25,15.96871766448021,1.766792443394661,-0.0019423755577008706,1.862645149230957e-09,22.500000000000007,328.0,0.0033705933406423584,0.2763671875,277.5000000000002
256000,0.053169342894671304,25,520,0.006711902369079326,131.25,15.968716794252396,1.775339625775814,-0.0016443563916254788,1.2293457984924316e-08,25.0,324.07,0.002835604307790618,0.23310546875,275.0
