fps,episode_length,P01:episode_rewards,policy_loss,grad_norm,PMM:episode_rewards,frames,epoch_idx,policy_entropy,value_loss,advantage_norm,P09:episode_rewards,explained_variance
530,162.7674418604651,0.0,0.07571821963238108,28.100175232466245,0.9302325581395349,8000,1,1.3431540527939796,1.0566656964023582,4.439855995457619,2.0,-5.736752932071686
337,170.42222222222222,0.0,0.0012714941533158708,0.09814384228420588,1.1,16000,2,1.3849598681926727,0.005996385387375085,0.7561536943167448,3.0,-4.3598487603664395
381,180.35,0.0,-0.001312813955519232,0.08166120891242726,1.37,24000,3,1.3839585971832276,0.005346012489949317,0.6760641374439001,4.0,-3.4560351508855818
398,182.34,0.0,-0.0004372554348083213,0.08060465996145978,1.39,32000,4,1.383835437297821,0.005508090895473288,0.734654490351677,4.1000000000000085,-1.4523882400989532
409,188.84,0.0,0.00044582682254258545,0.07308459400917802,1.52,40000,5,1.384494502544403,0.005710163132107482,0.735703067779541,4.0,-1.2533438450098038
414,184.21,0.0,0.0004826151703309733,0.06207635921992128,1.46,48000,6,1.3847946667671203,0.005590112884437986,0.7175531018897892,4.0,-1.341090287566185
417,169.46,0.0,-0.00023379543010378255,0.051622124519407196,1.09,56000,7,1.384771281480789,0.004167822561594221,0.5597397116012871,3.0,-3.0694602900743484
419,164.59,0.0,0.0038649990528574563,0.07459649240355107,0.92,64000,8,1.3853189909458161,0.004599489795639329,0.5641470023617149,3.0,-2.234038445353508
423,172.87,0.0,0.00023661019244173076,0.05280427722679823,1.1,72000,9,1.3851452779769897,0.00525363159903236,0.6605333386547864,3.0,-1.9742441362142562
426,180.66,0.0,7.966814853716642e-05,0.05357147755897918,1.33,80000,10,1.385197811126709,0.00551637401714288,0.7068530132248998,3.0,-1.398796483874321
425,178.55,0.0,0.0006024294019880472,0.05698345186454232,1.28,88000,11,1.3856352353096009,0.005419702833391966,0.7007431921735406,3.0,-1.4015431708097459
426,175.78,0.0,9.024053360917605e-05,0.048295835349814145,1.2,96000,12,1.3858530414104462,0.005151644678226148,0.6858840782381594,3.0,-1.0205731630325316
428,180.67,0.0,0.0006585615878429963,0.05472443646811756,1.35,104000,13,1.385393248796463,0.005551395390693869,0.7122495716810227,3.1000000000000085,-0.7099123322963714
429,175.7,0.0,0.0004575265821767971,0.05325977531665945,1.27,112000,14,1.3860217118263245,0.004746211712454169,0.6200733490288257,3.0,-1.8659395825862886
431,179.49,0.0,0.000894082581071416,0.060194240995682026,1.33,120000,15,1.3853601729869842,0.005815793412898529,0.7210684834234417,3.0,-1.1873594290018081
432,185.89,0.0,0.0029982119536725803,0.09048735086653116,1.5,128000,16,1.384810699224472,0.005733574790488092,0.7108207913301885,4.0,-1.436210446357727
432,182.87,0.0,-0.00012939046253450216,0.0758025025563106,1.4,136000,17,1.3842333626747132,0.006215879336778017,0.7510567446425557,3.0,-0.806511173248291
433,191.63,0.0,0.0008929697884013877,0.07365918459419704,1.59,144000,18,1.3826410925388337,0.006934283856153343,0.8126100858300924,4.0,-0.6049633288383484
435,202.21,0.0,0.00045623984129633755,0.07739342105503767,1.88,152000,19,1.381546082496643,0.0072243801225886275,0.842124079912901,4.0,-0.9175549364089965
436,212.27,0.0,-0.0009639492029964458,0.09203613253734666,2.14,160000,20,1.3794474911689758,0.007892696721701214,0.9202857874706387,5.0,-1.6186981970071792
437,221.94,0.0,-0.0008463279812713154,0.07814382320353022,2.42,168000,21,1.3808691477775574,0.0071755166242655835,0.8717296379804611,6.0,-0.7760797399282455
438,210.26,0.0,-4.927736124955118e-05,0.06837216525404258,2.1,176000,22,1.3810008358955383,0.006601988038037234,0.8200996547937394,5.0,-0.681949924826622
438,193.8,0.0,9.947431855835021e-05,0.0638685584704602,1.66,184000,23,1.382859798669815,0.005103939925766099,0.6613170846551657,4.0,-1.4190004140138626
439,190.96,0.0,0.00019400767516344786,0.07096324628443673,1.54,192000,24,1.3835182404518127,0.00637837072752518,0.77566770195961,4.0,-0.9589259004592896
440,189.14,0.0,-0.0004796204427839257,0.06657606545872567,1.45,200000,25,1.3843182241916656,0.006145298882966017,0.8012135767936707,4.0,-0.7348663306236267
440,194.34,0.0,-0.0022111456020502372,0.09062494813586816,1.6,208000,26,1.3846575438976287,0.006144456426432044,0.7604750632122159,4.0,-2.122007905840874
441,188.64,0.0,3.459475643467158e-05,0.07308393330358971,1.52,216000,27,1.385202512741089,0.005133267765631899,0.7038203841075301,4.0,-1.519734238386154
442,180.37,0.0,8.123685664031655e-05,0.06621527534555854,1.36,224000,28,1.3851988017559052,0.005266330747481333,0.6995779282972217,3.0,-1.4242989856004715
