episode_length,policy_entropy,grad_norm,explained_variance,P01:episode_rewards,policy_loss,frames,fps,PMM:episode_rewards,epoch_idx,advantage_norm,value_loss,P09:episode_rewards
173.01,1.356220076084137,0.4232151140966046,0.2567796266078949,0.0,-0.0013757906807586552,96000,456,1.15,12,1.2129561956226826,0.014952755916165189,3.0
166.67,1.3827595782279969,0.33638493978208783,0.2549021685123444,0.0,-0.0009946218339609914,104000,459,1.02,13,1.1156560327112675,0.010006186715181685,3.0
175.99,1.3831530332565307,0.31161954914409296,0.5322777509689331,0.0,-0.0009911171020939946,112000,462,1.23,14,1.2220466020703316,0.011948576169088483,3.1000000000000085
187.48,1.3743064737319945,0.45953209558488234,0.682198377251625,0.0,-0.005233501211296243,120000,465,1.49,15,1.3266802328824996,0.013829836823279039,4.0
191.37,1.3507825791835786,0.3461902744514224,0.8007870656251908,0.0,-0.0029746383559540847,128000,468,1.58,16,1.2251607501506805,0.010865686082979664,4.0
197.88,1.3578110980987548,0.30930805562047814,0.8772039502859116,0.0,-0.0016920822579413652,136000,471,1.79,17,1.0526590463519097,0.00786983799887821,5.0
198.2,1.3662893283367157,0.29595581747567945,0.875348978638649,0.0,-0.0030045061164128127,144000,473,1.82,18,1.0430140459537507,0.008101900739129633,5.0
192.56,1.3492245709896087,0.39054643078649265,0.8310029941797257,0.0,-0.005866029156022705,152000,475,1.66,19,1.1827776601910591,0.010662035963032395,5.0
200.19,1.336631817817688,0.2559228849867062,0.8961813145875931,0.0,-0.0012406061246292665,160000,476,1.92,20,0.9623849929869175,0.007120914691477083,6.0
210.93,1.3139445927739144,0.3809841008367198,0.8597085857391358,0.0,-0.001601841730880551,168000,478,2.31,21,1.1152016639709472,0.017134437545901163,8.100000000000009
199.9,1.3529779946804046,0.22920897028728437,0.9177383548021316,0.0,-0.0004171015507017728,176000,479,2.07,22,0.8855871772766113,0.006114566104952246,8.0
198.69,1.358043029308319,0.22086957004592622,0.9377001118659973,0.0,-0.0005518959911569255,184000,480,2.05,23,0.844959352016449,0.005657864027598407,8.0
204.61,1.3529740536212922,0.24381785149091986,0.9336517906188965,0.0,-0.003554399558051955,192000,481,2.03,24,0.8955648761987686,0.006113186799921095,6.0
207.47,1.3400450134277344,0.19205702316279688,0.917343715429306,0.0,-0.0012300681856868322,200000,482,2.11,25,0.7669477891921997,0.00475370859290706,6.0
190.02,1.345642977952957,0.14369517218834216,0.9488514250516892,0.0,5.506396553755622e-05,208000,483,1.74,26,0.5489013268053532,0.002618277925357688,6.0
180.15,1.3554618179798126,0.1809502863087859,0.9524034959077835,0.0,-0.0006745401443913579,216000,484,1.54,27,0.6759426376223564,0.004280238687933888,4.0
183.41,1.354225091934204,0.23484682663970913,0.9206142127513885,0.0,-0.001293421494337963,224000,485,1.52,28,0.8942123898863792,0.006110302780289203,4.0
187.71,1.3624556016921998,0.1585212093665594,0.9713446056842804,0.0,0.00019514109728334007,232000,487,1.52,29,0.6231425203382969,0.0029145898997376208,5.0
209.88,1.3410394203662872,0.17186629810068474,0.9644006979465485,0.0,-0.0007011612481437623,240000,489,2.14,30,0.7050791743397713,0.003914931083272677,5.0
207.41,1.352084412574768,0.13655899378172995,0.9749761325120926,0.0,-0.0004140589568851283,248000,490,2.05,31,0.5034226483106613,0.0021184399284538812,5.0
213.48,1.3429051804542542,0.16835095552000015,0.9650629407167435,0.0,-0.0008653049219719833,256000,491,2.29,32,0.6683576282858849,0.0036550221928337125,6.300000000000026
203.28,1.3424604892730714,0.15318038394388314,0.9666306537389755,0.0,-0.0017664431647426682,264000,491,2.09,33,0.6104368096590043,0.00323935566120781,9.0
217.7,1.3416499876976014,0.20949038718175608,0.9272041553258896,0.0,0.0010938920581247658,272000,491,2.54,34,0.8236386251449584,0.005498257024446502,9.0
216.89,1.3364488838613033,0.5105853743717029,0.8540812176465988,0.0,-0.002429392223712057,280000,490,2.48,35,1.1667694795131682,0.02287822731246706,8.100000000000009
210.25,1.368592265844345,0.2274897919559142,0.9264158183336257,0.0,-0.0007183425803668797,288000,489,2.28,36,0.8602090442180633,0.006264666703646071,7.0
188.87,1.3595225930213928,0.1604057319955659,0.9564244771003723,0.0,-0.0007931930840095447,296000,488,1.65,37,0.6643536059558391,0.0034730030040373092,6.0
194.42,1.368572393655777,0.14956819064070842,0.9721586358547211,0.0,0.00021952935800072736,304000,489,1.84,38,0.5910945408046245,0.0029839262823225,6.1000000000000085
203.44,1.3604955387115478,0.15834375754595648,0.961779505610466,0.0,-0.0010828367076464928,312000,488,1.97,39,0.6424092774093151,0.0034547491525881925,5.1000000000000085
208.61,1.349219592809677,0.260236954155135,0.8026433455944061,0.0,0.00022556865180376918,320000,489,2.04,40,0.8767174170911312,0.008122993361030239,5.0
199.17,1.36815274477005,0.18418658046267694,0.9470975029468537,0.0,8.621696120826527e-05,328000,488,1.78,41,0.7523385035991669,0.004565515288268216,4.1000000000000085
194.83,1.3641570365428926,0.1529352512402347,0.9640556174516678,0.0,-0.0008271167433122173,336000,488,1.73,42,0.6494353260099888,0.003527990353613859,5.0
192.75,1.3489917278289796,0.14884936425709724,0.9705925023555756,0.0,-0.0011967854283284397,344000,487,1.73,43,0.625652532428503,0.0031637352786492556,5.0
199.99,1.3552609300613403,0.19063161683608332,0.9301868027448654,0.0,-0.00039289408043259756,352000,487,2.0,44,0.7437934543192387,0.004824263560294639,5.0
216.23,1.363925311565399,0.14732210835176973,0.970904352068901,0.0,-0.00027826583274872976,360000,487,2.42,45,0.605691527724266,0.002900016539497301,5.0
214.01,1.3722595286369323,0.18859635044301146,0.9011540639400483,0.0,0.0001608937502169283,368000,486,2.27,46,0.827336375117302,0.005230914120329544,5.1000000000000085
194.54,1.3624133372306824,0.2064452267288514,0.953274050951004,0.0,-0.0018763984215911479,376000,485,1.67,47,0.7748577284812928,0.004691812440869398,5.0
207.27,1.3487797212600707,0.26138400728650885,0.9220254695415497,0.0,-0.0024549652679706924,384000,485,2.03,48,0.9188003689050674,0.007171933290665038,5.0
225.72,1.3607223677635192,0.1874557673480267,0.936169410943985,0.0,0.00014121284657448997,392000,484,2.61,49,0.8049539068341255,0.0051448920706752685,7.1000000000000085
221.47,1.3625951075553895,0.19826941564706008,0.945295689702034,0.0,-0.0011917381860985189,400000,483,2.46,50,0.7508059628307819,0.004517813397396822,7.0
203.9,1.3602511739730836,0.16767905182257783,0.9638518726825714,0.0,0.0001187837884936016,408000,482,1.89,51,0.6772934007644653,0.004140797810978256,5.0
204.09,1.3684497249126435,0.24430598813090662,0.8684445416927338,0.0,-0.0007286362469312735,416000,481,1.91,52,1.02354711830616,0.007833638281445019,5.0
212.28,1.3627170073986052,0.21983637665976932,0.9003158360719681,0.0,-0.002560168285854161,424000,480,2.18,53,0.9556343275308609,0.006774749019532464,5.0
213.18,1.363486806154251,0.22643576518281286,0.8905937403440476,0.0,-0.0007175664356327615,432000,480,2.27,54,0.9477796840667725,0.006594529218273237,5.0
214.33,1.361141300201416,0.19794473826299555,0.9482990539073944,0.0,-0.0005149658874142915,440000,478,2.31,55,0.8252547612786293,0.005002954054507427,5.0
203.3,1.3478539288043976,0.18774471824770417,0.953504644036293,0.0,0.00027062069915700704,448000,478,2.0,56,0.7749970608949661,0.004569204869330861,5.0
217.56,1.3575839519500732,0.2237848003769314,0.9385073518753052,0.0,-0.0008082812808424932,456000,477,2.3,57,0.9295863500237465,0.006597940451465547,6.0
217.3,1.359070783853531,0.19510200202931816,0.9505453580617904,0.0,-0.0003108127822633833,464000,476,2.28,58,0.8022770027816296,0.005186021972913295,6.0
218.3,1.3554879879951478,0.22185376233468332,0.9507700455188751,0.0,-0.0004149670203332789,472000,476,2.42,59,0.870081114768982,0.005777156537224073,6.1000000000000085
212.88,1.366002072095871,0.2655688453181011,0.8998847097158432,0.0,0.0006770936437533237,480000,475,2.27,60,1.1330587205290794,0.009220186498714611,6.0
224.38,1.3624968945980072,0.2363737212116599,0.9192314368486404,0.0,-0.00014856576832244172,488000,474,2.66,61,1.0345526400208473,0.008127380530931988,7.200000000000017
225.31,1.3555343890190124,0.2746312717133936,0.8870864373445511,0.0,-0.0021046912754536604,496000,474,2.57,62,1.1339102739095688,0.0094322543439921,6.0
231.95,1.3473936307430268,0.256368835294751,0.9334932547807694,0.0,-0.0016849072166951373,504000,475,2.71,63,1.0362571474909783,0.00790183337056078,6.0
247.26,1.3564860999584198,0.31392279906793763,0.875291383266449,0.0,-6.872377241961658e-05,512000,476,3.08,64,1.272354587316513,0.01112284837756306,6.1000000000000085
245.25,1.3543440794944763,0.2798081496667744,0.8969636356830597,0.0,-0.00209156642871676,520000,477,3.26,65,1.158056765794754,0.00947415795759298,8.100000000000009
244.67,1.3462868595123292,0.24308058464664178,0.9130443996191024,0.0,-0.0005191827181261033,528000,477,3.25,66,1.022093282341957,0.007420901503646746,8.100000000000009
240.99,1.3497506749629975,0.2868033945215816,0.8906734025478363,0.0,-0.005411242150003091,536000,478,3.17,67,1.1323529717326164,0.009353628847748041,9.0
233.78,1.3417999994754792,0.2580468518348678,0.9130921584367752,0.0,-0.00034284591005416586,544000,478,2.81,68,1.0637657526135444,0.008033904834883287,6.1000000000000085
230.73,1.335561894774437,0.25155828633658667,0.8968697863817215,0.0,-0.0009641328374709701,552000,478,2.69,69,0.9639500680565835,0.007448999300831929,6.0
234.17,1.328637660741806,0.631964400707938,0.7881474679708481,0.0,-0.001654195477021858,560000,479,2.87,70,1.4885069635510444,0.022241247348720208,9.0
232.78,1.3509620761871337,0.30351235177757213,0.9013462048768998,0.0,-0.0029234871141670736,568000,479,2.9,71,1.1972655904293061,0.009957292082253844,9.0
242.28,1.3457257413864137,0.26543040197313017,0.893532069325447,0.0,-0.0022247864277596817,576000,480,3.29,72,1.1312585276365281,0.009089905268629081,9.0
229.41,1.3320815968513489,0.2703315279187538,0.8989361107349396,0.0,0.0006400451087392867,584000,480,2.8,73,1.0544574907422066,0.008079171566059813,8.100000000000009
231.43,1.315891169309616,0.336273288715871,0.8734440392255783,0.0,-0.005572050702539855,592000,481,2.89,74,1.3435124027729035,0.012693470128579066,8.100000000000009
242.42,1.3037681126594542,0.40617655877227365,0.8134208786487579,0.0,-0.007380212626303546,600000,481,3.18,75,1.3111546528339386,0.014490032142493874,8.0
251.41,1.3113788092136383,0.2831423461290937,0.8863671576976776,0.0,-0.0008842186123365536,608000,481,3.42,76,1.1759165859222411,0.00954616876784712,9.0
250.62,1.327728351354599,0.2909354519951004,0.8984766536951065,0.0,0.0008264716042322107,616000,482,3.35,77,1.1749670651555062,0.009731799039291217,8.0
252.15,1.3252022922039033,0.30819499476708434,0.8818558645248413,0.0,-0.006207032968522981,624000,482,3.35,78,1.234853183031082,0.011129760732874274,8.0
258.59,1.3288381314277649,0.23927372478198522,0.9388367807865143,1.0,-0.0010162814607610926,632000,483,3.61,79,0.9185300308465958,0.006083584626903758,8.100000000000009
247.17,1.323078556060791,0.2424026032149614,0.9247422534227371,0.0,-0.0009058037918293849,640000,483,3.22,80,0.9233151525259018,0.0060050793265691025,6.0
251.57,1.3358655631542207,0.3352533190237142,0.8815432226657868,0.0,-0.0005381531326565891,648000,483,3.39,81,1.259083850979805,0.010882689021527767,8.100000000000009
250.52,1.3305943083763123,0.3091915564114063,0.8845994305610657,0.0,-0.003034435718473105,656000,484,3.41,82,1.2375391259789468,0.01059479859424755,8.0
263.57,1.3280970704555513,0.2837022551721687,0.8951601445674896,0.9000000000000004,-0.000445679759432096,664000,484,3.84,83,1.1773459136486053,0.009463991377269849,9.0
273.62,1.3234459412097932,0.29072742511673577,0.9025795578956604,1.0,-0.002098190206743311,672000,485,4.15,84,1.1678364557027816,0.009300517257070168,10.0
288.44,1.315672879219055,0.33708752073901016,0.8589726734161377,1.0,-0.0042232852982124315,680000,485,4.58,85,1.3266075778007507,0.01201813436113298,10.0
300.16,1.2906066524982451,0.3143153227291567,0.8648990917205811,1.0,-0.003472717041731812,688000,486,4.86,86,1.3637483608722687,0.012354795990977436,10.100000000000009
301.03,1.299751465320587,0.3349550593196791,0.8904035967588425,1.0,-0.0021798777801450343,696000,486,4.72,87,1.304951075911522,0.011671162056736649,10.0
294.05,1.2916772639751435,0.35014935501836847,0.8635525465011596,1.0,-0.003879893326666206,704000,486,4.37,88,1.3079046562314034,0.011677588183665648,9.0
309.19,1.2623311078548431,0.4118460909148144,0.8132455080747605,1.0,-0.006340683168382384,712000,487,4.83,89,1.5959973001480103,0.01710918583907187,10.0
302.74,1.267164222598076,0.4890346869561624,0.7630160892009735,0.9000000000000004,0.0004969961957431223,720000,487,4.79,90,1.6174247401952744,0.020396257070824503,10.0
