epoch_idx,frames,P01:episode_rewards,policy_entropy,PMM:episode_rewards,episode_length,advantage_norm,fps,value_loss,P09:episode_rewards,explained_variance,policy_loss,grad_norm
82,656000,0.0,1.3205658531188964,2.69,227.5,1.1416736561059952,539,0.008926004969980568,7.0,0.9073263221979141,-0.0019839561358094217,0.2947974684159948
83,664000,0.0,1.3370885574817657,2.79,228.42,1.0908409011363984,540,0.008371232945937663,7.1000000000000085,0.8867730975151062,-0.0015499341527174693,0.28982544727507475
84,672000,0.0,1.3454749548435212,3.19,238.23,1.0925350788235664,542,0.008314892101334409,9.0,0.9114669859409332,-0.0009573434121557512,0.30556108876039045
85,680000,0.0,1.3405182874202728,2.86,231.72,0.9795831137895584,544,0.006816592682152987,7.0,0.9329036504030228,-0.0027643567859195173,0.2771017330717975
86,688000,0.0,1.3355873227119446,3.26,247.51,1.1433617994189262,545,0.009294166004983707,7.0,0.8970361602306366,-0.002335455535649089,0.33386681151652353
87,696000,0.0,1.334357054233551,2.88,237.76,1.013124496936798,546,0.007126813138602302,7.0,0.930668066740036,-0.0008918954571709036,0.2835814388601191
88,704000,0.0,1.3398564350605011,3.2,246.04,0.9969156438112259,547,0.006856383591657505,7.200000000000017,0.9370655250549317,-0.001507460547145456,0.2551108857940931
89,712000,0.0,1.3034586715698242,3.41,251.22,1.2120398712158202,549,0.009877339403610677,9.100000000000009,0.8904877018928528,-0.0014160502076265402,0.32468715576035984
90,720000,0.0,1.322882889509201,4.08,276.66,1.2982143354415894,550,0.011636359689291567,9.0,0.8645498371124267,-0.003974051753757522,0.35990447320768537
91,728000,1.0,1.330188764333725,3.97,272.82,1.1288935160636902,551,0.00880980547517538,9.0,0.9167826473712921,-0.00023333210730925203,0.28451025605650426
92,736000,1.0,1.3198390769958497,4.0,275.9,1.1095694839954375,553,0.00838176020886749,9.0,0.9044997882843018,-0.0015894844970898703,0.29676124507177803
93,744000,1.0,1.3258402049541473,3.48,255.81,1.213038380742073,554,0.010108745034085587,9.0,0.8886118799448013,-0.0038483304516375937,0.32335726515693675
94,752000,1.0,1.3158232426643373,3.59,258.77,1.1384188693761825,555,0.008683867226354778,9.0,0.9004874145984649,-0.001105123487941455,0.2950094931960326
95,760000,0.0,1.3226803767681121,3.79,265.26,1.310943860411644,556,0.011623360309749841,9.100000000000009,0.8717486470937729,-0.0034705761518125655,0.3449927798102547
96,768000,1.0,1.302908903360367,3.93,270.12,1.3087191605567932,558,0.011707051985431462,9.0,0.8869524216651916,-0.002892832400975749,0.3665540871709448
97,776000,1.0,1.2986360347270967,3.88,267.91,1.4069663029909134,559,0.012881370824761689,8.100000000000009,0.8502792364358902,-0.004898478550603613,0.41617404633658395
98,784000,1.0,1.2540794861316682,3.93,268.66,1.353912742137909,560,0.012596525952685624,9.0,0.8600394433736801,-0.0064715473304386255,0.4149465481240611
99,792000,1.0,1.2736693727970123,3.94,265.55,1.3896450024843217,561,0.012922184970229865,9.0,0.853797265291214,-0.005202371324703563,0.44215363412318687
100,800000,1.0,1.278342502117157,4.23,275.7,1.539437373280525,562,0.015605839639902115,9.0,0.8103084641695023,-0.004803648077649996,0.44242821685217854
101,808000,1.0,1.2785357284545897,4.61,282.61,1.5478225612640382,563,0.015765855005010963,9.0,0.8243433994054794,-0.0061779450299218296,0.46184992290735705
102,816000,2.0,1.2528793680667878,4.97,299.36,1.4892134368419647,564,0.014893646640703083,9.0,0.8228392368555069,-0.005359524470914039,0.46971524814281346
103,824000,2.0,1.2899582719802856,5.54,320.67,1.4293194049596787,565,0.013725026403553784,10.0,0.8480984181165695,-0.0015415975416544826,0.3835661950713074
104,832000,2.0,1.2862073051929475,5.89,335.37,1.4040714675188064,566,0.013091486080083996,10.0,0.8541229951381684,-0.005599396949401125,0.4036304444996814
105,840000,2.9000000000000004,1.2833886218070985,6.08,342.46,1.512134222984314,567,0.015760029470548033,10.0,0.8291648507118226,-0.0018283012905158103,0.426723063974414
106,848000,2.0,1.2611254489421844,5.89,339.74,1.6014507132768632,568,0.016758047840557993,10.0,0.8207698404788971,-0.007583716269873548,0.5227929060049578
107,856000,2.9000000000000004,1.2681597340106965,5.79,340.91,1.5461102151870727,569,0.01549084207508713,9.100000000000009,0.8225967335700989,-0.002352255902660545,0.46761312505147695
108,864000,2.9000000000000004,1.2517955935001372,6.05,343.43,1.5120677649974823,570,0.014875638629309833,10.0,0.8255402475595475,-0.007166506047360599,0.4468885421356743
109,872000,3.0,1.2064593052864074,6.31,349.63,1.5387658751010895,571,0.015868029394187032,10.0,0.8300174915790558,-0.006631129662273452,0.43844453943845885
110,880000,3.0,1.2440917992591858,6.56,348.68,1.4439841765165329,572,0.013915143362246453,11.0,0.8484859645366669,-0.0021694844756348173,0.42640894231853343
111,888000,3.0,1.2410603606700896,6.74,354.12,1.666081862449646,572,0.01811710387468338,11.0,0.801320413351059,-0.006077917371876538,0.542921354814882
112,896000,3.0,1.2326801788806916,6.7,346.91,1.4906237590312958,572,0.014758183592930437,12.0,0.8341519504785537,-0.005946436381782405,0.44876450259670486
113,904000,3.0,1.2398251569271088,6.67,346.06,1.447081333398819,573,0.01387075386941433,11.0,0.8518757092952728,-0.0006859962060116231,0.44693438336842106
114,912000,3.0,1.2291405725479125,7.28,364.24,1.6843724948167802,573,0.018675297456793485,12.0,0.8019808936119079,-0.006317112998222001,0.5663982630447305
115,920000,3.0,1.218981809616089,7.65,371.5,1.5849887448549271,573,0.016472846339456736,12.0,0.806291766166687,-0.004353929250501096,0.4882380777737204
116,928000,4.0,1.1863774156570435,8.2,382.01,1.7002181816101074,574,0.019020056915469468,13.0,0.7891960370540619,-0.006593331931508146,0.5656111269583942
117,936000,4.0,1.157799906730652,8.53,395.73,1.6834991472959517,575,0.018612376009114088,13.100000000000009,0.7773565423488616,-0.005311506714206189,0.5235770695415772
118,944000,5.0,1.1858153569698333,8.75,405.07,1.6601251941919326,575,0.018164446842856705,14.0,0.8048786252737046,-0.0037987561604677467,0.5135186132149546
119,952000,4.0,1.1940983903408051,8.87,409.84,1.6778449040651322,576,0.01904349636286497,15.0,0.8170934414863587,-0.005377274370985106,0.5883977581813977
120,960000,4.0,1.1407543295621871,9.15,418.43,1.8496701109409333,577,0.02227033712901175,15.0,0.7737440872192383,-0.008852086311671883,0.6749904177323641
121,968000,4.0,1.1941012227535248,9.21,424.16,1.7264363861083984,577,0.01967355760280043,15.0,0.775384738445282,-0.0033606874488759787,0.6272482894550641
122,976000,5.0,1.179196560382843,9.43,427.69,1.7540082985162735,578,0.02010191033128649,15.0,0.7754033839702607,-0.00453431922593154,0.66928653867956
123,984000,5.0,1.166865918636322,10.11,447.04,1.7512117797136306,578,0.020149963586591185,16.0,0.7805790084600449,-0.005902230693027377,0.6428522309437943
124,992000,6.0,1.1682157766819001,10.95,467.09,1.6521455174684525,579,0.018220675466582178,16.10000000000001,0.787814936041832,-0.009080203939465719,0.49591637044591147
125,1000000,6.0,1.1598573160171508,10.96,469.13,1.7982552206516267,580,0.0212507719732821,16.0,0.7825381082296371,-0.007590195952216164,0.5979933340654168
126,1008000,7.0,1.1782351231575012,10.97,473.14,1.6724284225702286,580,0.01817384987603873,16.0,0.8121419280767441,-0.006716420376906171,0.5518550691778923
127,1016000,7.0,1.1557116079330445,11.06,470.25,1.773974235057831,580,0.020650434754788876,16.0,0.7813434398174286,-0.005891756145865656,0.6308438265331523
128,1024000,7.0,1.1636234438419342,11.28,478.1,1.835320395231247,581,0.022137497081421317,16.0,0.7547918999195099,-0.012699782563286134,0.625551655509076
129,1032000,7.0,1.1655547368526458,11.09,477.8,1.7594067108631135,581,0.020285604642704128,15.100000000000009,0.8013863807916641,-0.005998288510945713,0.6408227148197909
130,1040000,7.0,1.1486921167373658,11.25,482.72,1.8008393788337707,582,0.021244620643556117,16.0,0.7726814872026444,-0.008695831474615261,0.6382026470246649
131,1048000,7.0,1.1508795309066773,11.09,480.17,1.7868036550283433,582,0.021089571572374552,17.0,0.7556050473451614,-0.003156639027001802,0.5647876717119263
132,1056000,6.9,1.1742768383026123,11.24,483.8,1.8089656853675842,583,0.02176981629803777,17.0,0.7818993490934372,-0.005640887872432359,0.588986084233659
133,1064000,7.0,1.1460937428474427,11.4,493.24,1.9668956470489503,583,0.02549434268847108,18.0,0.7278394472599029,-0.005906961124856025,0.7191735636261231
134,1072000,7.0,1.135989488363266,11.4,496.15,1.9199777746200561,583,0.024083829652518034,18.0,0.7462029486894608,-0.006198644624091685,0.7466516830262264
135,1080000,7.0,1.1325637364387513,11.44,492.76,1.9755279994010926,584,0.025481179784983397,17.0,0.7185660582780838,-0.0049640203252783975,0.9561761306363666
136,1088000,7.0,1.131834361553192,12.08,503.66,1.8987191569805146,584,0.02409637942444533,18.0,0.7805125445127488,-0.008669882202520967,0.6560548917630755
137,1096000,7.0,1.1209749150276185,12.43,509.92,1.9658013522624969,584,0.025535943312570454,18.0,0.7457918947935105,-0.01563051590579562,0.7967264792157343
138,1104000,7.0,1.147388945221901,12.55,522.72,1.9132600963115691,585,0.023951035114005207,18.0,0.7399184668064117,-0.010308088896563277,0.8140304860511782
139,1112000,7.9,1.1375211524963378,12.86,526.02,1.9485863530635834,585,0.02516117666848004,18.10000000000001,0.7368648082017899,-0.006453762580931653,0.7586282237840257
140,1120000,7.9,1.146299798488617,13.11,528.37,1.9771334075927733,585,0.026231548022478818,19.0,0.7401477706432342,-0.005312213956494815,0.7764441925446761
141,1128000,7.0,1.1591083312034607,12.77,524.99,1.8693881303071975,586,0.022837003068998454,19.0,0.7698664170503616,-0.009049753684666938,0.7512290024072243
142,1136000,7.0,1.1463293612003327,12.86,519.98,2.0283103704452516,586,0.026808422300964595,20.0,0.7446384799480438,-0.014583539712184575,0.8365391661612953
143,1144000,7.0,1.1064986783266066,12.44,515.58,1.9632862329483032,586,0.025715209469199182,19.10000000000001,0.767648628950119,-0.00808571675886924,0.6635716442975181
144,1152000,7.9,1.0694644725322724,13.39,533.82,2.1128309404850008,587,0.02974501851014793,21.0,0.7039416146278381,-0.006725441922317259,0.7705141870996577
145,1160000,7.9,1.1382201772928238,13.59,534.27,2.11213397860527,587,0.029282180005684496,21.10000000000001,0.7064037209749222,-0.00930457785492763,0.7006867171465059
146,1168000,8.0,1.1552846944332122,14.67,560.96,1.9351358592510224,587,0.024849340440705418,23.0,0.7364827531576157,-0.008018637281493284,0.5898126234462077
147,1176000,8.0,1.163447014093399,14.98,567.65,1.9406627190113068,588,0.024488372220657764,24.0,0.7440383446216583,-0.005817387428251095,0.6150007167330199
148,1184000,8.0,1.1449212419986725,15.29,573.63,1.9898969447612762,588,0.02592669122852385,24.0,0.7345865625143051,-0.008512824321514926,0.8308084220117858
149,1192000,8.9,1.144936431646347,15.81,585.52,2.095082186460495,588,0.029509554626420142,24.10000000000001,0.6711348748207092,-0.007733852699166164,0.7272024041132349
