P09:episode_rewards,value_loss,advantage_norm,fps,P01:episode_rewards,explained_variance,frames,epoch_idx,grad_norm,policy_loss,PMM:episode_rewards,policy_entropy,episode_length
3.0,0.1379859159690568,2.1881679998710752,348,0.0,-1.980825588107109,8000,1,3.861907315880925,0.006542944352258928,0.8837209302325582,1.3547872060537338,161.46511627906978
4.0,0.016363594577987896,1.357416223436594,171,0.0,-0.016351943016052247,16000,2,0.25415823251312636,0.0041962381357734556,1.2247191011235956,1.3772154784202575,176.62921348314606
4.0,0.017503108626333416,1.3900936686247587,206,0.0,0.012135697603225708,24000,3,0.2410324327985997,0.005312565523781814,1.67,1.3661524319648743,193.25
5.0,0.013478614534906229,1.1859376143664122,232,0.0,0.09886518359184265,32000,4,0.20897027656463607,0.0017696831654757262,1.89,1.3751549661159514,200.9
4.1000000000000085,0.011956783373170765,1.1629882396757603,249,0.0,0.09865367531776428,40000,5,0.1873986831114963,0.0008048286905977875,1.52,1.3780936574935914,189.32
4.0,0.015803442157193787,1.2829693633317947,262,0.0,0.10850591242313384,48000,6,0.2583531796259818,0.001086965909344144,1.45,1.3707777059078217,185.2
4.0,0.011095966807333752,1.0632038811594249,272,0.0,0.15150388658046723,56000,7,0.1908532817219241,0.0014887348099728115,1.42,1.3747050881385803,181.76
3.0,0.012831192242956604,1.1357143191993238,281,0.0,0.17186549067497253,64000,8,0.22874244482919248,0.005601829938495939,1.22,1.3773589146137237,173.78
3.0,0.013366203772748123,1.2071849812567235,288,0.0,-0.04536676347255707,72000,9,0.29587157100234784,-0.002491617329942528,1.3,1.3622979962825774,178.3
3.0,0.008364427037595306,0.9476249723136425,295,0.0,0.14047640442848205,80000,10,0.20548941839098078,-0.001837586973560974,1.08,1.3673378312587738,168.55
2.0,0.025862724275066286,1.3414786285161973,300,0.0,0.17393891215324403,88000,11,0.5475691517032335,-0.0064944094326347115,1.02,1.366017632484436,163.4
2.1000000000000085,0.02180701262957882,1.4592789347469806,304,0.0,0.07152756273746491,96000,12,0.5290492814754874,-0.009901328984415158,1.14,1.359264441728592,168.75
4.0,0.014813813949585893,1.4296664601564408,308,0.0,0.5167331576347352,104000,13,0.38725077627665405,-0.003164442398410756,1.4,1.3581945133209228,183.18
4.0,0.013306596744223497,1.3226934307813645,311,0.0,0.6460685312747956,112000,14,0.3480320518737009,-0.0009553189764847048,1.46,1.3681407821178437,186.1
4.0,0.014116350706899539,1.4076859506964683,315,0.0,0.7289093214273453,120000,15,0.34708281857447765,-0.0007921875262400136,1.73,1.377142709493637,198.31
4.0,0.012047185009578243,1.264469586610794,318,0.0,0.8217382842302322,128000,16,0.330727344688335,-0.0007173794187838212,1.77,1.363994481563568,199.86
4.0,0.008290148705709726,1.0469934824109077,320,0.0,0.9105324423313141,136000,17,0.2922184337783332,-0.0020115499482199085,1.47,1.339512085914612,187.8
