epoch_idx,advantage_norm,episode_length,policy_loss,grad_norm,PMM:episode_rewards,P01:episode_rewards,frames,P09:episode_rewards,policy_entropy,fps,explained_variance,value_loss
1,3.8976711996644737,173.125,-0.19425616653472388,26.736170969519403,1.175,0.0,8000,3.0,1.371318246126175,623,-14.104512329101562,1.0965480257437001
2,0.7177200181316584,178.9655172413793,8.847370783769292e-05,0.11815315803835742,1.3448275862068966,0.0,16000,3.0,1.3840577101707459,570,-3.651364522576332,0.005639873445053354
3,0.8011933184787631,187.82,0.0001436176094284747,0.11385196948689227,1.53,0.0,24000,4.0,1.3847842359542846,706,-2.8924294114112854,0.006576275546967736
4,0.7570225273258984,189.72,-7.229406699480023e-05,0.09632430288031242,1.6,0.0,32000,4.0,1.3853865659236908,685,-3.660572939515114,0.005690673703670654
5,0.7132569193840027,181.91,-9.893298411043361e-05,0.09382444565839725,1.42,0.0,40000,3.1000000000000085,1.3858853387832641,680,-2.2489707642793655,0.005522544319696863
6,0.7113738942146302,177.06,0.00040443394504109166,0.10963192741494421,1.24,0.0,48000,3.0,1.3857354736328125,684,-4.762577214241028,0.005631913580250511
7,0.7433681179396808,182.35,0.00045732138780294916,0.10959404769701703,1.39,0.0,56000,3.0,1.3857409739494324,686,-2.1089850783348085,0.005832207832518179
8,0.6629730535112321,180.13,0.00019510054984493762,0.07569650273677024,1.34,0.0,64000,3.0,1.3860940492153169,698,-3.371100119948387,0.0052888265438377855
9,0.805366372987628,186.57,-0.0003840899144415744,0.09601866684315626,1.47,0.0,72000,3.1000000000000085,1.386094800233841,707,-1.4626956015825272,0.0064297858008922045
10,0.7555899293720723,189.46,0.00015525993355367974,0.1094016857278768,1.54,0.0,80000,4.0,1.3857669365406036,718,-1.717797863483429,0.006041918416103726
11,0.6972094280831516,185.51,0.0008583484576956834,0.10571614016287097,1.47,0.0,88000,4.0,1.3833143043518066,727,-2.862535283565521,0.005919140478238205
12,0.6601816142722964,179.37,-0.0008521771304367576,0.08696291206703405,1.29,0.0,96000,3.0,1.382089878320694,737,-2.320426332950592,0.0048784430473915565
13,0.7207817886769772,181.91,-1.0743962411652319e-05,0.10518557981404196,1.32,0.0,104000,3.0,1.384169362783432,744,-1.7424880737066268,0.005677840155722151
14,0.787011864259839,188.85,0.000518414235734781,0.11494532953398612,1.55,0.0,112000,4.0,1.3839876437187195,753,-1.6925362980365752,0.00575534210593105
15,0.7195245323330164,182.47,-0.0003022034042805899,0.1238710521850327,1.42,0.0,120000,3.1000000000000085,1.3850370931625366,758,-1.6962032234668731,0.005285004385041247
16,0.7714360693097114,186.0,0.0007332837172725704,0.10983745909795617,1.47,0.0,128000,4.0,1.385333878993988,765,-2.24348130941391,0.005377195298078732
17,0.6465252242237329,190.0,-0.00020112398167839273,0.12080265339203988,1.61,0.0,136000,5.0,1.383620958328247,768,-2.5708003360033036,0.00431329585135245
18,0.7640518271178007,178.75,-0.012241201013566752,0.6902792865133318,1.31,0.0,144000,3.0,1.3828762543201447,772,-2.838764954209328,0.012475322624577529
19,1.0408675417304039,182.5,-0.028993691689975093,1.5643880656492613,1.42,0.0,152000,3.0,1.3819397020339965,771,-2.309442028403282,0.05311436950443749
20,0.6730133903771639,189.38,0.0008782224441529252,0.12270611155638045,1.58,0.0,160000,4.0,1.38460653424263,773,-1.4243725448846818,0.004010983350963215
21,0.7036553358286619,189.69,6.418434459192213e-05,0.1202760565304136,1.56,0.0,168000,4.0,1.3819570088386535,775,-2.210096744298935,0.004406356045874418
22,0.5690637373924256,187.78,0.0003462077752192272,0.10989669871907515,1.53,0.0,176000,4.0,1.3838814747333528,776,-2.840005347728729,0.0033749013769920565
23,0.6075121395289897,186.68,-0.00038690576999215407,0.11260669772188298,1.55,0.0,184000,3.0,1.3822449123859406,777,-2.9082137244939803,0.003547804821027967
24,0.552945743650198,184.69,0.0007150670303963124,0.09199839723227299,1.44,0.0,192000,3.0,1.38334086060524,775,-4.810334944725037,0.0030007675140223
25,0.4680820769071579,173.8,0.0004905111317202682,0.08533808414565076,1.17,0.0,200000,3.0,1.3834896862506867,775,-4.207052710652351,0.0023488049786465127
26,0.5288864427804947,170.83,-0.00022403264229069463,0.08414009401267636,1.13,0.0,208000,3.0,1.3837623441219329,778,-2.9656195104122163,0.0026995434669515816
27,0.5683889486640692,179.43,0.0002965049151498533,0.09724358819902182,1.33,0.0,216000,3.0,1.384166181087494,779,-2.4801210778951646,0.0030451600165179115
28,0.5128971803933382,180.0,0.0011653165417374112,0.07643040219418121,1.35,0.0,224000,3.1000000000000085,1.3843425261974334,780,-5.306253534555435,0.0024598541327941347
29,0.46821617767214774,177.16,-0.00031395411206176506,0.07503647744470773,1.26,0.0,232000,3.0,1.3849416863918305,782,-3.4142867869138716,0.0023484178103899468
