PMM:episode_rewards,fps,frames,policy_entropy,P01:episode_rewards,grad_norm,P09:episode_rewards,policy_loss,explained_variance,advantage_norm,epoch_idx,value_loss,episode_length
1.1388888888888888,340,8000,1.3335424414277077,0.0,1.7389655712138512,3.0,0.0037999621155904604,-1.4243890237808228,1.7076438257098199,1,0.030156732760933665,175.16666666666666
1.3209876543209877,170,16000,1.3754791843891143,0.0,0.23280302195262248,4.0,0.0019266667170450091,0.028043528199195863,1.2951680760830642,2,0.014954813530075627,181.4814814814815
1.58,207,24000,1.3633492505550384,0.0,0.2991180802667565,4.0,-0.001627259016750031,0.04042889416217804,1.272008757814765,3,0.015406508914402366,190.76
1.37,233,32000,1.3673167181015016,0.0,0.29379681183874173,4.0,0.0010415496409405022,0.025137888193130495,1.1790773994475603,4,0.014513569841365098,181.71
1.19,251,40000,1.3793576204776763,0.0,0.3024121602714761,3.0,0.0026244313453207724,0.13067777216434479,1.3800956495851278,5,0.016906033883715282,175.14
1.6,265,48000,1.3692752814292908,0.0,0.45047220932312404,4.0,-0.0009252370669855736,0.22665258407592773,1.4749995896220207,6,0.01788244960072916,191.45
1.45,277,56000,1.3693145287036896,0.0,0.34775222212273726,3.0,-0.002325276834744727,0.1379459285736084,1.2166904243826866,7,0.012313860631838907,184.35
1.27,286,64000,1.3742669355869293,0.0,0.353210246281483,3.0,-0.002879981689620763,0.37508605659008026,1.3277471143007278,8,0.01343320615007542,176.91
1.44,293,72000,1.3633436918258668,0.0,0.5499437058205332,3.0,-0.0015622276143403724,0.4428310215473175,1.423001594543457,9,0.019373466364049817,184.19
1.47,300,80000,1.3573935401439667,0.0,0.49372892452910166,4.0,-0.001891407394723501,0.5431678980588913,1.5727921676635743,10,0.0190054883772973,186.02
1.88,307,88000,1.34664745926857,0.0,0.40160069277572097,5.0,-0.0034409173467429355,0.7409718137979507,1.484406241774559,11,0.015824162920471282,199.62
1.99,312,96000,1.3652830994129181,0.0,0.3270227394621809,6.0,-0.0005906958365812897,0.8153904294967651,1.1399822276830673,12,0.00977889919304289,206.18
1.73,317,104000,1.3337050592899322,0.0,0.38415852551348073,6.0,-0.004887866587378085,0.8658318191766738,1.2969105705618857,13,0.011848199038067832,195.15
1.9,321,112000,1.308566439151764,0.0,0.3825711135876096,6.0,9.798140512430109e-05,0.861502081155777,1.226503186225891,14,0.012403796510770917,202.21
1.57,324,120000,1.338497759103775,0.0,0.274480089765672,5.0,0.0010502354022173678,0.8879215389490127,1.0169861230254174,15,0.0073326355207245794,189.05
2.09,326,128000,1.331417248249054,0.0,0.3067324782677437,5.1000000000000085,-0.0020893933170009404,0.9258864575624466,1.0539001736044884,16,0.00794580353074707,207.22
2.04,329,136000,1.3368321096897124,0.0,0.21746118418189653,5.0,-0.0008387244527693838,0.9392971801757812,0.8746227359771729,17,0.005392577674938366,206.74
1.99,332,144000,1.3545039558410645,0.0,0.22867063482342306,5.0,0.0005819982035609428,0.935610044002533,0.910645526945591,18,0.005910078231827356,204.56
