P09:episode_rewards,episode_length,epoch_idx,explained_variance,advantage_norm,policy_loss,P01:episode_rewards,PMM:episode_rewards,policy_entropy,frames,value_loss,grad_norm,fps
3.0,168.8108108108108,1,-1.1182951456308365,1.6212002881243825,-0.016368714458531032,0.0,1.027027027027027,1.3686681270599366,8000,0.04209570885184803,1.1493903338226508,552
3.6000000000000085,183.0705882352941,2,-0.01925192654132843,1.1632502379268408,-0.00018754257645923645,0.0,1.3529411764705883,1.3743044447898864,16000,0.01308839814944804,0.22962883388516342,319
4.0,190.37,3,-0.17024533390998842,1.2645691727846862,0.003908639455912635,0.0,1.58,1.3787012958526612,24000,0.014907676902112144,0.2753089265203107,360
3.0,180.98,4,-0.03982997357845306,1.1886338121443987,0.002412775843840791,0.0,1.46,1.3668555402755738,32000,0.013870457826051279,0.22507393308613163,387
3.0,176.05,5,-0.013796806931495667,1.333612456470728,0.0014696387387812138,0.0,1.32,1.374217051267624,40000,0.014880410110781667,0.21763744389017156,406
3.0,177.36,6,-0.10598706662654876,1.1724048298224807,0.0010660491838643794,0.0,1.27,1.376450128555298,48000,0.012274193579050916,0.19941048088501553,419
3.0,179.36,7,-0.08948609352111817,1.2624213866144418,0.0035899560802499764,0.0,1.3,1.3681078374385833,56000,0.015005171291959414,0.23961713557416003,428
3.0,179.92,8,-0.06836142301559449,1.283690720051527,0.0010822926316177471,0.0,1.3,1.378689204454422,64000,0.014283521620527609,0.24706474701835607,437
4.0,192.08,9,0.11460451900959015,1.3623923625051975,-0.006517487244564108,0.0,1.64,1.3776699113845825,72000,0.02064876348580583,0.37860480977195726,444
3.0,185.26,10,0.016872565746307373,1.2511836642026901,-0.0009432311117416247,0.0,1.49,1.3806253957748413,80000,0.013642140152369394,0.3598210382970407,448
3.0,182.74,11,0.4520570027828217,1.1890013071894645,-0.0013678523178532486,0.0,1.44,1.3807837629318238,88000,0.011162817617878318,0.34076870694004363,451
3.0,177.93,12,0.652887093424797,1.1515859422087669,-0.004074918800324667,0.0,1.3,1.3739237022399902,96000,0.010796139563026372,0.3378717635935625,455
4.0,190.52,13,0.7062717747688293,1.29405040204525,-0.007292623428220395,0.0,1.61,1.3445508497953416,104000,0.013526876546093263,0.4118403652623233,459
4.0,195.06,14,0.7942535120248795,1.1672384586930276,-0.0026901155764062425,0.0,1.71,1.3657782471179962,112000,0.010578595692641102,0.3653740972250741,462
5.0,193.53,15,0.8590327608585357,1.1493504357337951,-0.004679286722093821,0.0,1.64,1.3585649180412291,120000,0.00980559669493232,0.3588062465010499,465
5.0,190.51,16,0.8794214814901352,1.0117544540762902,-0.0014749385228424216,0.0,1.55,1.3454271137714386,128000,0.007706792157841846,0.28653862183061496,467
5.1000000000000085,191.35,17,0.8991872870922089,1.105700721144676,-0.0017142638551013078,0.0,1.67,1.3359188067913055,136000,0.00876208789588418,0.3461873489367607,470
6.0,196.78,18,0.9382500523328781,0.8617840822041035,-0.001096980120491935,0.0,1.88,1.3356677317619323,144000,0.00578818213311024,0.2466891441907183,472
5.0,186.72,19,0.9247864097356796,0.9685267800092697,-0.0011908689835036057,0.0,1.65,1.350865558385849,152000,0.0074707942496752364,0.2813456421596216,474
5.0,190.28,20,0.922773911356926,0.9963348880410194,-0.005397219287697225,0.0,1.74,1.3447508609294891,160000,0.0074638476665131745,0.31554406819521624,476
5.0,203.01,21,0.9221905481815338,0.9321434104442596,-0.0002823528392764274,0.0,2.0,1.3538123559951782,168000,0.006617533581447788,0.24828028780145608,477
5.0,198.86,22,0.8602476698160172,0.9953439593315124,-0.00041575122129870577,0.0,1.85,1.3520492708683014,176000,0.00770664609503001,0.2581439082607029,479
5.0,204.19,23,0.944451277256012,0.8499404174089432,-0.0015368472127011046,0.0,2.0,1.3462315440177917,184000,0.00566150366619695,0.23859416989330828,479
6.0,205.19,24,0.9224634575843811,0.855393144339323,-9.1175222187303e-05,0.0,2.1,1.3387505555152892,192000,0.006220543210511096,0.22108303089801853,480
6.0,198.23,25,0.9652577424049378,0.6810679422318935,-0.0012480059475637973,0.0,1.96,1.3421677207946778,200000,0.003722601230838336,0.17833861470547618,481
8.100000000000009,203.44,26,0.93046948492527,0.8814182248711586,-0.0007487429078901187,0.0,2.17,1.349478803873062,208000,0.006394202141673304,0.24378954343750395,482
5.0,197.16,27,0.9567346566915512,0.653195682913065,-0.0014825705837574787,0.0,1.93,1.3397778952121735,216000,0.0032732126631890425,0.17806941546696098,484
5.0,192.22,28,0.9596969473361969,0.6418926599621773,-0.0013578167357491111,0.0,1.8,1.3392248129844666,224000,0.0034275059463107025,0.1603027993876635,487
5.0,195.93,29,0.946227992773056,0.6811190244555473,-0.00048758963035652416,0.0,1.81,1.340274565219879,232000,0.0039124098655884156,0.1823946767785654,490
5.0,191.84,30,0.9568030601739883,0.6557095077633858,-0.0015990411333041265,0.0,1.66,1.344323468208313,240000,0.0037868453098053576,0.17991035355602253,493
