value_loss,policy_entropy,frames,epoch_idx,fps,advantage_norm,PMM:episode_rewards,grad_norm,P09:episode_rewards,policy_loss,explained_variance,P01:episode_rewards,episode_length
1.1234308749897628,1.3246305924654007,8000,1,512,4.712352976538241,1.146341463414634,31.473649854620735,2.0,0.11370992036536336,-4.658484393954277,0.0,171.4390243902439
0.004754399145722346,1.377610021829605,16000,2,333,0.6448772104457021,1.1304347826086956,0.11325726883833513,3.0,-0.00027209794159716694,-9.545224770307541,0.0,170.8804347826087
0.005730006233529821,1.37739182472229,24000,3,391,0.739692500513047,1.23,0.12959796207871568,3.0,0.00040293491299962623,-4.1586416554450985,0.0,175.73
0.005166710690186847,1.3826931202411652,32000,4,419,0.6796381296589971,1.27,0.11420360280134588,3.0,0.00022024516067176592,-9.788712173700333,0.0,176.29
0.006641488812899752,1.3844476401805879,40000,5,450,0.8072519160434604,1.23,0.12662230983124748,3.0,0.0004144252493279055,-7.589167289733886,0.0,174.44
0.005981002063354026,1.383389585018158,48000,6,474,0.7547124892659486,1.36,0.12034577136354727,3.0,-0.0014206290029687807,-3.8768101119995118,0.0,180.73
0.006325854547444578,1.384310405254364,56000,7,490,0.7923892331495881,1.43,0.14766738870989893,3.0,-0.001138893730530981,-2.1187397652864455,0.0,185.96
0.006264453398189289,1.3831103920936585,64000,8,510,0.8080098075792194,1.49,0.15196711968246224,3.0,-0.0007603844754339662,-2.9133835303783417,0.0,188.36
0.0048107460763094426,1.379590754508972,72000,9,524,0.6740596237406135,1.33,0.10456443475657501,3.0,-7.615661663294304e-05,-2.17306027173996,0.0,181.31
0.00434527089828407,1.3787797141075133,80000,10,529,0.6136716367304325,1.13,0.10737397738840544,3.0,8.592952217441053e-06,-2.88720598757267,0.0,172.18
0.0049056017143993816,1.3796342957019805,88000,11,538,0.6722732928395271,1.04,0.13774189617917604,3.0,0.000869028384295234,-2.39574313044548,0.0,167.9
