policy_loss,advantage_norm,rollout_prob_std,epoch_idx,frames,model_prob_std,policy_entropy,policy_gradient_loss,policy_gradient_bias_correction,P09:episode_rewards,grad_norm,avg_q_selected,avg_q_retraced,fps,episode_length,explained_variance,PMM:episode_rewards,P01:episode_rewards,q_loss
-1.0203243793209064e-05,0.0967932615429163,0.06179307736456394,1,7200,0.06179307761291663,2.044130523999532,-1.0203243793209064e-05,-1.300794772822004e-12,0.0,0.059938686964802396,0.00574812046252191,0.004711926507297903,456,0,-14.286282046635945,0.0,0.0,0.0013956234979559667
0.0006485363581568038,0.15467565694513422,0.11546722414592901,2,14400,0.11546722138300539,1.51933488373179,0.0006485361059236065,2.774823789050197e-10,0.0,1.484708458783295,0.020830644469242543,0.0108398336393293,227,0,-3501.5632064123947,0.0,0.0,0.06043148365097295
7.05939738812352e-05,0.00479891625388215,0.005163110311453541,3,21600,0.005163110326975584,2.19605454603831,7.05939738812352e-05,0.0,0.0,0.0035671469518422007,-0.0036745988919089237,-0.0035292774361247816,276,0,-1677.7945320129395,0.0,0.0,3.269623660647388e-05
7.56219613928503e-05,0.028675976682764788,0.0063445727961758775,4,28800,0.006344572734087705,2.19556991259257,7.56219613928503e-05,0.0,0.0,0.0028736946071310806,-0.0032913727530588708,-0.0032981028702730934,310,0,-41.78195099830627,0.0,0.0,2.4331648160114127e-05
8.511313626513584e-05,0.011961712024640293,0.005206613925596079,5,36000,0.0052066138479858635,2.1960841099421184,8.511313626513584e-05,0.0,0.0,0.0011948413853367053,-0.0038145008496940137,-0.003804187096344928,329,0,-71.32884813944499,0.0,0.0,6.547790457034353e-06
9.459967715580812e-05,0.01999448483499388,0.005701790470629931,6,43200,0.005701790470629931,2.1958483616511026,9.459967715580812e-05,0.0,0.0,0.0015783548971469953,-0.003860694154476126,-0.0038723828426251807,339,3324.8333333333335,-63.069525973002115,0.0,0.0,1.0809586499741879e-05
8.754225636948831e-05,0.003647661189703892,0.005184402565161387,7,50400,0.005184402534117301,2.196002745628357,8.754225636948831e-05,0.0,0.0,0.0009659924948490374,-0.00374144094530493,-0.0036292685273413856,346,3324.8333333333335,-470.0374220053355,0.0,0.0,4.063468463755271e-06
7.062750022062877e-05,0.002920660407592853,0.006919006444513797,8,57600,0.006919006320337455,2.1951260884602863,7.062750022062877e-05,0.0,0.0,0.0013470261380877204,-0.0034960837258646888,-0.0034374620066955686,355,3324.8333333333335,-504.32735951741535,0.0,0.0,4.418251963519045e-06
8.661367795260351e-05,0.014943039347417652,0.00483918950582544,9,64800,0.0048391894903033975,2.196251082420349,8.661367795260351e-05,0.0,0.0,0.0012173181435820026,-0.003963062500891586,-0.003979937693414589,365,3324.8333333333335,-73.97680430412292,0.0,0.0,6.73766754365109e-06
9.263953349242608e-05,0.011348192549000184,0.005106851706902186,10,72000,0.0051068516758581,2.1961503505706785,9.263953349242608e-05,0.0,0.0,0.0009751129171616581,-0.004275814280845225,-0.00423552372182409,372,3324.8333333333335,-152.65752228895823,0.0,0.0,4.656396544078234e-06
