P09:episode_rewards,frames,P01:episode_rewards,PMM:episode_rewards,grad_norm,epoch_idx,advantage_norm,policy_entropy,value_loss,fps,explained_variance,episode_length,policy_loss
2.0,8000,0.0,1.0888888888888888,49.087800985512885,1,5.221990931360051,1.3465302853286267,2.376927435996813,534,-4.925639647245407,168.77777777777777,-0.12085801507346332
3.0,16000,0.0,1.1505376344086022,0.11880851079100208,2,0.6824165141023696,1.3830235314369201,0.005239699880278294,323,-7.149662314653397,172.95698924731184,-0.00034975726100583415
3.0,24000,0.0,1.33,0.11081523387225906,3,0.7712582321604714,1.385370022058487,0.006237822366857984,364,-3.64398339509964,180.45,0.0007904913349193521
3.0,32000,0.0,1.26,0.08795959838159643,4,0.6050643237959593,1.3859580898284911,0.0045101042454825805,387,-11.060146737098695,175.35,-0.000458976465233718
3.0,40000,0.0,1.06,0.08419521926075893,5,0.6617408318631351,1.386125693321228,0.004911495897049463,401,-6.702256713509559,167.93,-0.0003491447681608406
3.0,48000,0.0,1.12,0.0915714157407057,6,0.7619635904300958,1.3854656779766084,0.005902693430648469,410,-4.0519278824329374,171.75,-0.00027927401428314626
4.0,56000,0.0,1.62,0.09955039802543869,7,0.7588382254168391,1.3847437405586243,0.006166832118592538,416,-2.1828880590200423,190.78,0.00023428818079992197
3.0,64000,0.0,1.36,0.09797082740377835,8,0.685413381094113,1.384987988471985,0.005418170752533342,420,-2.033539696931839,179.77,0.00010767767642391846
3.0,72000,0.0,1.18,0.08673683695007188,9,0.7191060960479081,1.3846815574169158,0.005636845956908019,424,-6.885424337983132,173.67,-8.551126913516782e-05
4.0,80000,0.0,1.43,0.08708269401112866,10,0.6452584372647107,1.3850331032276153,0.0051802362126719004,428,-4.230168145298958,185.27,-0.00011829834344098344
3.0,88000,0.0,1.26,0.06687937863517401,11,0.62540039408952,1.3837994134426117,0.004616636924820341,427,-3.37426780462265,179.77,-0.00044774130947189406
2.1000000000000085,96000,0.0,1.0,0.06844867023444717,12,0.6096859120950103,1.3826112639904022,0.004738791394638611,429,-2.3877668595314026,167.04,0.0011586856000940316
3.0,104000,0.0,1.08,0.07363287798892595,13,0.731481718737632,1.3837533843517305,0.005414001452661524,431,-1.551690759062767,169.96,-0.0006547039021097589
3.0,112000,0.0,1.05,0.06547474200501643,14,0.5355355827976018,1.384412908554077,0.004071768083709912,432,-8.752740078568458,168.95,-0.0003386262116691796
3.0,120000,0.0,1.29,0.1014474839093492,15,0.8371471386030316,1.384043892621994,0.007135465365890923,434,-0.8468319272994995,175.63,-0.00041355677298270165
3.0,128000,0.0,1.43,0.06985222400916054,16,0.6645346231013537,1.38431129693985,0.0051651638212547365,433,-1.9347268867492675,182.14,-0.00023637927195522935
3.0,136000,0.0,1.06,0.057288256515252066,17,0.5583458600006997,1.3841612136363983,0.004124185645720218,434,-2.3468992960453035,168.82,-0.0002946945675648749
2.0,144000,0.0,1.0,0.06355840909405218,18,0.6370673850178719,1.3847925817966462,0.004997280564120956,435,-2.5123685055971148,164.47,0.0005269183460222849
3.0,152000,0.0,1.19,0.07285942542355701,19,0.7354417980648578,1.3850978326797485,0.006097628669790538,436,-3.4858644795417786,171.43,0.00037016128189861777
3.0,160000,0.0,1.34,0.06891542414645056,20,0.7354898498579859,1.384869145154953,0.0057905864730855685,438,-1.1648746591806411,177.19,-0.0006322942461702042
3.0,168000,0.0,1.38,0.061245016590441036,21,0.7102541862800718,1.3853194880485535,0.005296068192037638,438,-0.9089655905961991,180.5,-0.00015880275328527204
4.0,176000,0.0,1.4,0.06637025238065564,22,0.7813911022990943,1.3859389317035675,0.006257755048445688,439,-1.0913954037427902,182.98,0.0006755448650801554
3.1000000000000085,184000,0.0,1.42,0.06555162757737545,23,0.6715599524602294,1.3855670237541198,0.0052032238919946395,439,-1.1434184855222702,183.95,1.8671396537683906e-05
3.0,192000,0.0,1.23,0.06331645869493102,24,0.6582230303436518,1.385922474861145,0.005050015052465824,439,-1.3735496377944947,177.97,-0.00036848991556325927
3.0,200000,0.0,1.22,0.06867722592616617,25,0.7723930625617504,1.3858109724521637,0.0059849845947974245,440,-0.6939171177148818,178.31,-0.00016351618978660554
3.0,208000,0.0,1.39,0.06788820928355654,26,0.681116779986769,1.3849416291713714,0.005365242604248124,440,-2.9480501914024355,182.47,0.00048506476472539364
4.0,216000,0.0,1.45,0.09308357156631043,27,0.7388310369476676,1.385254294872284,0.005839418632931483,440,-1.3763659751415254,183.46,-0.00046425577413174325
