frames,epoch_idx,grad_norm,policy_entropy,explained_variance,P01:episode_rewards,fps,policy_loss,value_loss,advantage_norm,PMM:episode_rewards,P09:episode_rewards,episode_length
8000,1,0.8121841671942154,1.352154848575592,-0.6970653939247131,0.0,612,0.0064532861596671865,0.029713714358476865,1.575417774245143,1.1666666666666667,3.0,174.88888888888889
16000,2,0.24438183103152414,1.38231831908226,-0.0276370245218277,0.0,416,0.003267463168303948,0.019002916074007316,1.461034335885197,1.759493670886076,4.0,197.74683544303798
24000,3,0.18473413120185178,1.3811846101284027,-0.003045259714126587,0.0,496,-0.0006086444218817632,0.013797339105676655,1.2312523927539587,1.87,4.0,199.8
32000,4,0.18171211395274742,1.3833632135391236,0.0008784615993499756,0.0,549,0.0009434753196546808,0.0144390194861262,1.2439546541124582,1.61,4.0,187.85
40000,5,0.18952555646824223,1.3837894773483277,-0.03345900535583496,0.0,585,0.0015104713199980324,0.01342529429915885,1.2045379021763802,1.59,4.0,189.33
48000,6,0.23808638662912462,1.3706653940677642,-0.00808404505252838,0.0,613,0.0008363522627041675,0.018803874144123257,1.522197629623115,1.56,4.0,188.33
56000,7,0.22872273727820658,1.351848977804184,-0.030929255485534667,0.0,635,0.0003053915617056191,0.01626060824346496,1.3716090181469918,1.58,4.0,187.17
64000,8,0.22970029722014548,1.3439369976520539,0.03121047616004944,0.0,651,0.001243475491414756,0.01606693010311574,1.3677853941172362,1.87,5.200000000000017,194.36
72000,9,0.2688118298815402,1.3656658041477203,-0.02716971218585968,0.0,665,0.0025656216777861117,0.01801847050432116,1.433551768809557,2.1,7.0,203.62
80000,10,0.2789055632612874,1.359836256504059,0.09005411863327026,0.0,675,0.0001098660781281069,0.015635442770289956,1.3642343486845494,2.01,5.1000000000000085,202.69
88000,11,0.2572318868760969,1.3736641025543213,0.3362472927570343,0.0,685,0.002200160727952607,0.014175784852559445,1.3019150488078595,1.91,5.0,201.21
96000,12,0.29195396187793976,1.3757845509052276,0.42296257078647614,0.0,692,0.0039492817150312476,0.013775867788499454,1.2780053893476724,1.67,4.1000000000000085,192.74
104000,13,0.374863532546413,1.3788681745529174,0.3661484944820404,0.0,699,-0.007807346624031197,0.01538613882730715,1.3783053424954415,1.83,5.1000000000000085,199.4
112000,14,0.3482362050185392,1.3805834233760834,0.5652758532762527,0.0,706,-0.00017383091920237349,0.013238963537442033,1.2733667597174645,1.68,5.0,193.86
120000,15,0.347994540727522,1.376739317178726,0.5432346594333649,0.0,711,-0.005040907051297836,0.01601213024026947,1.2571858549118042,1.28,3.0,178.92
128000,16,0.3556459557268186,1.3428675210475922,0.7227581280469895,0.0,716,-0.0034858872504264582,0.012783071561716496,1.3290980258584022,1.57,4.0,187.34
136000,17,0.37425724763345175,1.3269198632240295,0.8234821164608002,0.0,720,-0.0039759995975327915,0.011621487288502977,1.2578859409689904,1.8,5.0,197.12
144000,18,0.33403481121615114,1.3156894183158874,0.881953029036522,0.0,723,-0.0008875212207203731,0.009584017596789635,1.1638421699404717,2.17,7.0,207.55
152000,19,0.3319571812817189,1.3192426037788392,0.9174562233686447,0.0,725,-0.00477410402148962,0.008225158423883841,1.0652472224831582,1.98,6.0,202.64
160000,20,0.2366415583098512,1.3465169858932495,0.8925841361284256,0.0,727,0.0011908658944594207,0.006872861075098626,0.9660660302639008,1.61,5.0,190.03
168000,21,0.25806941081408585,1.3581544268131256,0.9327424997091294,0.0,729,-0.0016614314436446875,0.007004142585210502,0.9586220663785935,1.66,5.0,191.51
176000,22,0.2612320826956411,1.3444738972187043,0.8827810865640641,0.0,732,0.0002123417671464267,0.00786799305700697,1.046846008002758,1.9,5.0,201.3
184000,23,0.22669670728194125,1.3417192792892456,0.9059957367181778,0.0,734,-0.0005869343980884878,0.006830061753862538,0.9539743149280548,2.22,5.1000000000000085,215.82
192000,24,0.23942401421067544,1.3409300315380097,0.921100572347641,0.0,736,-0.001068059316949075,0.007081500886124558,0.9820010057091713,2.42,7.0,220.59
200000,25,0.19415112569406667,1.3358172762393952,0.9543684381246567,0.0,738,-0.001678304246161133,0.0045757622772362085,0.762189334332943,2.3,7.0,214.53
208000,26,0.17588826776779026,1.336546049118042,0.9611778104305267,0.0,739,-4.0967704262584445e-06,0.003913530670106411,0.6901230046153068,2.12,5.1000000000000085,208.82
216000,27,0.1850962158850336,1.3435817551612854,0.9666600084304809,0.0,740,-0.00043417630906333215,0.003927563357574399,0.7077589751780033,1.79,5.0,196.71
