P09:episode_rewards,explained_variance,fps,PMM:episode_rewards,policy_loss,value_loss,episode_length,advantage_norm,grad_norm,epoch_idx,P01:episode_rewards,frames,policy_entropy
2.0,-6.272122482657433,523,0.8837209302325582,-0.06859109724697192,3.249066874419532,159.86046511627907,6.191369033008814,56.73257269086729,1,0.0,8000,1.2995652456162496
3.0,-6.979401924014091,312,1.105263157894737,1.030499450280331e-05,0.005213009183898975,169.92631578947368,0.6889490005746484,0.126202804413678,2,0.0,16000,1.3831601428985596
3.0,-7.704067753553391,356,1.28,0.00023765623460349162,0.006389730035562024,178.74,0.7834710851311684,0.1282903519925562,3,0.0,24000,1.3824790120124817
4.0,-5.075305069684982,378,1.48,-0.0001406394065452332,0.005863564859550934,187.1,0.7795667249523103,0.11371894681712985,4,0.0,32000,1.3858349680900575
3.0,-6.918716866374016,394,1.4,-7.638497430889401e-05,0.0049937523048151885,183.41,0.6715472614578902,0.09508462003196373,5,0.0,40000,1.3848230350017547
3.0,-9.653739266395569,406,1.24,0.00018843906291294844,0.00651365092844685,176.1,0.8124525744654238,0.11807882848473414,6,0.0,48000,1.3856229186058044
4.0,-2.686242998242378,412,1.62,0.000398244505704497,0.006640936389467242,190.49,0.8278260788321495,0.11450332675508669,7,0.0,56000,1.38527361869812
4.0,-2.7122645020484923,416,1.73,-0.0006604981287091505,0.006578901048551415,195.25,0.8220074550621211,0.11359271332575188,8,0.0,64000,1.3858662557601928
4.0,-4.199827517867089,420,1.56,0.00039072290132025956,0.006361900916663217,188.53,0.7750542615354061,0.11743024526752652,9,0.0,72000,1.3854511666297913
4.0,-4.05684482395649,423,1.33,-1.1562384606804699e-05,0.005013847396353413,180.29,0.6513983103819192,0.09512533798621002,10,0.0,80000,1.385700626373291
4.0,-2.659172387123108,424,1.29,0.0003720774203247856,0.005741789172761855,178.72,0.7177306376025081,0.10105451106587095,11,0.0,88000,1.3838891887664795
4.0,-2.7676795423030853,427,1.47,0.00014398111456102923,0.005572782176377586,184.48,0.7073126578330994,0.09560100941181414,12,0.0,96000,1.3829889464378358
3.1000000000000085,-2.5266214179992676,430,1.38,0.00011237928265472874,0.004583790595061146,180.91,0.6466716245934367,0.07919586265956989,13,0.0,104000,1.3834801125526428
3.0,-2.2346936506032944,432,1.19,0.0005152837933201227,0.00532986131753205,175.2,0.6724977119639516,0.09305866370895041,14,0.0,112000,1.382560830116272
3.0,-2.1102838343381882,433,1.21,-0.00016265307709545596,0.0050463029163711325,174.46,0.6720583759620786,0.07767484200352298,15,0.0,120000,1.3827869033813476
3.1000000000000085,-1.156334981918335,435,1.27,5.094387015560642e-05,0.0061306891894037105,177.74,0.8017107013985515,0.09685774614087103,16,0.0,128000,1.3831216275691987
4.0,-2.989802765250206,436,1.41,0.0002466035561519675,0.004129021533026389,183.41,0.5853252907097339,0.08524755284666952,17,0.0,136000,1.3855900621414186
3.0,-2.48926040828228,436,1.23,-2.4316697381436824e-05,0.004924270273650108,175.07,0.6776486392691732,0.09472384805235866,18,0.0,144000,1.3849407398700715
