PMM:episode_rewards,P01:episode_rewards,episode_length,P09:episode_rewards,epoch_idx,fps,policy_loss,value_loss,policy_entropy,grad_norm,frames,advantage_norm,explained_variance
1.2666666666666666,0.0,169.42222222222222,3.0,1,345,0.011064830714603886,0.0629066617657736,1.3074522751569748,1.7536253601233929,8000,1.6389210611581801,-0.5250864988565445
1.2421052631578948,0.0,171.73684210526315,3.0,2,171,0.0008724099944811314,0.01258423234300608,1.356177248954773,0.23631114456288096,16000,1.1280079432204366,-0.07535431325435639
1.11,0.0,169.38,3.0,3,207,-0.0001823988533578813,0.012949730692980665,1.3627894747257232,0.23519698209790882,24000,1.1252031997591256,-0.04683900892734528
1.15,0.0,171.13,3.0,4,232,0.0017811910964155686,0.01295471467092284,1.3803190386295319,0.2179751645694786,32000,1.1865513841807842,-0.03412213623523712
1.3,0.0,178.33,3.0,5,248,0.0010642494267085567,0.013110158545741797,1.3789093685150147,0.19879901719789334,40000,1.1983139230683446,-0.016786258816719055
1.19,0.0,173.52,3.0,6,262,-5.3920401260256764e-05,0.011845235167866121,1.37614293217659,0.16265069127601856,48000,1.1100370070710779,-0.005340016484260559
1.14,0.0,171.09,3.0,7,274,0.0034504688484594224,0.013460893654555548,1.3813530588150025,0.18473532854965008,56000,1.2342470180243255,0.008489235043525696
1.07,0.0,169.29,3.0,8,282,-0.0019483146199490875,0.009869577556200966,1.3793892645835877,0.13735132690611757,64000,0.9752984929084778,-0.020588619112968446
1.05,0.0,168.2,3.0,9,289,0.0014105730708979536,0.011862812425642915,1.3734734225273133,0.16499962977717153,72000,1.0949844842776657,0.01992772936820984
1.15,0.0,171.07,3.0,10,296,0.0017266844584082719,0.012487065362365683,1.3777350783348083,0.16785148796109228,80000,1.137101973593235,-0.0023212754726409913
1.24,0.0,175.43,3.1000000000000085,11,300,0.0032167476566974072,0.01430528621211124,1.3770839881896972,0.22522837276030713,88000,1.2321478472650051,-0.024723775386810302
1.23,0.0,173.74,3.0,12,304,0.0009716099710203707,0.01174896967728273,1.3719529819488525,0.20341160885834902,96000,1.1177206730470062,0.003277103304862976
1.03,0.0,165.23,2.1000000000000085,13,308,0.0007147268817061558,0.010715676963991427,1.377255402803421,0.17595753805223935,104000,1.0487773402780294,-0.04557352244853973
0.98,0.0,164.91,2.1000000000000085,14,312,0.0017563305498333648,0.0126009760107263,1.379933454990387,0.23872674739645194,112000,1.1344595754146576,-0.06730905592441559
1.34,0.0,178.41,3.0,15,314,-0.00021203911783231887,0.016155006838962437,1.3757270324230193,0.2878468227490408,120000,1.3794931606948375,0.13177721083164215
1.46,0.0,182.38,3.0,16,317,0.0019225519383326173,0.011029336790961679,1.381573530435562,0.24622008628273231,128000,1.1263780634105205,0.14088733196258546
1.33,0.0,179.57,4.0,17,319,-0.002143889998551458,0.015607908674282953,1.3830403113365173,0.33852519603316644,136000,1.3887634471058845,0.2457779574394226
1.12,0.0,172.97,4.0,18,321,-0.0008537497784709558,0.009348892773705302,1.3772460293769837,0.27214427110529094,144000,1.0633508475124835,0.3491571009159088
