avg_q_retraced,avg_q_selected,q_loss,rollout_prob_std,frames,model_prob_std,policy_gradient_bias_correction,explained_variance,policy_loss,PMM:episode_rewards,advantage_norm,P09:episode_rewards,episode_length,grad_norm,policy_gradient_loss,epoch_idx,P01:episode_rewards,policy_entropy,fps
-0.05678173210471869,-0.05699018562833468,0.0030096753671386978,0.04735338743776083,7200,0.047353386878967285,-6.1468927170515995e-12,-50.44483712514241,0.0004949015856254846,0.0,0.07760758337875208,0.0,0,0.11081662852877407,0.0004949015856254846,1,0.0,2.0698527296384177,430
-0.022718400818606217,-0.022751605759064358,0.00014273093175537117,0.020381221951295932,14400,0.02038122173398733,0.0,-64.64111442565918,0.00029119467556787035,0.0,0.022893537612011034,0.0,0,0.014039381487500868,0.00029119467556787035,2,0.0,2.1764107227325438,204
-0.008432617271319031,-0.008559810168420275,1.7876796141536035e-05,0.009325245876486104,21600,0.009325245892008146,0.0,-11.404935693740844,0.00022652871411992236,0.0,0.024741326582928498,0.0,0,0.0039407138716481644,0.00022652871411992236,3,0.0,2.1934513966242473,249
-0.0049829496691624325,-0.004914756941919525,7.377968413493363e-05,0.013819853076711297,28800,0.01381985282835861,0.0,-23.81970958709717,0.00011119246772371602,0.0,0.05516611312826474,0.0,0,0.006926570165855239,0.00011119246772371602,4,0.0,2.189132905006409,281
-0.0034511928912252187,-0.003485528170131147,2.2808429613026722e-05,0.008265925664454698,36000,0.008265925648932656,0.0,-17.95715807278951,6.906060364902563e-05,0.0,0.02560525651400288,0.0,0,0.002987612092021233,6.906060364902563e-05,5,0.0,2.1940372705459597,297
-0.00331672546453774,-0.0033154876514648397,3.5268997282855705e-05,0.00986225785066684,43200,0.009862257742012541,0.0,-9.357263008753458,9.39919148095214e-05,0.0,0.0398615136432151,0.0,3325.1666666666665,0.004039884043348785,9.39919148095214e-05,6,0.0,2.1926450888315836,307
-0.0030514858042200404,-0.0030705185180219512,4.254882617260591e-06,0.006070148649935921,50400,0.006070148649935921,0.0,-31.320549217859902,3.5563322408431e-05,0.0,0.011232229601591825,0.0,3325.1666666666665,0.0013250853817443487,3.5563322408431e-05,7,0.0,2.1955858866373696,316
-0.006106674232675384,-0.006177354716540625,4.263259353365356e-06,0.008249505919714769,57600,0.008249505904192727,0.0,-16.903571852048238,0.00016285420776209018,0.0,0.012531766155734658,0.0,3325.1666666666665,0.0014574723858460548,0.00016285420776209018,8,0.0,2.1942643801371258,326
-0.002341221598908305,-0.0024390428831490376,1.9535199324612525e-05,0.008854051167145372,64800,0.008854051136101286,0.0,-6.521259530385335,4.238916988773174e-05,0.0,0.02728710587446888,0.0,3325.1666666666665,0.0023602783175202327,4.238916988773174e-05,9,0.0,2.193638467788696,335
-0.0014669943581490468,-0.0015266648748365696,1.3617343061393209e-05,0.007609095998729268,72000,0.007609096014251312,0.0,-18.952731720606486,3.8778057288861115e-05,0.0,0.021173350683723887,0.0,3325.1666666666665,0.0020997137672261446,3.8778057288861115e-05,10,0.0,2.194546024004618,342
-0.00271906622753401,-0.0028179350396385417,2.5961743828399144e-05,0.009586678460861246,79200,0.009586678491905332,0.0,-6.985635526974996,5.2778828041747754e-05,0.0,0.03958792422587673,0.0,3325.1666666666665,0.00323553939913711,5.2778828041747754e-05,11,0.0,2.1932905197143553,348
0.00011128104985497581,0.00013603907197345204,4.321377075674112e-06,0.005076210293918848,86400,0.005076210262874762,0.0,-10.86977505683899,1.8197370017484597e-05,0.0,0.010450202707822124,0.0,3324.8333333333335,0.0007370648974366585,1.8197370017484597e-05,12,0.0,2.1960569779078165,353
-0.000771865628970166,-0.0007899965722269069,1.1403910145683463e-06,0.005153709510341287,93600,0.005153709463775158,0.0,-27.991171995798748,8.692747101868293e-06,0.0,0.0055793917117019495,0.0,3324.8333333333335,0.0005649686472257565,8.692747101868293e-06,13,0.0,2.196120349566142,358
0.0001244750708186378,0.0001280678251835828,1.1120646178142123e-06,0.004394766641780734,100800,0.004394766618497669,0.0,-10.397572000821432,3.861923643929307e-06,0.0,0.007032237745200594,0.0,3324.8333333333335,0.000599905231506739,3.861923643929307e-06,14,0.0,2.1964097817738852,362
-0.001528776079309561,-0.0015311270976477924,1.5736382570707975e-05,0.007096452506569525,108000,0.007096452568657696,0.0,-8.375896294911703,3.227944102945912e-05,0.0,0.03216653532969455,0.0,3324.8333333333335,0.0022880338124563796,3.227944102945912e-05,15,0.0,2.1950921694437664,367
0.0001700719493480089,0.000230880581754415,3.5660796463332644e-06,0.003956653131172061,115200,0.0039566531854992116,0.0,-11.30291789372762,-8.960714285422e-06,0.0,0.010327021308088054,0.0,3324.8333333333335,0.0006829531704120915,-8.960714285422e-06,16,0.0,2.1964627822240193,371
-0.0009603079897203787,-0.0009921236814173717,1.30887211548938e-05,0.008597025209446512,122400,0.005579086862557231,1.9010092629850367e-06,-6.983856492734059,4.073086945619721e-05,0.0,0.028635479090711798,0.0,3325.0555555555557,0.001899570222229805,3.882986015675097e-05,17,0.0,2.1958169657344597,371
0.0002321188379222928,0.00023598920500681123,2.9811879767178553e-06,0.01092661196656529,129600,0.002996391642918175,-5.64056749633252e-07,-5.606766442296998,-1.2631234341864596e-06,0.0,0.013478199575435447,0.0,3325.0555555555557,0.000817077896728204,-6.990666899460011e-07,18,0.0,2.1968208680077206,366
