frames,policy_loss,episode_length,explained_variance,epoch_idx,advantage_norm,policy_entropy,grad_norm,PMM:episode_rewards,fps,value_loss,P01:episode_rewards,P09:episode_rewards
136000,-0.0005643170984694734,206.33,0.9307754790782928,17,0.8410247558355332,1.320950050354004,0.24749448191608103,2.02,672,0.005628909367369488,0.0,5.1000000000000085
144000,0.00040151002700440587,206.65,0.9455784124135971,18,0.8328835952281952,1.342845115661621,0.2368506404347687,2.11,676,0.005279979320475831,0.0,6.0
152000,-0.0007622103349058306,206.36,0.9551131689548492,19,0.7838655510544776,1.3463780856132508,0.23433578260459784,2.08,682,0.004837195042055101,0.0,5.0
160000,-0.001484194527438376,215.61,0.9536654019355774,20,0.7991497308015824,1.340568243265152,0.22293605256930984,2.39,686,0.005015681411023252,0.0,5.0
168000,-8.354060380952433e-05,218.29,0.9600819665193557,21,0.7751848241686821,1.340684951543808,0.22731577631115155,2.39,690,0.004591463098768145,0.0,5.0
176000,-0.001606148046994349,217.73,0.9636141610145569,22,0.633777955621481,1.336384483575821,0.17941878078237855,2.29,693,0.003299939976714086,0.0,5.0
184000,-0.000729439662063669,222.98,0.9565714353322983,23,0.7175055110454559,1.3236174941062928,0.20501442088920668,2.45,696,0.004773952930700034,0.0,6.1000000000000085
192000,-0.001500550283526536,217.14,0.9369643074274063,24,0.7835894958674907,1.343983428478241,0.21869249832822585,2.41,698,0.00551860362291336,0.0,7.200000000000017
200000,-0.0003480556857539341,227.2,0.9515438848733901,25,0.6778370006382466,1.3458183884620667,0.18703396647775553,2.62,701,0.00422633646579925,0.0,7.1000000000000085
208000,-0.0008822038008656818,207.45,0.9646485126018525,26,0.6813490557670593,1.3386969113349914,0.17365053993392088,2.08,703,0.0038597464017220773,0.0,6.0
216000,-0.00018693244695896282,189.25,0.948355455994606,27,0.6771479119360447,1.3551995432376862,0.19306927064349774,1.64,706,0.004122476893826388,0.0,5.1000000000000085
224000,-0.0008118171771275229,191.5,0.9409032040834426,28,0.8512166336178779,1.35457022190094,0.23327709358555193,1.76,709,0.0060546958859777076,0.0,6.0
232000,-0.001451553590450203,194.13,0.9619638514518738,29,0.6252331793308258,1.347674686908722,0.188832665127852,1.77,711,0.003615549370297231,0.0,6.0
240000,-0.0008770160240237601,207.38,0.9562166917324066,30,0.764333118647337,1.3503822565078736,0.21324747730456722,2.15,713,0.0050535812164889645,0.0,6.0
248000,0.00045981537510670023,210.73,0.954098978638649,31,0.7452750939130783,1.356476548910141,0.19848752168459088,2.16,715,0.004726417610654608,0.0,6.0
256000,-0.0012310056216665545,208.4,0.9432652288675308,32,0.6886598488688469,1.362225546836853,0.18468156771216335,2.08,716,0.003954012022877578,0.0,6.0
