explained_variance,epoch_idx,P01:episode_rewards,fps,policy_loss,PMM:episode_rewards,policy_entropy,frames,advantage_norm,P09:episode_rewards,value_loss,grad_norm,episode_length
-1.6596291357278823,1,0.0,528,-0.007959562595642638,1.2,1.3575352239608764,8000,1.5368401714786888,3.0,0.03430101425858993,1.180392706882747,174.85
-0.01646537959575653,2,0.0,319,0.0006084067944902927,1.430232558139535,1.3692144644260407,16000,1.5318460647389294,3.0,0.019098987552251857,0.24690589459789783,183.09302325581396
-0.0021152424812316893,3,0.0,364,0.0011481876717880368,1.83,1.3765193152427673,24000,1.3855235943943263,4.1000000000000085,0.017133148438861098,0.20809566599049778,199.99
-0.00030697405338287354,4,0.0,385,0.002247612080536783,1.81,1.3799868369102477,32000,1.2109732358157634,5.0,0.012837714698252966,0.1594420789956385,198.46
-0.024414822459220886,5,0.0,404,0.0011178685107734055,1.56,1.3821954560279845,40000,1.2797469352185726,4.0,0.014563749155804544,0.17726008271976082,186.42
-0.1111238557100296,6,0.0,416,0.002366180790522776,1.27,1.3749599421024323,48000,0.9873846365883946,3.0,0.010979789228149456,0.1778504572531825,175.21
-0.13353168070316315,7,0.0,423,0.0013298307398792986,1.18,1.357929675579071,56000,1.222213986814022,2.1000000000000085,0.014271962447164697,0.2797895695731721,173.73
-0.013926141858100892,8,0.0,432,0.002404121970757842,1.2,1.3580066323280335,64000,1.0534368778765202,3.0,0.010934637468853908,0.20971603489557836,174.29
0.0421325820684433,9,0.0,438,-0.001378043097211048,1.25,1.3517927014827729,72000,1.2968285658955574,3.0,0.014136120499315438,0.2675919799620336,177.3
0.30103585720062254,10,0.0,444,-0.00639007980003953,1.5,1.3389768755435945,80000,1.3924634535610676,3.0,0.015804860301868756,0.4007430463048671,185.76
0.40780264139175415,11,0.0,449,-0.0035988124151481314,1.57,1.3592463195323945,88000,1.4452615034580232,3.0,0.016615766645991244,0.4272279250341947,186.94
0.6379371958971024,12,0.0,452,-0.0005697535736544524,1.41,1.3745561051368713,96000,1.217138405740261,3.1000000000000085,0.011055723140016198,0.34138839602916554,184.74
0.691266593337059,13,0.0,456,-0.005997619486151962,1.6,1.34939187169075,104000,1.5279037046432495,5.0,0.016854946230305357,0.4325114910579032,191.27
0.8183927142620087,14,0.0,459,-0.004574155732188956,1.78,1.3484674072265626,112000,1.298059831261635,5.0,0.011968306768685578,0.39670349117617776,196.64
0.8692054396867752,15,0.0,463,-0.003241706877015531,2.11,1.3499349021911622,120000,1.1228009051084518,5.1000000000000085,0.008719819631660358,0.3101035337264445,207.49
0.8437956959009171,16,0.0,466,-0.0029472486523445694,2.01,1.361985148191452,128000,1.1318226751685143,5.0,0.009194384083384648,0.33712922927222605,202.97
0.9168007439374923,17,0.0,467,-0.0014513323854771442,1.91,1.3538035833835602,136000,1.0023237267136573,5.0,0.007302823334466666,0.2788726418106551,201.97
0.9008432388305664,18,0.0,469,-0.0026600628107553348,1.97,1.3405066752433776,144000,1.066320726275444,5.0,0.008633910573553293,0.30405518072089305,203.02
0.9184629464149475,19,0.0,471,-0.0008827679752721452,1.92,1.3481765127182006,152000,0.9178988885879517,5.1000000000000085,0.006163238558219746,0.24082949190935202,201.77
0.9425774955749512,20,0.0,473,-0.0015254738941439428,2.34,1.3408786809444428,160000,0.8473031014204025,7.0,0.005333844464621507,0.2118514234048247,218.34
0.9170851331949234,21,0.0,475,-0.0013382195228041382,2.07,1.3596050798892976,168000,0.9998132032155991,6.0,0.008244817494414747,0.2738703256217649,208.69
0.957507933974266,22,0.0,476,-0.0018864799749098893,2.32,1.341627733707428,176000,0.7591488380730153,7.1000000000000085,0.004340941169066355,0.21754952507088746,213.29
0.9435737890005111,23,0.0,477,-0.0007702800875995309,2.37,1.3482741856575011,184000,0.7901686871051788,7.0,0.005109276706061792,0.20745102460640694,216.82
0.9492490416765214,24,0.0,479,-0.00018465831772573437,2.46,1.353766872882843,192000,0.8200149890780449,8.100000000000009,0.005423812286171597,0.20946390859267003,219.95
0.9583398163318634,25,0.0,480,-0.0012410960355191492,2.21,1.355650281906128,200000,0.6945291870832443,6.200000000000017,0.0039121938424068504,0.17288097486831408,210.32
0.9421749341487885,26,0.0,481,-0.0005706041943631134,2.09,1.3447386693954468,208000,0.8335720331966877,8.0,0.005586297526024282,0.21646494175265749,203.4
0.9462149775028229,27,0.0,482,-0.0008786218124441803,1.71,1.3395880389213561,216000,0.6797857664525508,5.0,0.003668390843376983,0.18651285924116837,190.87
0.8659420734643937,28,0.0,484,0.0005655855822260491,1.65,1.3656599247455596,224000,0.9291493178904057,4.1000000000000085,0.007051206369651481,0.22637477776843062,189.23
0.8482423490285873,29,0.0,486,-0.0009069529773842078,1.51,1.3656227612495422,232000,1.0078936064243316,4.0,0.008388363105477765,0.267754042476646,185.52
0.948260446190834,30,0.0,487,-0.00023756422036967705,1.77,1.3495606446266175,240000,0.8738748958706856,4.1000000000000085,0.005730638879176695,0.21601089345071858,194.17
0.9280372154712677,31,0.0,490,-0.0029721404836163855,2.24,1.3669221115112304,248000,0.8375107507407665,5.0,0.006080748786625918,0.23154145301734622,208.74
0.9740015798807145,32,0.0,491,-0.0004768056294415146,2.08,1.34986532330513,256000,0.5988237422704696,5.1000000000000085,0.003010651171207428,0.15061720052768462,202.4
0.9686944407224655,33,0.0,491,-0.0015286140306852757,2.16,1.348264411687851,264000,0.6633884310722351,5.0,0.003911573305813363,0.1772686198277169,210.04
0.9579219663143158,34,0.0,494,-0.0007956689310958609,1.98,1.35858163356781,272000,0.6885069715976715,5.0,0.0038379918850841932,0.16358098295031873,206.16
0.9665792602300644,35,0.0,494,-3.6060459242435174e-05,2.06,1.349627890586853,280000,0.718247435092926,5.0,0.004293215062643867,0.18492196316236748,207.47
0.8959935468435287,36,0.0,494,-0.0024371250641706866,2.19,1.361334080696106,288000,1.0420703625679015,6.0,0.009179873593966477,0.2808056002295165,210.56
0.9588832354545593,37,0.0,496,-0.0005058281519450248,2.45,1.351993510723114,296000,0.7744824305176735,7.0,0.004665007986477576,0.18904896734975046,218.64
0.8971106851100922,38,0.0,499,-0.0012032792728859931,2.4,1.37065456032753,304000,0.9171396633982658,7.200000000000017,0.006813465988379903,0.23263652432665707,215.69
0.9540561109781265,39,0.0,500,0.0005150308275369752,2.1,1.3600872111320497,312000,0.6661177775263787,5.1000000000000085,0.0037069236120441927,0.16166327932580823,205.92
0.9671282315254212,40,0.0,499,-0.0009172082217992284,1.81,1.34991068482399,320000,0.6308474624156952,5.0,0.003282578446378466,0.16168264219418432,199.0
0.9713200229406357,41,0.0,498,-0.0008436463042744435,2.19,1.3439428007602692,328000,0.6398580344021321,5.400000000000034,0.003451125759165734,0.1520534516733197,208.15
0.9076533949375153,42,0.0,498,-0.0022369863602943953,2.37,1.348066073656082,336000,0.8310981176793575,9.0,0.010888541105086915,0.28591019743777013,212.54
0.9623319524526596,43,0.0,497,-1.2377433595247567e-05,2.21,1.3583561444282533,344000,0.6429218135774135,6.0,0.0035191186011070386,0.1566737563989798,209.09
0.9104435729980469,44,0.0,497,0.0035587674224734655,2.14,1.3660353541374206,352000,0.837061587125063,6.0,0.012573906870384234,0.3278731583703435,206.93
0.9160440319776535,45,0.0,496,0.0002518247798434459,2.0,1.3713113760948181,360000,0.9275450256466865,5.1000000000000085,0.006804505736508873,0.2239344129727932,201.96
0.9662728881835938,46,0.0,495,-0.0010445017136225942,1.93,1.355139399766922,368000,0.5904053662717342,5.0,0.0029859795825905168,0.1473474322639313,201.18
