P09:episode_rewards,explained_variance,P01:episode_rewards,value_loss,policy_loss,frames,policy_entropy,episode_length,fps,advantage_norm,epoch_idx,grad_norm,PMM:episode_rewards
2.0,-0.35925249695777894,0.0,0.12416296182658698,-0.03641965670132777,8000,1.3348700386285781,162.6590909090909,390,1.7978060333430768,1,3.175458407680093,0.9318181818181818
2.9000000000000057,-0.04361303508281708,0.0,0.012743555602828565,0.0012112527183489874,16000,1.383226226568222,171.7826086956522,201,1.1364499673247337,2,0.218437304719371,1.173913043478261
4.0,0.027240818738937377,0.0,0.014805539371518534,0.00019104286446236074,24000,1.3822013592720033,186.71,255,1.3304542085528375,3,0.2384096138791107,1.56
5.0,0.0619370687007904,0.0,0.016257742382513242,0.0021381539065623654,32000,1.379470477104187,194.71,281,1.3646952549368143,4,0.253045645885183,1.68
4.1000000000000085,0.23682718515396117,0.0,0.015412172373762587,0.0022038536355830727,40000,1.3760701179504395,192.07,302,1.3694047109782697,5,0.3244652938123207,1.61
4.1000000000000085,0.5515569055080414,0.0,0.01883190558059141,-0.0031880085840748505,48000,1.362098387479782,193.02,320,1.4774293678998947,6,0.4394471288286408,1.72
5.0,0.6960041671991348,0.0,0.01703840223199222,-0.00848437846347224,56000,1.362220813035965,202.46,336,1.497489984035492,7,0.42728542901664013,1.98
5.0,0.7782587963342666,0.0,0.01519254333921708,-0.0007587203042930923,64000,1.3663205218315124,202.18,351,1.4297518283128738,8,0.43308071558749034,1.98
5.0,0.8417733323574066,0.0,0.011774782828870229,-0.002380472423974425,72000,1.3420300698280334,195.55,363,1.271208020746708,9,0.3624335235123566,1.77
5.0,0.8861404609680176,0.0,0.010243135958444328,-0.0026863706100266425,80000,1.3278253543376923,205.52,375,1.2038223657011986,10,0.3324110899133158,2.02
4.1000000000000085,0.9155084729194641,0.0,0.0061797149857738985,-0.0005896622384898364,88000,1.3229100704193115,191.6,385,0.9317066344618797,11,0.24902252579689546,1.67
4.0,0.9431047821044922,0.0,0.0060870026366319505,-0.0028376320196548477,96000,1.3304859387874604,178.61,393,0.8768753233551979,12,0.2536621486611325,1.3
4.1000000000000085,0.9348406571149827,0.0,0.004457287322729826,-0.0010253883626137395,104000,1.3298809659481048,176.5,401,0.7975905725359916,13,0.2146646110062451,1.21
5.0,0.9136441200971603,0.0,0.008213254965376109,-0.001348795443191193,112000,1.33950843334198,195.31,409,1.0609405040740967,14,0.28196668867877916,1.74
6.0,0.9454239273071289,0.0,0.00497751094866544,-0.0006175389676354825,120000,1.351887332201004,203.05,416,0.8125332105159759,15,0.20879486482356716,1.99
5.0,0.9115881377458572,0.0,0.007607729312148877,0.0004210714268265292,128000,1.3461329579353332,195.18,423,0.9644673103094101,16,0.25375953910246524,1.77
5.0,0.9560780543088913,0.0,0.004552642030175775,-0.0012887378985760734,136000,1.3213313269615172,199.06,428,0.7731986939907074,17,0.19536068998328798,1.93
5.0,0.96120421230793,0.0,0.0036739447992295026,-0.0011935105624434072,144000,1.3359453082084656,202.02,433,0.685213765501976,18,0.1700626533759872,2.02
5.0,0.9539219111204147,0.0,0.004741514425259084,-0.0007264673852478154,152000,1.3473515188694,201.01,438,0.8041422212123871,19,0.2112982294198934,1.92
5.0,0.8285460865497589,0.0,0.00800630839599762,0.0008866657526232303,160000,1.3670855164527893,206.89,442,0.9706843596696854,20,0.2630554471443674,2.02
8.0,0.928664100766182,0.0,0.006537327011465095,-0.0017154869600199162,168000,1.3505165362358094,223.84,447,0.918598695397377,21,0.22625949574120036,2.61
9.0,0.9721620678901672,0.0,0.0027626947735552676,8.996766882773954e-05,176000,1.3320052695274354,218.58,450,0.6066983619332313,22,0.15589248514354684,2.49
9.0,0.944863401055336,0.0,0.004716312194941566,-0.001479838864033809,184000,1.3473765909671784,225.04,454,0.7865516817569733,23,0.2022066963178463,2.67
5.0,0.9766813117265701,0.0,0.002352088305342477,-0.0008636095677502454,192000,1.3359903073310853,209.01,457,0.5499742767214775,24,0.13961622936602217,2.1
5.0,0.9602598905563354,0.0,0.0032251041315612384,-0.0008511306707805488,200000,1.3353154826164246,204.41,460,0.6154277819395065,25,0.1590227703371102,1.99
5.0,0.953144194483757,0.0,0.004659235891886056,-0.0005552431306568905,208000,1.3401015281677247,202.99,463,0.7423086610436439,26,0.1829034669177408,1.98
5.0,0.9468126028776169,0.0,0.00564326118939789,-0.0012734891181025887,216000,1.349132753610611,211.39,470,0.8258633123338223,27,0.21751947612365907,2.19
6.0,0.9540220701694488,0.0,0.00357355345855467,-0.0003549730355371139,224000,1.3434588420391083,217.75,477,0.6775209945440293,28,0.1583858132517572,2.37
6.0,0.9582291954755783,0.0,0.003633593299018685,-0.0011007130489451811,232000,1.3523957073688506,198.63,482,0.6742476040124893,29,0.16267059463513125,2.01
4.1000000000000085,0.972546364068985,0.0,0.0031069270760053767,-0.0005305059921374778,240000,1.3466930544376374,185.36,487,0.610210592597723,30,0.1617533010709025,1.58
