grad_norm,avg_q_selected,frames,episode_length,policy_loss,policy_entropy,policy_gradient_loss,advantage_norm,epoch_idx,avg_q_retraced,policy_gradient_bias_correction,model_prob_std,q_loss,fps,P09:episode_rewards,explained_variance,rollout_prob_std,PMM:episode_rewards,P01:episode_rewards
0.04159239713851041,-0.04505941414584716,7200,0,0.0006966576702931586,2.1245699604352315,0.0006966576702931586,0.09344816232721011,1,-0.04524032225211461,0.0,0.04075264272590478,0.0007273193657359419,467,0.0,-15.351592302322388,0.04075264272590478,0.0,0.0
3.5458261636496022,0.0002562821629301955,14400,0,-0.0006155638065138191,1.8823342800140381,-0.0006156292396857073,0.20052943172243734,2,-0.0038763171682755153,6.543855826454902e-08,0.07507571845004955,0.18397880194873625,222,0.0,-510.83224595387776,0.07507572515557209,0.0,0.0
0.0059844114428664824,-0.004076293848144511,21600,0,0.00011911240289919078,2.1820145924886067,0.00011911240289919078,0.012574773266290624,3,-0.003943100796702007,0.0,0.017407020678122838,6.244901608927951e-05,278,0.0,-98.03136278788249,0.017407020553946495,0.0,0.0
0.005053450312091013,-0.0027398388444756466,28800,0,5.9706366626717985e-05,2.1860650539398194,5.9706366626717985e-05,0.037876418636490904,4,-0.002961052139289677,0.0,0.016519088794787726,4.9946857234317574e-05,320,0.0,-15.909838581085205,0.01651908876374364,0.0,0.0
0.0023151546407266014,-0.003080632312533756,36000,0,6.314606035099739e-05,2.186886175473531,6.314606035099739e-05,0.01857735899587472,5,-0.0031706730757529535,0.0,0.015865569282323123,1.8574589982260175e-05,348,0.0,-15.294816493988037,0.01586556922023495,0.0,0.0
0.003473755987448482,-0.00403382550769796,43200,3325.25,0.00010982793407189698,2.18803912003835,0.00010982793407189698,0.02872025305405259,6,-0.00396018400012205,0.0,0.014872570522129536,2.562076970207272e-05,332,0.0,-32.30391214688619,0.014872570428997279,0.0,0.0
0.0027625451384152757,-0.004724579816684127,50400,3325.25,8.711266394432945e-05,2.1813494841257732,8.711266394432945e-05,0.014139493958403667,7,-0.004693940056798359,0.0,0.017286450043320654,1.9862803598395354e-05,339,0.0,-48.38772274653117,0.0172864499501884,0.0,0.0
0.0020101919790945434,-0.008601721640055378,57600,3325.25,0.00020910256425850094,2.160258150100708,0.00020910256425850094,0.009188809618353843,8,-0.008472165938777228,0.0,0.027975615672767164,7.805239321593642e-06,354,0.0,-21.602469579378763,0.027975615734855335,0.0,0.0
0.002235333351680394,-0.0032231488032266496,64800,3325.25,7.905065795057453e-05,2.1902878204981486,7.905065795057453e-05,0.022258649424960215,9,-0.003308284872521957,0.0,0.012958790268748998,1.802200248069615e-05,368,0.0,-13.686068884531657,0.012958790144572655,0.0,0.0
0.0018174435375588982,-0.003845620946958661,72000,3325.25,7.729422080349953e-05,2.1903487841288247,7.729422080349953e-05,0.018315934933101137,10,-0.0038549638896559677,0.0,0.012894831597805023,1.339817779353325e-05,381,0.0,-11.11787780125936,0.012894831628849109,0.0,0.0
0.002731915544459519,-0.0035084712241465845,79200,3325.25,7.463514283093295e-05,2.189514986673991,7.463514283093295e-05,0.03147238822033008,11,-0.003464574816947182,0.0,0.013720085440824429,2.395443790040493e-05,392,0.0,-11.19357024828593,0.013720085471868515,0.0,0.0
0.0013196271388575935,-0.0038471900780374805,86400,3324.4583333333335,0.00010688847833080217,2.192216396331787,0.00010688847833080217,0.010653048272555072,12,-0.0037984539133807025,0.0,0.01096617712949713,5.245680517873552e-06,400,0.0,-21.62236541112264,0.010966177098453045,0.0,0.0
0.0016030985780167441,-0.008302404211523633,93600,3324.4583333333335,0.00015188036883652482,2.166275628407796,0.00015188036883652482,0.010862192092463373,13,-0.008291851077228785,0.0,0.025480471023668846,7.601879913939532e-06,408,0.0,-20.655726273854572,0.025480471458286046,0.0,0.0
0.000955012327675937,-0.004665067745372653,100800,3324.4583333333335,0.00012827889583301536,2.183880170186361,0.00012827889583301536,0.008865872801591953,14,-0.004557700051615636,0.0,0.015744680011024078,4.148745210841298e-06,416,0.0,-13.776422548294068,0.015744679514318703,0.0,0.0
0.0027817498585019263,-0.002900700457394123,108000,3324.4583333333335,5.781967521822177e-05,2.1889222383499147,5.781967521822177e-05,0.03402986211391787,15,-0.0029138665413483977,0.0,0.014240433524052302,2.3009224370677354e-05,423,0.0,-10.766970666249593,0.014240433430920045,0.0,0.0
0.0011426455333416081,-0.0034242059647416074,115200,3324.4583333333335,7.067151197285663e-05,2.1902052561442056,7.067151197285663e-05,0.013246593298390508,16,-0.0033282174573590357,0.0,0.012961669297267994,7.756263509387887e-06,429,0.0,-12.636168273289998,0.01296166939040025,0.0,0.0
0.0024985638118568245,-0.003012320122215897,122400,3324.6666666666665,7.555905386984779e-05,2.18666646639506,7.885723882296473e-05,0.030157977259377872,17,-0.00305025952365545,-3.2981849843537703e-06,0.01601524449153138,1.8339048905606854e-05,431,0.0,-9.757278194768087,0.01795602870070272,0.0,0.0
0.001653903948246454,-0.004124837556731316,129600,3324.6666666666665,8.066037614153127e-05,2.185593646793138,8.610781126536594e-05,0.02872748324578559,18,-0.004121114688184915,-5.4474352902603445e-06,0.01640158503581203,3.258542747521575e-05,426,0.0,-6.664029153919724,0.022319567031103865,0.0,0.0
0.0011513250812155117,-0.004248045708305972,136800,3324.6666666666665,0.00010123495945224802,2.180578967436911,9.616720493192186e-05,0.014478150379330305,19,-0.004229447618034476,5.067754314875545e-06,0.019329729714349562,4.808472615729716e-06,421,0.0,-4.37926602763316,0.024939141291164098,0.0,0.0
