explained_variance,fps,frames,episode_length,epoch_idx,policy_entropy,grad_norm,policy_loss,P01:episode_rewards,PMM:episode_rewards,advantage_norm,P09:episode_rewards,value_loss
-3.9141574907302856,625,8000,166.3170731707317,1,1.3502574473619462,23.782634708675232,-0.15702073102518624,0.0,1.0731707317073171,4.263247334957123,2.0,0.86706234906585
-4.216348776817322,576,16000,173.35227272727272,2,1.3838839304447175,0.11905051759107592,0.0004549658929499856,0.0,1.1931818181818181,0.7470635290816426,3.0,0.006056310794763249
-3.0614548188447954,709,24000,178.93,3,1.3836813712120055,0.08309497601498146,5.9893581237702165e-05,0.0,1.28,0.6861721582524478,3.0,0.005136920376635316
-4.415666962265968,742,32000,170.63,4,1.3837309491634369,0.07594559350425084,0.00029774374577755223,0.0,1.07,0.5825677922088652,3.0,0.004451754850258567
-3.0829609847068786,747,40000,163.29,5,1.3843289184570313,0.07543895607370056,0.0004424640558863757,0.0,0.89,0.6009112092293799,2.1000000000000085,0.004544060116259061
-1.8068683868646622,758,48000,173.62,6,1.384760044813156,0.09666991159135085,0.0013235699755023234,0.0,1.14,0.7181265819072723,3.0,0.006049275005227628
-1.0205814230442047,771,56000,183.68,7,1.385287619829178,0.0739608522690848,-6.383150699548423e-05,0.0,1.37,0.7273590146005153,3.0,0.0056704545998309186
-1.609169088602066,781,64000,180.43,8,1.3829186272621155,0.06924622952318636,0.0003259072112268768,0.0,1.28,0.6647761182487011,3.0,0.004907064124397493
-1.1660976815223694,788,72000,180.88,9,1.3805249309539795,0.07634497218039875,9.094704349990934e-05,0.0,1.26,0.765381684973836,3.0,0.005808660846068961
-1.0596377456188202,795,80000,183.14,10,1.375377950668335,0.0909335993702925,0.0004931635854882188,0.0,1.33,0.783278597816825,4.0,0.006241092743875925
-1.0544628870487214,801,88000,206.58,11,1.3726763248443603,0.08797588360256774,2.2347154372255316e-05,0.0,2.04,0.8890583136677742,5.1000000000000085,0.007222950842542559
-2.4498685812950134,809,96000,215.96,12,1.3812009632587432,0.10770599621177095,-0.0005979810626013204,0.0,2.33,0.8738159744814038,6.0,0.00719672003571759
-1.3667796677350998,816,104000,209.97,13,1.3838415193557738,0.09699683005937054,0.0003601921618974302,0.0,2.12,0.7709959877282381,5.0,0.005817607020435389
-2.607243456840515,819,112000,184.6,14,1.3825611102581024,0.079996523991153,-0.00040510252518288325,0.0,1.41,0.6076604906469584,4.0,0.004338430651905582
-1.75850616812706,824,120000,175.31,15,1.3841213381290436,0.09744234993269689,-0.00016083426424302161,0.0,1.21,0.7659209046512843,3.1000000000000085,0.005682407628883084
-3.1711634254455565,830,128000,179.45,16,1.381240532398224,0.09404754473733645,0.0008648871250625234,0.0,1.34,0.7194407143443823,4.0,0.005605313465048311
-2.0945332288742065,833,136000,187.92,17,1.3830544996261596,0.09561976508009294,3.93748159694951e-06,0.0,1.55,0.7459476474672556,4.0,0.005898281367044547
-1.9400851482152939,837,144000,203.11,18,1.3780955600738525,0.1111067723485471,-0.000382970370555995,0.0,1.95,0.7790014346316457,5.1000000000000085,0.006100400520463154
