PMM:episode_rewards,grad_norm,policy_entropy,epoch_idx,advantage_norm,fps,value_loss,explained_variance,episode_length,policy_loss,P09:episode_rewards,P01:episode_rewards,frames
1.1627906976744187,0.7386322429427087,1.3575449120998382,1,1.4043948220461606,598,0.02350677665814146,-1.5022646903991699,171.72093023255815,-0.012088366795287584,2.8000000000000043,0.0,8000
1.2307692307692308,0.2503539171193802,1.3819114422798158,2,1.221894489713013,398,0.015287847251292987,-0.13125553965568543,175.24175824175825,0.0033489898405969143,3.0,0.0,16000
1.39,0.25044667189867253,1.3745963966846466,3,1.2413184621185065,480,0.014381579317850992,-0.036482476592063905,182.77,-0.0006593441218137741,3.0,0.0,24000
1.37,0.23118932630770697,1.3684623694419862,4,1.1191864887624978,536,0.012505470990654431,-0.03809789419174194,180.82,0.0036358161887619644,3.0,0.0,32000
1.36,0.2956791099254942,1.382343249320984,5,1.402143517807126,577,0.016830303344831918,0.013454452753067017,180.72,0.0012156164812040515,3.0,0.0,40000
1.41,0.25571468245406903,1.381629649400711,6,1.1420495639741421,609,0.011423821071075509,0.028396409153938294,185.88,-0.00045980835042428223,4.0,0.0,48000
1.25,0.29791289079823624,1.378244972229004,7,1.155018288269639,632,0.011912795926837133,-0.031256420016288755,177.84,-0.00048735789052443577,3.1000000000000085,0.0,56000
1.43,0.3335071281604412,1.37496967792511,8,1.2350148874521256,651,0.012297559602302499,0.4508690857887268,184.43,-0.0021993239043513312,3.1000000000000085,0.0,64000
1.35,0.2943741762862452,1.3691580271720887,9,1.1789596047997475,667,0.010565272966050542,0.5655565285682678,182.02,-0.0019834230943524744,3.1000000000000085,0.0,72000
1.59,0.41304795014484064,1.3594849908351898,10,1.4258699464797973,679,0.017488204309192953,0.6414574813842774,188.18,-0.0034728203143458815,5.0,0.0,80000
1.86,0.3284931579117191,1.3665284883975983,11,1.2106507071852683,691,0.010894203618809115,0.7757457715272903,195.5,-0.0032895639538764953,5.1000000000000085,0.0,88000
2.02,0.36610678784456174,1.3599065792560578,12,1.24465120524168,701,0.011107138532679528,0.828707042336464,204.4,-0.002887797190633137,5.0,0.0,96000
