fps,advantage_norm,value_loss,epoch_idx,PMM:episode_rewards,policy_entropy,policy_loss,frames,P09:episode_rewards,explained_variance,P01:episode_rewards,grad_norm,episode_length
519,4.733222925961018,0.892275258984514,1,1.0,1.3307734775543212,-0.010880186853464693,8000,3.0,-2.903075820207596,0.0,25.700339135534513,168.82926829268294
311,0.6153014160692691,0.004732110897598432,2,1.0833333333333333,1.3784033954143524,-0.0009202997111515288,16000,3.0,-8.461634172797202,0.0,0.09250356881538412,168.85416666666666
352,0.7451557396352291,0.00611880839397827,3,1.24,1.3824016284942626,0.00075497335204318,24000,3.0,-3.957497708797455,0.0,0.10083879716019886,174.85
378,0.7631020066328347,0.0059473215499565414,4,1.41,1.3823371827602386,-0.0006866854561667423,32000,3.0,-2.929419066905975,0.0,0.11026562618719125,182.74
394,0.6947012032940983,0.005392655090608969,5,1.43,1.3847672986984252,0.0007460103592893575,40000,4.0,-2.4254460644721987,0.0,0.09749290858084664,184.17
406,0.7201025591045618,0.005537586289156024,6,1.26,1.3828763842582703,-0.0005795258411671967,48000,3.0,-2.12841019153595,0.0,0.10622263126549884,178.59
413,0.8955278079211711,0.007316193378601383,7,1.44,1.3785316777229308,-0.0007910786063439445,56000,3.1000000000000085,-1.1505472928285598,0.0,0.15087570716733054,185.07
417,0.7507342746853829,0.0060542064319724885,8,1.71,1.3808461046218872,0.0001900963868774852,64000,5.0,-2.0767427122592927,0.0,0.12892759511980376,197.79
422,0.7245395436882973,0.0056048239380652376,9,1.63,1.3812472474575044,0.00023965977492480307,72000,4.1000000000000085,-1.9261662805080413,0.0,0.11389377765058693,193.03
426,0.7723361032828688,0.005708350111344771,10,1.62,1.382948900461197,-0.00034929139481391756,80000,4.0,-1.6206705749034882,0.0,0.10384568530051444,192.43
426,0.6455861104652285,0.0045932807763529124,11,1.42,1.3812764275074005,0.0006064382515251055,88000,3.0,-2.2675654965639116,0.0,0.09958487758562173,182.51
428,1.0611823683977126,0.04244817703565786,12,1.29,1.3792841696739198,-0.014495901003829203,96000,3.1000000000000085,-1.0882873421907424,0.0,1.6100840257704068,176.49
430,0.6807183311134577,0.004599851636376115,13,1.49,1.3816598653793335,0.0005427929306751622,104000,4.0,-2.8236980068683626,0.0,0.1176710898412008,186.44
431,1.0329007365554572,0.04306821006553946,14,1.41,1.3810848653316499,0.020352007377368864,112000,3.0,-2.113030962944031,0.0,1.5701222161385322,184.08
433,0.5898424971103668,0.003386273138712568,15,1.24,1.3792194545269012,-0.0004973554142634384,120000,3.0,-2.516372235417366,0.0,0.12420858538221627,174.78
434,0.7190830479562282,0.005021642095452989,16,1.2,1.3818042194843292,0.0029526784509653226,128000,3.0,-1.2966076111793519,0.0,0.22295996751469555,174.22
435,0.5495169562846423,0.0030096985056297853,17,1.28,1.3786289274692536,0.000277736898715375,136000,3.0,-3.0057863187789917,0.0,0.09808029294837263,176.77
435,0.5218018595129251,0.0028438107143665546,18,1.06,1.3847182202339172,0.000770111886668019,144000,3.0,-2.303330919742584,0.0,0.1050804392455593,170.36
436,0.5785537074506283,0.0030325627324782546,19,1.15,1.380062265396118,0.00016889650956727564,152000,3.0,-4.26215994477272,0.0,0.09909487982934326,171.95
437,0.5558090056478977,0.0028284968124535226,20,1.16,1.3838496577739716,-0.00017487387973233126,160000,3.0,-2.8066483652591705,0.0,0.12402941466805918,172.17
437,0.5678250277042389,0.0029662112240839635,21,1.15,1.3843770277500154,4.4408409157767894e-05,168000,3.0,-5.386561886072159,0.0,0.10860134841436105,174.41
438,0.5500034123659134,0.0029398228092031788,22,1.34,1.383886284828186,0.0011395996838109567,176000,3.0,-1.3684465676546096,0.0,0.10778360976873705,182.5
438,0.49112509697675705,0.0022974483573489123,23,1.34,1.3848903095722198,-6.235933804418892e-05,184000,3.0,-2.7366420459747314,0.0,0.1036017417549009,181.35
439,0.49559016481041906,0.0023938840039409116,24,1.18,1.3831225991249085,0.0004651573624869343,192000,3.0,-5.807845830917358,0.0,0.0919929329144219,173.33
439,0.6855563981086016,0.013924825892936497,25,1.19,1.3847879803180694,-0.01874421933629492,200000,3.0,-2.7254694414138796,0.0,0.5334645044104328,174.02
439,0.42224860362708566,0.0017392868781098514,26,1.1,1.3853938889503479,-0.0004104943298227681,208000,3.0,-2.3700853711366654,0.0,0.07013090438110309,172.12
439,0.47376701287925244,0.0021015660943157852,27,1.01,1.385091060400009,0.0005033761194499675,216000,2.0,-2.8130972284078597,0.0,0.08840829247143972,169.07
439,0.4423688277602196,0.002010646030284988,28,1.16,1.3839670538902282,0.0003309095474833157,224000,3.0,-2.803866862654686,0.0,0.0811653138942596,173.93
440,0.4940394649654627,0.0022790006230206925,29,1.11,1.3837456285953522,3.4062417689710856e-05,232000,4.0,-2.7017727994918825,0.0,0.10122278795050428,172.78
440,0.49869107246398925,0.0024664224037405803,30,1.25,1.385043478012085,-1.3874574942747131e-05,240000,4.0,-3.485514496564865,0.0,0.0873885188632464,179.41
441,0.47357180282473565,0.002369085044992971,31,1.31,1.3804473638534547,0.00022960512695135548,248000,3.0,-3.0568419778347016,0.0,0.09450509005559132,178.99
441,0.4452909251302481,0.002018239515928144,32,1.38,1.3751631689071655,-0.00029123382875695825,256000,3.0,-8.307181844711303,0.0,0.07576217073907926,180.6
442,1.262540596872568,0.21945278980383592,33,1.23,1.373726748228073,-0.07176426919351797,264000,3.0,-1.8108051228523254,0.0,5.377333950952737,176.52
444,0.38875424467027186,0.0015195986638173054,34,1.05,1.3835803055763245,3.402616624953225e-05,272000,2.0,-2.550750039219856,0.0,0.07603959413352976,168.98
445,0.590636232867837,0.009790710788365686,35,1.19,1.3838366305828094,-0.009768317897924135,280000,3.0,-1.7728682750463485,0.0,0.3908250649094038,175.31
446,0.36783672839403153,0.0013789771294432285,36,1.16,1.385757441520691,0.00017917213757755234,288000,3.0,-2.7791578751802444,0.0,0.07546520098071992,174.5
448,0.4739665623754263,0.002221932280845067,37,1.08,1.3849348735809326,2.9908724536653607e-05,296000,3.0,-3.7551146930456163,0.0,0.08878442503972123,170.07
449,0.4857952381670475,0.0023962469098660222,38,1.35,1.3840881013870239,-0.00010546363911998923,304000,3.1000000000000085,-9.42972760617733,0.0,0.0800652763420659,179.58
