frames,policy_entropy,q_loss,model_prob_std,P01:episode_rewards,episode_length,PMM:episode_rewards,avg_q_retraced,avg_q_selected,fps,epoch_idx,policy_gradient_loss,explained_variance,rollout_prob_std,policy_loss,P09:episode_rewards,policy_gradient_bias_correction,grad_norm,advantage_norm
7200,0.25071688067937054,0.01941670243104454,0.2903405621647835,0.0,0,0.0,0.4555013183814784,0.4523939828388393,487,1,-0.0004044228479784806,-4.083120787143708,0.29034056266148883,-0.0004044228324564377,0.0,1.2396271558582447e-11,0.18015143093091643,2.6641941890120506
14400,1.0316319004904173,0.021664088113175238,0.18571403535703818,0.0,0,0.0,0.057634522843485074,0.06446016357513144,223,2,-0.013512064141542624,-17.485382922490437,0.18571403529495,-0.013512064142027687,0.0,5.028062229449117e-12,0.5447870601768067,2.4634137674700467
21600,2.1885709047317503,9.156388888792814e-05,0.013902032282203436,0.0,0,0.0,-0.011261481512337922,-0.011200200797369083,281,3,-1.967183319114459e-05,-60.22470183372498,0.013902032406379779,-1.967183319114459e-05,0.0,0.0,0.005914550860741844,0.044061001079777874
28800,2.1876531918843587,3.579165683428679e-05,0.015367032711704571,0.0,0,0.0,-0.008862315366665522,-0.008918484517683586,323,4,0.00019229284093853495,-20.743707847595214,0.015367032680660486,0.00019229284093853495,0.0,0.0,0.003911870901506139,0.03681308951539298
36000,2.1897148370742796,1.614465784314234e-05,0.013630179315805435,0.0,0,0.0,-0.008807991879681747,-0.008862190352131923,351,5,0.00019874903227901086,-17.46023530960083,0.01363017965729038,0.00019874903227901086,0.0,0.0,0.002272497115089007,0.01693799962910513
43200,2.1899810234705606,2.4082015522708387e-05,0.0131637094852825,0.0,3324.8333333333335,0.0,-0.0076696171580503385,-0.00784321753308177,332,6,0.0001998643027491198,-18.72232812245687,0.013163709454238415,0.0001998643027491198,0.0,0.0,0.002857965392480281,0.0292014805910488
50400,2.1899513403574624,6.963160166151283e-06,0.012608784437179565,0.0,3324.8333333333335,0.0,-0.009278339877103766,-0.009281894362842043,339,7,0.00015820498423029978,-21.964868179957072,0.012608784654488166,0.00015820498423029978,0.0,0.0,0.0021318638414697345,0.007316725375130772
57600,2.183264629046122,3.266158823104585e-06,0.017915476734439533,0.0,3324.8333333333335,0.0,-0.016002713097259404,-0.016180593241006135,354,8,0.00039816658584944283,-18.36268036365509,0.017915476858615876,0.00039816658584944283,0.0,0.0,0.0011649612211625338,0.008728338778018952
64800,2.191077963511149,1.5237701832878277e-05,0.012202608957886696,0.0,3324.8333333333335,0.0,-0.006890416688596209,-0.0069427269510924814,367,9,0.00015038225376429182,-10.993915144602457,0.012202608771622181,0.00015038225376429182,0.0,0.0,0.0019330476491309482,0.021317093912512065
72000,2.1908496220906577,1.0262953717680526e-05,0.012547538212190072,0.0,3324.8333333333335,0.0,-0.0070240457231799764,-0.0070994141511619095,378,10,0.00015295401553885312,-22.335584036509196,0.012547538336366414,0.00015295401553885312,0.0,0.0,0.0017268359154656888,0.016179820887433985
79200,2.190243713061015,2.1785713846611544e-05,0.01308664061749975,0.0,3324.8333333333335,0.0,-0.006579075769210855,-0.006621815140048662,388,11,0.00015297649694427187,-10.749098364512125,0.01308664061749975,0.00015297649694427187,0.0,0.0,0.002610293205852254,0.031177846994251013
86400,2.1934457778930665,3.1791553681159714e-06,0.009562562995900711,0.0,3324.2083333333335,0.0,-0.005705841289212307,-0.005749446712434292,396,12,0.0001488669930646817,-15.258777968088786,0.009562563026944797,0.0001488669930646817,0.0,0.0,0.0007097181583472478,0.0077570600590358176
93600,2.1869825601577757,1.925954133715398e-06,0.015311547523985307,0.0,3324.2083333333335,0.0,-0.012624096435805162,-0.012738043690721195,404,13,0.0002348938665818423,-16.246156481901803,0.015311547586073478,0.0002348938665818423,0.0,0.0,0.000795927951852758,0.006051278098796805
100800,2.191413164138794,1.8600706918429448e-06,0.011425523428867261,0.0,3324.2083333333335,0.0,-0.007482565830772122,-0.007546432067950567,412,14,0.00020289145807813233,-11.825123631954193,0.011425523459911347,0.00020289145807813233,0.0,0.0,0.0007450168806570243,0.00789766061740617
108000,2.1923211812973022,1.6301430393165597e-05,0.010944032793243725,0.0,3324.2083333333335,0.0,-0.00487788375467062,-0.0049870102821538845,419,15,0.00010820164102369745,-18.081288464864095,0.01094403276219964,0.00010820164102369745,0.0,0.0,0.0022077326007081594,0.0278404452605173
