episode_length,frames,PMM:episode_rewards,epoch_idx,P01:episode_rewards,grad_norm,policy_loss,policy_entropy,P09:episode_rewards,explained_variance,fps,value_loss,advantage_norm
173.45,8000,1.15,1,0.0,1.519395647043003,-0.0016807385708671064,1.3601080173254012,3.0,-0.5776597273349762,311,0.05178666239844461,1.7397499671578407
180.11904761904762,16000,1.3095238095238095,2,0.0,0.2671975203882187,0.0034166261633072283,1.3772583854198457,3.0,-0.018642218708992006,167,0.01610878067838712,1.3550116042792797
188.37,24000,1.45,3,0.0,0.24628616932297967,0.0013109930034261197,1.3619892716407775,4.0,-0.004245477914810181,191,0.012905125480428978,1.1475889384374023
184.39,32000,1.34,4,0.0,0.2370020196259507,0.0022228887022356504,1.3756926786899566,4.0,0.09253937244415283,208,0.01403573644251992,1.2198041256517171
196.11,40000,1.72,5,0.0,0.3353623550664432,0.004854024003725499,1.3720980536937715,5.0,0.14520469486713408,220,0.018651528950504145,1.4988764816522597
200.97,48000,1.9,6,0.0,0.2630714738771799,0.0005864337523235008,1.3741684353351593,5.1000000000000085,0.13149345993995668,229,0.01249865192352445,1.1682506829500199
179.31,56000,1.35,7,0.0,0.3890917577847759,0.004426052834605798,1.3766742968559265,3.0,0.11128835499286652,237,0.015117195144994185,1.2743639142811298
176.23,64000,1.24,8,0.0,0.2834445694891596,0.0023433087606099436,1.381289930343628,3.0,0.24779153168201445,243,0.012467793560354039,1.2242894580960273
180.94,72000,1.37,9,0.0,0.3379519528738225,-0.0003530090089770965,1.3818752980232238,3.0,0.2471288937330246,247,0.014894144924473949,1.3772190497815608
187.22,80000,1.56,10,0.0,0.34523660722110994,-0.0029669326171278955,1.3671645832061767,4.0,0.5816377210617065,251,0.01362616269296268,1.3741693323850632
189.72,88000,1.56,11,0.0,0.37735394879589435,0.0004110190225765109,1.3760706281661987,4.0,0.4507871514558792,256,0.014539723600028082,1.397303393483162
199.18,96000,1.8,12,0.0,0.41234897733201237,-0.004837774606894527,1.3454241728782654,5.0,0.7596829056739807,259,0.014846608811058103,1.4476475772261619
204.09,104000,2.08,13,0.0,0.3821089159040597,-0.0028958151521510443,1.323984363079071,6.1000000000000085,0.806903463602066,263,0.012835020450875163,1.3422260889410973
211.03,112000,2.22,14,0.0,0.4277771467604181,-0.0074444715384743175,1.2800594305992126,5.1000000000000085,0.8458844316005707,265,0.01395368984201923,1.3303966701030732
201.71,120000,1.96,15,0.0,0.3389160568841513,-0.003368107820278965,1.306819998025894,5.0,0.8816810530424118,267,0.009070679764263331,1.128406137228012
216.83,128000,2.32,16,0.0,0.31927093812646407,0.0008405933354515582,1.3290121805667878,5.0,0.8765817898511886,269,0.009438162390142679,1.158329423367977
224.21,136000,2.56,17,0.0,0.3106319860589642,-0.0014561368571594357,1.327147707939148,6.1000000000000085,0.9077964091300964,270,0.007367264135973528,1.0207436397671699
226.27,144000,2.66,18,0.0,0.28756408900192154,-0.001519214251311496,1.3229360044002534,9.0,0.9151003575325012,270,0.00788353465264663,1.0453101140260697
218.88,152000,2.53,19,0.0,0.24745516730979925,-0.00014601723640225828,1.318079367876053,9.0,0.9115862399339676,272,0.006923290237900801,0.9349192777276039
203.65,160000,2.05,20,0.0,0.23825568593404461,-0.0011751548897882458,1.3218708670139312,6.0,0.9462396764755249,273,0.005145555267517921,0.8289130970835685
199.06,168000,1.98,21,0.0,0.22649726290649613,-0.0017394342547049745,1.3275859296321868,5.1000000000000085,0.9450800454616547,274,0.004971229633083567,0.8135739398002625
206.68,176000,2.11,22,0.0,0.2160969200464361,-0.0006085742250070325,1.3286558640003205,5.0,0.9610359477996826,274,0.004966278919600882,0.8128997337818146
210.26,184000,2.19,23,0.0,0.24367598900244627,-0.0017624188296031208,1.3404092586040497,5.1000000000000085,0.9318439942598343,276,0.005396574507467449,0.8497020736336708
