policy_entropy,explained_variance,PMM:episode_rewards,value_loss,P09:episode_rewards,policy_loss,episode_length,P01:episode_rewards,epoch_idx,frames,grad_norm,fps,advantage_norm
1.3682093596458436,-1.224360398054123,1.1025641025641026,0.03934264404077112,2.200000000000003,0.005229983085737331,169.43589743589743,0.0,1,8000,1.2689883058769056,352,1.6914592004567384
1.382213637828827,-0.0217372864484787,1.2696629213483146,0.012865052209999703,3.0,0.0027194052044069396,177.87640449438203,0.0,2,16000,0.2407723242914836,173,1.1406481229513883
1.3802938520908357,-0.015400354266166687,1.28,0.010537711858232797,3.0,0.0019420465533039532,178.64,0.0,3,24000,0.21354169845994558,209,0.9965969082713128
1.368962973356247,0.012864410281181335,1.28,0.017345736742718144,3.0,0.004496740404865704,177.91,0.0,4,32000,0.31785857890477615,236,1.4111822659522295
1.3764366698265076,0.14202581882476806,1.83,0.014440155396732735,5.0,-0.0005084966798312962,195.61,0.0,5,40000,0.2698676380115856,254,1.2680237299203874
1.3825172650814057,0.263902428150177,1.6,0.010791101174181677,4.0,0.0034798903251066805,187.41,0.0,6,48000,0.23455438472139284,268,1.0433166877925395
1.3598707675933839,0.4608582282066345,1.45,0.017180966811429242,4.0,-0.003019709351065103,182.99,0.0,7,56000,0.4192703870210884,279,1.5216379380226135
1.3542174339294433,0.689778932929039,1.96,0.014660155320889316,5.0,-0.0018470393755706028,203.02,0.0,8,64000,0.3629291913769559,290,1.4119773110747338
1.3567275130748748,0.8153553831577302,2.12,0.010952148134820164,5.0,-0.0012283711950294674,208.49,0.0,9,72000,0.3559163091879427,298,1.2254384154081344
1.3569123804569245,0.8541329282522202,1.66,0.010959318674285895,5.0,-0.00033323543146252633,191.42,0.0,10,80000,0.34706977839897407,305,1.2197359749674797
1.333153258562088,0.839483060836792,1.63,0.014001747678266839,5.0,-0.008136395068067941,192.5,0.0,11,88000,0.4166694119006292,311,1.3300087714195252
1.3337611532211304,0.8692965948581696,2.16,0.010444779724348336,5.0,-0.0011009213678335073,212.5,0.0,12,96000,0.38399639248047907,315,1.2264241993427276
1.3342956101894379,0.9117493671178818,2.88,0.00806811615708284,9.0,-0.0017678592959418894,234.69,0.0,13,104000,0.29975409333984243,320,1.0620059737563132
1.3460608804225922,0.9073236477375031,2.54,0.005330145484185778,9.0,-0.0003640065405488713,218.29,0.0,14,112000,0.2424309548116444,323,0.8302982053160668
1.3599513471126556,0.9173786967992783,2.16,0.00720814595464617,9.0,-0.000538946045562625,204.01,0.0,15,120000,0.2853121270633862,327,1.0194700261950493
1.3403422164916992,0.9524378943443298,1.97,0.0052651822072220964,5.1000000000000085,-0.0009028737182234181,197.52,0.0,16,128000,0.23542003873794706,330,0.8238739982247353
1.3333369302749634,0.9453651684522629,2.17,0.005195467686280608,5.0,-0.001201649952563457,208.59,0.0,17,136000,0.24130061346760864,333,0.8459745106101036
