advantage_norm,policy_entropy,policy_gradient_bias_correction,P01:episode_rewards,epoch_idx,rollout_prob_std,frames,avg_q_selected,P09:episode_rewards,avg_q_retraced,PMM:episode_rewards,episode_length,explained_variance,policy_loss,q_loss,policy_gradient_loss,grad_norm,model_prob_std,fps
0.09297192754844824,2.1122108538945517,0.0,0.0,1,0.04765178300440311,7200,-0.0002384389487512332,0.0,-0.0004464856853398184,0.0,0,-4.153277087211609,-0.00012700934545743317,0.0001345876039219244,-0.00012700934545743317,0.01280775899580126,0.04765178536375363,405
0.21907211455206077,2.006902362902959,-4.3237358138270564e-13,0.0,2,0.057695310562849045,14400,-0.009266763546232444,0.0,-0.006793954370853801,0.0,0,-4.834809557596842,0.0014279315935103417,0.0021618850816291038,0.0014279315935103417,0.09039397169444752,0.05769531348099311,266
0.037085325146714844,2.190391993522644,0.0,0.0,3,0.011202647785345713,21600,0.003187541663646698,0.0,0.003038914424056808,0.0,0,-3.7726594765981036,-0.00017783515399969474,2.0477105560227454e-05,-0.00017783515399969474,0.002789954104239336,0.011202648219962915,294
0.045507982124884924,2.193581477801005,0.0,0.0,4,0.009474384691566229,28800,0.0038296988893610734,0.0,0.0038957959739491345,0.0,0,-3.7625316460927327,-3.9074209901931074e-05,2.5365454484926885e-05,-3.9074209901931074e-05,0.00289769160638336,0.00947438490887483,322
0.028729018196463584,2.1942477464675902,0.0,0.0,5,0.008551435265690088,36000,0.002771862146134178,0.0,0.0027509366084511083,0.0,0,-2.8727632125218707,-8.824070353057323e-05,1.2016651407975586e-05,-8.824070353057323e-05,0.0017967752070555528,0.00855143554508686,341
0.03768257343520721,2.194131048520406,0.0,0.0,6,0.00873128028276066,43200,0.0031726472118558985,0.0,0.003047909552697092,0.0,3324.75,-4.273687752087911,-0.00017483408952709094,1.7411547150913976e-05,-0.00017483408952709094,0.0023335410442958393,0.008731280406937002,352
0.025528750258187453,2.1917113860448203,0.0,0.0,7,0.01070857176867624,50400,0.002157803097118934,0.0,0.002209840241509179,0.0,3324.75,-4.595738355318705,-8.717794419984178e-07,9.394447647537164e-06,-8.717794419984178e-07,0.0018267219083269721,0.0107085720791171,364
0.03140551410615444,2.1819026947021483,0.0,0.0,8,0.01841203048825264,57600,0.002739005000330508,0.0,0.0027449659925575056,0.0,3324.75,-4.2329111496607466,-7.936662657357375e-05,1.3875555987397093e-05,-7.936662657357375e-05,0.0030256592650702587,0.018412030612428982,374
0.034142078335086506,2.1936426003774008,0.0,0.0,9,0.009442360947529475,64800,0.003449731692671776,0.0,0.0032532792538404465,0.0,3324.75,-3.1633598804473877,-0.0002285378920835986,1.4356524025060935e-05,-0.0002285378920835986,0.001977304565307413,0.009442361102749904,381
0.025895872122297683,2.1943586587905886,0.0,0.0,10,0.008392697526142,72000,0.002552200849944105,0.0,0.0025122187992868326,0.0,3324.75,-2.7774680614471436,-8.748574753430679e-05,9.449360538837936e-06,-8.748574753430679e-05,0.001468633667527318,0.008392697696884473,387
0.035210368658105534,2.194139528274536,0.0,0.0,11,0.008714844193309545,79200,0.0027274520873713,0.0,0.0027296628104522824,0.0,3324.75,-3.3836974541346234,-4.256990619827169e-05,1.4339973320905604e-05,-4.256990619827169e-05,0.002033177966848809,0.008714844286441804,392
0.0208813330779473,2.1955543677012126,0.0,0.0,12,0.006400687946006655,86400,0.0017716770603631933,0.0,0.0017408457856314878,0.0,3324.875,-4.962640794118245,-7.723470683534591e-05,5.323765541713025e-06,-7.723470683534591e-05,0.0010992839610560448,0.0064006881322711704,397
0.025177142831186453,2.1860589186350503,0.0,0.0,13,0.015514056710526348,93600,0.002896296566662689,0.0,0.0028964477009139956,0.0,3324.875,-4.8072932958602905,-6.221904268386425e-05,9.29934188510136e-06,-6.221904268386425e-05,0.0022223807239209314,0.015514056865746776,401
0.023628864561518033,2.1927877108256024,0.0,0.0,14,0.008944311862190564,100800,0.0022720586547317605,0.0,0.002229749640294661,0.0,3324.875,-4.158905076980591,-7.277745468551682e-05,8.77335615617388e-06,-7.277745468551682e-05,0.0019167559477657364,0.008944312126065295,407
0.03380146734416485,2.1950394471486407,0.0,0.0,15,0.007287612619499366,108000,0.0028745070837127664,0.0,0.002693454377974073,0.0,3324.875,-3.439382878939311,-0.00020318388790959338,1.2542803968547863e-05,-0.00020318388790959338,0.0018617393266294184,0.007287612805763881,413
0.017764269001781942,2.1961318969726564,0.0,0.0,16,0.005013200500980019,115200,0.001548901964755108,0.0,0.0016087499990438423,0.0,3324.875,-2.96343731880188,2.3623468238535375e-05,4.725736175714701e-06,2.3623468238535375e-05,0.0009584035774849012,0.005013200656200449,419
0.03206264058741489,2.1949415624993187,7.880273924745288e-07,0.0,17,0.010369225952216232,122400,0.0024408613634422796,0.0,0.002361935073466388,0.0,3325.027777777778,-3.7907730797926584,-0.00012822255279561865,1.1509062497212754e-05,-0.00012901058021660508,0.001882508444512483,0.00739511796410033,421
0.020152674912962885,2.195702820391882,9.898258240364088e-07,0.0,18,0.016371687789251733,129600,0.0012464887365913162,0.0,0.001195018939363922,0.0,3325.027777777778,-4.045969932344224,-6.481315938319514e-05,4.798640055768706e-06,-6.580298503016657e-05,0.0012198042427067394,0.0059790028740895835,418
0.01969893100227983,2.195126595913418,3.2016566044514575e-06,0.0,19,0.015887887941836012,136800,0.00041615153271229086,0.0,0.0003487796143003329,0.0,3325.027777777778,-3.8893144848043955,-5.7666885597918444e-05,4.185882596783496e-06,-6.086854180436841e-05,0.0013164356367358356,0.007109568212754168,414
