#{"t_start": 1544715594.1703792, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,45.242903
2.0,198,49.726357
0.0,127,53.121895
4.0,278,75.632508
0.0,127,76.62628
0.0,125,79.267385
4.0,262,87.794378
0.0,125,91.448547
0.0,127,94.609206
3.0,230,101.873511
3.0,229,108.764525
2.0,202,115.044082
3.0,231,122.645852
4.0,299,131.657171
2.0,222,138.527456
5.0,330,148.803557
1.0,176,154.360402
4.0,296,164.171627
0.0,129,168.177581
1.0,175,173.728886
5.0,370,186.356703
2.0,201,193.209965
1.0,171,198.353664
0.0,127,202.314025
1.0,173,207.848069
0.0,125,211.583369
0.0,129,215.660133
