fps,PMM:episode_rewards,value_loss,P09:episode_rewards,frames,episode_length,explained_variance,grad_norm,policy_entropy,advantage_norm,epoch_idx,P01:episode_rewards,policy_loss
514,1.4473684210526316,0.8757761556569176,3.0,8000,183.21052631578948,-1.9858878415822983,24.098366989783063,1.3469548749923705,4.048564554788173,1,0.0,0.0865946445512236
320,1.4404761904761905,0.006341509398148446,3.0,16000,182.67857142857142,-3.0163038891553877,0.1139240701409326,1.3849712574481965,0.7696076581999659,2,0.0,-0.0003289742246852256
377,1.53,0.0053662477693433176,3.0,24000,186.02,-2.2720435416698455,0.10469051484738659,1.385910929441452,0.7222076714411378,3,0.0,-2.5160723307635635e-05
422,1.44,0.00643281713761553,4.0,32000,183.98,-1.63292078435421,0.13310883030178966,1.3844976902008057,0.786325297486037,4,0.0,0.0011874029928003438
445,1.67,0.0061256572717184096,4.1000000000000085,40000,190.25,-1.824426377415657,0.09917339373813727,1.3839322054386138,0.7854151477664709,5,0.0,0.000274459283973556
466,1.64,0.01241444991273056,4.0,48000,192.44,-1.2946865355968475,0.39455067539646616,1.383539341688156,0.9904192185401917,6,0.0,0.012582336288760416
487,1.74,0.006145547734013235,4.0,56000,198.17,-2.7137847864627838,0.10926022492427816,1.3845048081874847,0.7733683998882771,7,0.0,-0.0005765916873315291
501,1.72,0.006538717908342733,4.1000000000000085,64000,196.81,-1.7783744901418685,0.11300085866848054,1.3830974721908569,0.8009324198588729,8,0.0,0.00048318105888029095
501,1.55,0.0062596080865841945,4.0,72000,191.13,-1.9794952219724655,0.10283939992535447,1.38252588391304,0.7963246221840382,9,0.0,0.0005644092577313132
492,1.6,0.0056418179811225854,4.0,80000,192.22,-1.4768047654628753,0.13915667043935082,1.3804256570339204,0.760350826010108,10,0.0,-0.0029778250394156204
