PMM:episode_rewards,P01:episode_rewards,epoch_idx,explained_variance,grad_norm,policy_entropy,policy_loss,frames,episode_length,advantage_norm,value_loss,fps,P09:episode_rewards
1.0238095238095237,0.0,1,-2.7099379467964173,1.9236067556111522,1.3220796868205071,-0.033947508230339735,8000,165.92857142857142,1.8319002229720354,0.06310233709289605,400,2.8999999999999986
1.043010752688172,0.0,2,-0.03803329110145569,0.23713451866557844,1.3650859320163726,0.0015154351558885537,16000,167.5268817204301,1.1558114262670278,0.013472726699656051,201,3.0
1.5,0.0,3,-0.009425224065780639,0.22940383158362704,1.3799916064739228,0.0011707446936634368,24000,185.56,1.2241292690485717,0.01410305919572238,262,4.0
1.57,0.0,4,0.05297791361808777,0.24208364038059016,1.3691101968288422,0.0025828869501128794,32000,190.32,1.3171894823387265,0.014962539411080798,297,4.0
1.82,0.0,5,0.0478744637966156,0.31764135393114956,1.3261243891716004,0.002360935081633215,40000,200.2,1.4650034609436988,0.018196824929764262,329,4.0
1.81,0.0,6,0.25987160980701446,0.2672075295049937,1.3295520102977754,0.00180217544286279,48000,197.27,1.2643676781654358,0.014488341296382714,354,4.0
1.67,0.0,7,0.14270146787166596,0.2668209517205259,1.3587906014919282,0.00044674465007119577,56000,192.99,1.1955663207918406,0.012903674390763627,374,4.0
1.62,0.0,8,0.43682169139385224,0.2837375604151703,1.357532969713211,0.001506722387712216,64000,191.87,1.2122545909136533,0.01226358953077579,390,4.0
1.42,0.0,9,0.2821331000328064,0.5218297145680174,1.35184920668602,-0.0016434436773852213,72000,182.03,1.4917036452889443,0.019341737446084153,405,3.0
1.39,0.0,10,0.3175343185663223,0.3182245103224307,1.3721622443199157,-1.0348717914894223e-05,80000,180.2,1.1060714632272721,0.01000630008173175,417,4.0
1.05,0.0,11,0.5063565701246262,0.3453465098392763,1.3805734455585479,-0.0005342406895942986,88000,168.15,1.1687085202336311,0.010589654111681739,427,3.0
1.01,0.0,12,0.5722137475013733,0.38847129069623726,1.37372593998909,-0.0018049598167272053,96000,167.14,1.2607810285687446,0.012498024396190886,436,3.0
1.51,0.0,13,0.7387174206972122,0.46207413033777006,1.3321180081367492,0.001701320395222865,104000,186.59,1.4803957799077034,0.015686271539307198,444,4.1000000000000085
2.04,0.0,14,0.7068692404031753,0.4539712853183236,1.3592635440826415,-0.0027880029176594687,112000,205.8,1.3958338698744774,0.014443196375505068,451,5.0
2.14,0.0,15,0.7820662540197373,0.418203946243131,1.3708733522891998,-0.004512753240123857,120000,209.49,1.2963476487994194,0.012154130853014066,457,5.0
1.98,0.0,16,0.8730782824754715,0.379269325062334,1.362909586429596,-0.0026677161682164296,128000,203.13,1.1194357046484946,0.009322181658353657,463,5.0
2.03,0.0,17,0.8934459733963013,0.3111226317040006,1.348014143705368,-0.0018148392252624035,136000,205.76,1.1015092575550078,0.008178488296689466,468,5.0
2.19,0.0,18,0.9347495549917221,0.28468561947861515,1.3418971002101898,-0.00015669770888052882,144000,210.26,0.9315203979611397,0.006227643814054318,471,6.0
2.15,0.0,19,0.9405265402793884,0.25078974416040123,1.337963993549347,-0.0010959532190463505,152000,210.03,0.8183637467026711,0.004937697674031369,475,6.0
2.03,0.0,20,0.9422728586196899,0.2707701121751766,1.329251480102539,-0.00043041093740612266,160000,205.12,0.9954836294054985,0.007099951869458891,479,5.1000000000000085
2.63,0.0,21,0.9455417448282242,0.25101760061192585,1.3211259424686432,-0.0023428410053020344,168000,225.25,0.8773443508148193,0.005888183551724069,483,7.200000000000017
2.59,0.0,22,0.9260583484172821,0.25533727946671636,1.3500031316280365,-0.0003979735253960826,176000,224.31,0.8812269726395607,0.00622422335203737,486,6.200000000000017
2.69,0.0,23,0.9226453936100006,0.23992451732114412,1.3547621357440949,0.00023770262487232685,184000,227.47,0.8860638085007667,0.006554518553602975,489,9.0
2.51,0.0,24,0.9481998455524444,0.1997193767792322,1.3453154921531678,-0.0008899035636568442,192000,219.06,0.7717968492209911,0.004814862577186432,492,8.100000000000009
2.36,0.0,25,0.9604934108257294,0.1831720753675249,1.3460313630104066,-0.0006839446742014843,200000,215.81,0.6716538994014263,0.0035554727964336053,494,6.0
2.07,0.0,26,0.9814661830663681,0.1375816073932212,1.3330740201473237,-0.0011395531150628813,208000,204.33,0.5403751838207245,0.0021775533072650433,496,5.1000000000000085
1.78,0.0,27,0.9529651588201523,0.19825895150364198,1.3449713337421416,-0.0007965709496056662,216000,198.47,0.6944695124030114,0.0038905522460117936,499,5.0
2.27,0.0,28,0.9408028620481491,0.22417965276610485,1.354780285358429,-0.001210433234955417,224000,216.55,0.8407162031531334,0.005984531448048074,498,5.0
1.95,0.0,29,0.9469444292783737,0.14803894489114935,1.357498961687088,-0.00043149374940185223,232000,201.05,0.6103761048614978,0.003492881319252774,505,5.0
2.02,0.0,30,0.9355209618806839,0.2200158211140366,1.361633323431015,-0.000695033711144788,240000,204.49,0.8457102140784264,0.005682649824448163,511,5.1000000000000085
1.91,0.0,31,0.9612014031410218,0.19914227042753546,1.3447800981998443,-0.001190344527385605,248000,203.28,0.6914228808879852,0.0039420506136957556,515,5.0
