value_loss,P09:episode_rewards,fps,episode_length,grad_norm,frames,policy_entropy,P01:episode_rewards,epoch_idx,policy_loss,PMM:episode_rewards,explained_variance,advantage_norm
0.16863078451489855,2.0,315,158.22222222222223,5.528883045977524,8000,1.2864469337463378,0.0,1,-0.03252122362027876,0.8888888888888888,-1.7901410019397737,2.425361256301403
0.012923981776239088,3.0,166,171.26041666666666,0.2830978632514017,16000,1.3617712688446044,0.0,2,0.0010037885921701673,1.1770833333333333,-0.01975113868713379,1.1007182275876404
0.0157137287180376,3.0,191,177.37,0.25868579909571765,24000,1.351860954761505,0.0,3,0.004365897248208057,1.29,0.019484040141105653,1.2790626648068428
0.012099837119571931,3.0,210,179.41,0.16419679843668777,32000,1.3823195934295653,0.0,4,-0.0033676809316966682,1.35,-0.020543585419654845,1.1207396413572133
0.013343737013938152,4.0,223,180.97,0.16043686158488424,40000,1.3807937955856324,0.0,5,0.0006149404632742517,1.38,-0.005683045983314514,1.1611056146770715
0.012289794654188882,4.0,230,172.67,0.15391126798656837,48000,1.3796997499465942,0.0,6,0.0018466663107392378,1.16,-0.013726851940155028,1.1407994270697237
0.014244181509311601,4.0,237,186.97,0.21586309620781846,56000,1.3734396255016328,0.0,7,0.002448638540226966,1.48,-0.022421188950538636,1.2425005850568414
0.014977892778515524,4.0,243,195.72,0.18680289806333458,64000,1.3799045181274414,0.0,8,0.00032848964056029215,1.71,-0.00454767644405365,1.3278929165750741
0.014255735515835113,4.1000000000000085,248,189.78,0.2414613169711862,72000,1.3688668322563171,0.0,9,6.291153447818943e-05,1.57,-0.11159615278244019,1.3141902908682823
0.014146923793668975,5.0,252,192.14,0.25433361518405606,80000,1.378536161184311,0.0,10,0.004136037967109587,1.59,0.16571568191051483,1.2513598787784577
0.012892520559689728,5.0,255,195.17,0.28867056394948465,88000,1.3747949242591857,0.0,11,0.0018740885981969769,1.72,0.3388818842172623,1.2452089056372642
0.01417675274744397,5.0,259,197.12,0.3171196485647657,96000,1.374701941013336,0.0,12,-0.0015685067806043662,1.9,0.39776370525360105,1.2999195800721646
0.01199835774837993,5.0,260,190.6,0.3324700790969088,104000,1.376290489435196,0.0,13,-0.00234644480762654,1.68,0.5429986363649368,1.2416000133752823
0.014513593792798929,4.0,262,187.22,0.3795363322909236,112000,1.3794033539295196,0.0,14,-0.00402630912460154,1.47,0.7071076548099517,1.3624196422100068
0.015171063977759332,4.0,264,188.87,0.41112506971964696,120000,1.3643318116664886,0.0,15,-0.00031230847991537303,1.5,0.6908239656686783,1.3896944200992585
0.013290719205979257,5.0,266,204.8,0.37941125374244494,128000,1.379536212682724,0.0,16,0.0032099796088004952,1.94,0.7577072954177857,1.308271968960762
0.010230307465535588,6.0,267,202.05,0.3196430972449522,136000,1.3746723484992982,0.0,17,-0.0005254096968565136,1.93,0.8023046737909317,1.1560430154204369
0.008934812002116814,5.0,269,188.03,0.2931696725907517,144000,1.3603796458244324,0.0,18,-0.001268100134911947,1.56,0.854862960577011,1.1194907712936402
0.00879232041654177,5.0,270,191.71,0.320045512587948,152000,1.3668502843379975,0.0,19,-7.838159333914518e-05,1.66,0.864725604057312,1.1089467138051987
0.008191146245226264,5.0,271,191.36,0.29929221661165584,160000,1.3583163285255433,0.0,20,-0.0015915658974563485,1.71,0.8933664458990097,1.0628692731261253
0.008564090362051502,6.0,272,205.05,0.27742091308549033,168000,1.3515603399276734,0.0,21,1.2477907876018435e-06,2.04,0.8919342362880707,1.0838394469022752
0.009098826053086668,7.1000000000000085,273,220.2,0.329403136180685,176000,1.3272321367263793,0.0,22,-0.002137516892871645,2.53,0.9162926173210144,1.1318195688724517
0.0056175561423879115,5.0,274,212.29,0.23082054667571686,184000,1.3400992715358735,0.0,23,-2.8257409794605338e-05,2.21,0.9271779644489289,0.8629243364930153
0.01072776549612172,5.0,274,203.0,0.3522920556987615,192000,1.3435726058483124,0.0,24,-0.005282485160569195,1.97,0.8187317776679993,1.1686698991060256
0.008751150260213763,6.0,275,197.8,0.30498010145055526,200000,1.347828974723816,0.0,25,-0.002345314786361996,1.94,0.8903112733364105,1.0804312536120415
0.005762221435434185,6.200000000000017,276,206.79,0.2342347340143233,208000,1.3552824926376343,0.0,26,1.0609774399199523e-05,2.21,0.9149304848909378,0.8705034646391868
0.0074022937682457265,5.0,276,192.05,0.27962259463389644,216000,1.3540608894824981,0.0,27,0.00015683709192671814,1.63,0.9181061506271362,0.999797934293747
0.006962041105725803,5.0,276,192.31,0.24857474105409935,224000,1.3696708595752716,0.0,28,0.0005935000370118359,1.69,0.8955046945810318,0.9536254939436912
0.009817211722256615,5.0,276,201.69,0.30233438649611716,232000,1.3735219144821167,0.0,29,0.00014896892360411585,1.96,0.8210012936592102,1.147816238105297
0.00684386410866864,5.0,277,196.86,0.253665431176333,240000,1.372524665594101,0.0,30,0.0005509552819421515,1.81,0.8583639168739319,0.9571356400847435
0.0066127654718002304,5.0,277,201.86,0.267896508115076,248000,1.3465649640560151,0.0,31,-0.001231296809273772,2.0,0.9328985685110092,0.9347277569770813
0.005331206322880462,5.0,279,187.73,0.2025726635437028,256000,1.3437982070446015,0.0,32,-0.0010950371882063336,1.63,0.9400244742631912,0.8448745280504226
0.005208160922920797,5.0,280,190.14,0.2038603906310733,264000,1.3612548041343688,0.0,33,-0.0007645718252751976,1.67,0.9335232728719711,0.801417626440525
0.0061400306032737715,5.1000000000000085,281,197.76,0.23288651993476173,272000,1.3681422555446625,0.0,34,-0.00018090680940076708,1.83,0.9205403631925583,0.8905449837446213
