grad_norm,frames,P01:episode_rewards,value_loss,fps,P09:episode_rewards,policy_entropy,explained_variance,episode_length,policy_loss,epoch_idx,PMM:episode_rewards,advantage_norm
1.1084394208492319,8000,0.0,0.044471932820160875,567,3.6999999999999993,1.3165420642495156,-0.5434213083982468,181.26470588235293,-0.013227333345275838,1,1.3529411764705883,1.800958701223135
0.2521172212119914,16000,0.0,0.015002922108396887,358,4.0,1.3528402042388916,-0.08398337841033936,184.8452380952381,-0.001331757855732576,2,1.4285714285714286,1.2988991975039244
0.31991858499110243,24000,0.0,0.018042323826230132,433,5.0,1.3387061977386474,-0.010488293766975403,202.6,0.0009596788184717298,3,1.89,1.49692367605865
0.23106454958646302,32000,0.0,0.011454359992276295,485,4.0,1.3270165348052978,0.012767260670661926,192.8,0.0002947787922312273,4,1.64,1.0930751624703408
0.37424390879011143,40000,0.0,0.017214440003299386,521,3.0,1.3536403572559357,-0.1342334508895874,176.96,0.001591184523422271,5,1.21,1.2737755572795868
0.3053249354503672,48000,0.0,0.012841800920286915,551,3.0,1.3730575489997863,0.15283569931983948,178.79,-0.00021911383140832186,6,1.29,1.2410483375191688
0.28568952217724175,56000,0.0,0.010030351392488228,576,3.0,1.3735603713989257,0.37025377333164217,179.84,-0.0008886443205847173,7,1.29,1.0977354775369168
0.3657609848849542,64000,0.0,0.01360849432327086,596,4.0,1.3741968548297883,0.4471915137767792,179.4,-0.0013926905230619013,8,1.27,1.2839336165785789
0.4059522957995846,72000,0.0,0.014624625728465616,611,4.0,1.3648692798614501,0.6439398300647735,186.68,-0.0006178639335848857,9,1.49,1.3679593306779863
0.3575405740624991,80000,0.0,0.011341378705692478,624,5.0,1.3737608563899995,0.5267880123853683,190.77,-0.0023821985087852226,10,1.64,1.2434096187353134
0.38095406620692124,88000,0.0,0.012843902725435327,636,4.0,1.3773630666732788,0.6988156372308731,190.16,0.0014192439534235746,11,1.62,1.2665823584794997
0.4044862774593493,96000,0.0,0.012686425268184394,645,3.1000000000000085,1.3636019659042358,0.4614067542552948,180.39,-0.004010962703905534,12,1.4,1.2930658766627312
0.3275298103980092,104000,0.0,0.010385575927066383,653,3.0,1.3712373352050782,0.5777894222736358,170.05,0.003066665066871792,13,1.13,1.1615548200905323
0.2724775080605573,112000,0.0,0.008359834982838947,660,3.0,1.377643676996231,0.6673819416761398,170.14,-0.002962721127551049,14,1.07,1.0263232704997063
0.4048576712352315,120000,0.0,0.012341247028671206,667,3.0,1.3739635348320007,0.7855339568853378,175.55,-0.004150091771007283,15,1.25,1.3096231263875961
0.37593424749133336,128000,0.0,0.010891139863524586,674,4.0,1.3403428041934966,0.8418896389007569,184.12,-0.00447418384894263,16,1.48,1.1186837756633758
0.34558062298989994,136000,0.0,0.01019158804207109,679,5.0,1.3461865234375,0.8760436755418778,196.1,-0.0011919895117171108,17,1.75,1.1972659504413605
0.351000250303113,144000,0.0,0.008362598821986467,684,5.1000000000000085,1.3350612926483154,0.9146355175971985,209.92,-0.0034773762698750944,18,2.17,1.053478500545025
0.28680631299137915,152000,0.0,0.007370657470892184,688,6.0,1.3601957249641419,0.9184969794750214,214.77,-0.0004156419920036569,19,2.29,1.0050129434466362
0.29769859400492044,160000,0.0,0.007017561614047736,691,5.0,1.3468616235256194,0.9273471647500992,215.67,-0.000255009904212784,20,2.22,0.9639427429437637
0.2699640479010823,168000,0.0,0.006733307160029654,695,5.1000000000000085,1.3433138394355775,0.9406115698814392,212.96,-0.0029006490351730463,21,2.16,0.93578508913517
0.29495983026193356,176000,0.0,0.007615997364628129,698,5.1000000000000085,1.3495618653297425,0.9413727128505707,223.99,-0.00318079067976214,22,2.51,1.006690800487995
0.284229450146476,184000,0.0,0.007940538958646357,700,6.0,1.3524866688251496,0.9337600696086884,224.76,0.0004143031892817817,23,2.54,1.0315707936882972
0.19936183843342012,192000,0.0,0.00475168312274036,701,6.0,1.3639310920238494,0.9114935398101807,220.44,-0.001137325303570833,24,2.47,0.7573169660568237
0.2713326052033247,200000,0.0,0.008093314298894256,704,5.1000000000000085,1.3578065407276154,0.9200464355945587,207.49,0.0006860245444113388,25,2.11,1.0345234951376916
0.22152411316380088,208000,0.0,0.006961303869029507,706,6.0,1.3731805026531219,0.9040116959810257,210.0,0.0026096719410270454,26,2.29,0.9421711352467537
0.21963135581289933,216000,0.0,0.004837158095033374,708,7.1000000000000085,1.3639833629131317,0.957825448513031,223.82,-0.0029235307371709494,27,2.64,0.7778381548821927
0.1630786872495572,224000,0.0,0.003577420354122296,710,5.1000000000000085,1.3664572465419769,0.955210622549057,189.51,-0.000664453937788494,28,1.67,0.6667227512598037
0.21885879021857213,232000,0.0,0.006201489468221553,712,8.100000000000009,1.3630325138568877,0.9463737177848816,203.75,-0.00048412657361041056,29,2.12,0.8771092852950096
0.24071430654122636,240000,0.0,0.006421123381587676,713,8.100000000000009,1.3623411655426025,0.9334636515378952,205.5,-6.623312910960521e-05,30,2.15,0.913393070101738
0.2665384732992597,248000,0.0,0.007610638473415747,715,6.0,1.3520303201675414,0.9358103120326996,215.11,-0.0013881836691871285,31,2.25,0.9900903940200806
0.16241527154526256,256000,0.0,0.0037520914484048262,717,5.0,1.3464114558696747,0.9639922136068344,211.33,-0.0009676539123756811,32,2.14,0.6995592778921127
0.17492788609344653,264000,0.0,0.0050659938639728355,719,8.100000000000009,1.3582163560390472,0.9495350348949433,221.52,7.807984147802926e-05,33,2.54,0.7978611731529236
