frames,approx_kl_divergence,explained_variance,P09:episode_rewards,policy_loss,PMM:episode_rewards,value_loss,clip_fraction,epoch_idx,policy_entropy,fps,P01:episode_rewards,episode_length,advantage_norm,grad_norm
368640,0.0029744786402090993,1.30385160446167e-08,300.0,-0.0013619888912216993,152.5,0.009989998907485642,0.2274658203125,36,1.7769167855381967,542,25.0,333.81,15.968717813491821,0.05435405951755142
378880,0.002497742213120091,4.097819328308106e-09,325.0,-0.0011242129785387078,176.25,0.011354023244348355,0.1842041015625,37,1.7719583794474603,543,25.0,344.53,15.968717765808105,0.053746558188147844
389120,0.0026746134477320994,3.7252902984619143e-10,350.0,-0.0018628743822773687,197.0,0.010728207352076424,0.23037109375,38,1.770695374161005,542,50.0,345.54,15.96871789097786,0.0582825642951757
399360,0.002530866391964537,-1.1548399925231934e-08,477.5000000000002,-0.0011959570379985961,211.0,0.009040025828744547,0.2093017578125,39,1.7734671242535114,542,50.0,351.71,15.968717509508133,0.054745905814206554
409600,0.0029286061149434773,-4.8428773880004884e-09,525.0,-0.0016759085938247154,201.75,0.00927750195214685,0.2166015625,40,1.7769631311297416,542,50.0,345.32,15.968717712163926,0.052390833907732026
419840,0.0024053367209830867,-9.313225746154785e-09,502.5000000000002,-0.0014962355329771527,189.0,0.00804825287505082,0.209716796875,41,1.7789688557386398,543,25.0,336.05,15.968717509508133,0.0511142700375426
430080,0.0029629245512523992,2.6077032089233397e-09,502.5000000000002,-0.0018967910946230404,192.75,0.011339231756574008,0.233642578125,42,1.7799075372517108,544,25.0,338.4,15.96871766448021,0.05457346475889513
440320,0.0027580188427805295,-9.313225746154785e-09,502.5000000000002,-0.0015541051456239075,200.75,0.008917552776938464,0.21650390625,43,1.7774864166975022,543,25.0,338.35,15.968717712163926,0.05531770461336829
450560,0.003102363089476512,-2.7194619178771972e-08,400.0,-0.0015347922722867223,184.75,0.0064582409215176995,0.246728515625,44,1.772200707346201,543,25.0,342.83,15.968713575601578,0.0503491730915205
460800,0.0026633004741086095,5.587935447692871e-09,352.5000000000002,-0.0014164611926389624,156.75,0.007317938271421553,0.209375,45,1.7793195135891438,542,25.0,334.49,15.96871559023857,0.050523643560782726
471040,0.003715928913550215,-3.3527612686157227e-09,352.5000000000002,-0.0020861914210399844,144.0,0.007563873481649353,0.2767578125,46,1.7701354667544364,542,22.500000000000007,332.48,15.96871758699417,0.05330899328309648
481280,0.003161046974173587,-2.3096799850463868e-08,400.0,-0.0017299130886385683,151.0,0.008232575798524521,0.25029296875,47,1.772685346752405,542,25.0,335.71,15.968717354536057,0.05372793427183135
491520,0.0025559356240137275,7.450580596923828e-09,402.5000000000002,-0.0012118669757910539,150.5,0.007786859325619844,0.2131591796875,48,1.7740376733243466,542,25.0,334.86,15.96871400475502,0.054170679421420856
501760,0.0034931450707006207,-3.7252902984619143e-10,282.5000000000007,-0.0022266569536441238,144.25,0.007068138384829581,0.2945068359375,49,1.7754085272550584,542,25.0,332.58,15.968717116117478,0.05011192893882436
512000,0.0024442906477361247,2.9802322387695314e-09,302.5000000000002,-0.0016359243272745516,151.5,0.008906028926867293,0.2120361328125,50,1.784941268712282,542,25.0,330.6,15.968717819452285,0.05380638214304552
522240,0.003084117491374627,-2.2351741790771484e-09,275.0,-0.0016542157354706433,147.0,0.007514344774108395,0.254541015625,51,1.775583177804947,542,25.0,325.7,15.968717408180236,0.05312215334290268
532480,0.0024837733493541236,-8.195638656616212e-09,327.5000000000002,-0.00164498933518189,166.75,0.00905155263371853,0.2160400390625,52,1.7757987141609193,543,50.0,331.31,15.968717449903489,0.05593040534523212
542720,0.002693006412266641,1.7508864402770997e-08,302.5000000000002,-0.00169361538864905,151.75,0.008533812960376964,0.2267333984375,53,1.7652652867138385,542,50.0,325.21,15.968717616796493,0.05228226957039513
552960,0.003115206360962475,6.332993507385254e-09,350.0,-0.0013332772086869227,165.25,0.008049030635834242,0.246435546875,54,1.7752204246819019,542,25.0,331.83,15.968715804815293,0.05282386674505947
563200,0.0032787646940448667,2.60770320892334e-08,327.5000000000002,-0.0019051378352742177,157.25,0.009508571139213018,0.249462890625,55,1.7759195573627948,542,25.0,329.46,15.968717652559281,0.05496704644253188
573440,0.0025875045473924274,-1.2293457984924316e-08,457.5000000000006,-0.0012537957467429806,176.25,0.00894305523888761,0.2123779296875,56,1.7726431399583817,541,25.0,331.98,15.968717497587203,0.05417155067947331
583680,0.0023975180894467486,-1.1175870895385742e-09,382.5000000000007,-0.00178303980610508,180.0,0.009710652525245677,0.224755859375,57,1.7845382660627365,541,25.0,337.13,15.968717843294144,0.05629949780014959
593920,0.0034279543453635598,6.7055225372314455e-09,307.5000000000006,-0.0018015390989603475,171.25,0.008318400685493544,0.2400390625,58,1.7755512282252313,541,25.0,335.39,15.968717527389526,0.053039781830059085
604160,0.0030447800045408256,-1.9744038581848144e-08,352.5000000000002,-0.0018638234127138277,176.5,0.008452224683219356,0.2874267578125,59,1.7785953246057034,541,25.0,336.13,15.968717098236084,0.0535799749205632
614400,0.0033393146996132826,1.2293457984924316e-08,380.00000000000045,-0.002178701050797827,159.0,0.007357617855163312,0.282421875,60,1.7823452174663543,541,0.0,328.39,15.968715339899063,0.053044274527867065
624640,0.003100531448544075,-1.4156103134155273e-08,357.5000000000007,-0.0017842281744378853,155.0,0.008190389392393627,0.2672119140625,61,1.7622929885983467,541,0.0,327.01,15.968717437982558,0.05171537798173943
634880,0.003309824894358826,-7.078051567077636e-09,430.0000000000004,-0.0015868965205299902,165.5,0.009458690645624301,0.2409912109375,62,1.7617639511823655,536,0.0,326.77,15.968717604875565,0.053015727389747434
