#{"t_start": 1546137681.8875217, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,347,92.096062
0.0,127,95.684548
1.0,173,151.017208
0.0,127,155.565474
0.0,127,160.027853
2.0,204,167.35026
0.0,127,172.032942
1.0,175,180.067665
3.0,248,190.431935
0.0,127,195.393833
1.0,155,202.110087
0.0,127,206.872797
3.0,269,218.478622
0.0,129,223.553985
0.0,125,229.01784
2.0,202,237.65589
0.0,129,242.85587
0.0,127,247.818332
10.0,426,266.280989
0.0,127,271.560008
0.0,129,276.780225
2.0,202,285.139249
0.0,129,290.099161
0.0,129,295.206391
0.0,129,300.338832
3.0,248,310.261904
0.0,125,315.149164
0.0,125,320.121446
0.0,127,324.838273
0.0,129,330.217757
4.0,299,342.060681
3.0,248,352.574829
1.0,157,358.601019
2.0,202,366.629929
0.0,127,371.279027
2.0,202,379.38308
0.0,127,384.118986
0.0,129,389.394698
4.0,297,401.676498
0.0,129,406.974829
0.0,129,412.085334
4.0,301,424.880892
0.0,127,429.575674
0.0,127,434.766552
2.0,202,443.322159
2.0,202,451.334885
0.0,129,456.401079
3.0,230,465.852305
4.0,297,477.677451
9.0,403,494.499555
0.0,127,499.288554
0.0,129,504.398569
7.0,428,522.110475
5.0,350,533.061605
4.0,299,541.659232
0.0,129,545.549043
9.0,404,557.35194
0.0,129,560.946899
0.0,129,564.540277
2.0,198,569.724135
2.0,202,574.300071
5.0,350,583.264246
0.0,125,585.619287
5.0,350,592.760753
3.0,248,598.875005
0.0,127,601.545309
0.0,129,603.893333
4.0,291,611.124645
0.0,125,614.202771
1.0,155,618.429449
0.0,129,621.599263
0.0,125,624.331438
0.0,127,627.090566
0.0,129,629.608402
0.0,125,632.522714
0.0,123,635.811563
0.0,125,638.431048
9.0,404,648.862025
1.0,156,653.11411
2.0,200,659.388087
3.0,246,665.837357
0.0,127,668.384159
0.0,129,670.808885
2.0,200,676.457727
1.0,178,686.459537
2.0,200,694.076035
0.0,127,696.866479
4.0,297,704.053833
2.0,200,709.160632
4.0,319,718.610199
0.0,127,720.591986
2.0,200,724.915361
2.0,200,729.271744
0.0,125,732.123252
4.0,297,739.308681
5.0,328,746.886399
4.0,292,753.376092
5.0,350,761.642605
2.0,202,765.528062
9.0,404,774.652271
0.0,125,777.177165
2.0,202,781.903282
0.0,127,785.212508
5.0,350,793.717805
0.0,127,796.49005
0.0,123,799.01179
0.0,127,801.641449
0.0,127,804.450803
0.0,127,807.530229
0.0,129,810.276932
0.0,127,813.030399
3.0,248,819.175302
2.0,221,825.216555
5.0,331,834.347105
7.0,411,843.779776
4.0,299,850.39959
2.0,202,854.656228
2.0,202,859.150399
0.0,129,861.853183
0.0,127,864.51161
4.0,297,870.948785
1.0,173,874.382218
2.0,202,878.358422
5.0,350,886.446159
4.0,299,893.114688
2.0,198,897.269314
0.0,129,899.848101
1.0,155,903.740337
2.0,202,908.324126
0.0,127,911.010754
3.0,250,916.598308
1.0,157,919.723476
5.0,330,926.589349
0.0,127,928.955505
2.0,202,932.949364
0.0,129,935.462148
0.0,129,938.231536
0.0,127,941.016765
2.0,200,945.339959
3.0,253,951.151935
0.0,129,953.956286
4.0,319,961.139626
0.0,129,963.7945
2.0,202,968.291183
0.0,129,971.028626
6.0,388,979.754732
0.0,127,982.609643
12.0,496,993.10416
1.0,178,996.98517
10.0,451,1006.81834
11.0,501,1018.451749
4.0,297,1024.534004
2.0,220,1029.464847
5.0,333,1036.943583
6.0,380,1045.902941
0.0,129,1048.54339
5.0,346,1056.276734
3.0,232,1061.201412
4.0,278,1067.386284
1.0,173,1071.079609
7.0,321,1077.994078
2.0,202,1082.38158
5.0,352,1090.248904
3.0,250,1095.880511
1.0,177,1099.943291
0.0,129,1102.562383
0.0,129,1105.19214
0.0,127,1107.607951
1.0,175,1111.27042
0.0,127,1113.975094
0.0,129,1116.400807
1.0,176,1120.22471
0.0,129,1122.877519
0.0,129,1125.407817
0.0,129,1128.134409
0.0,127,1130.951127
0.0,127,1133.950199
0.0,129,1136.770053
0.0,123,1139.228685
0.0,127,1141.729942
0.0,129,1144.531264
8.0,374,1152.841399
5.0,369,1160.858542
0.0,127,1163.474593
0.0,125,1165.987833
1.0,174,1169.801391
1.0,155,1173.109651
3.0,250,1178.364257
3.0,248,1183.987922
0.0,127,1186.771553
1.0,177,1190.477403
3.0,248,1195.775538
9.0,404,1204.967669
1.0,173,1208.552979
0.0,129,1211.280193
0.0,129,1213.682838
0.0,129,1216.213356
2.0,222,1220.466132
0.0,125,1223.018327
0.0,127,1227.360857
11.0,482,1238.895292
4.0,285,1244.916406
1.0,173,1248.500808
0.0,129,1251.422867
3.0,270,1257.358734
3.0,248,1262.922989
1.0,174,1266.463273
10.0,433,1275.916542
2.0,201,1280.277674
1.0,176,1284.047896
8.0,374,1292.510719
2.0,202,1297.259044
1.0,153,1300.430601
1.0,157,1303.67201
2.0,202,1307.924659
3.0,248,1313.361366
6.0,378,1321.48548
2.0,187,1325.290348
0.0,127,1328.011519
6.0,374,1336.415387
0.0,129,1339.085194
3.0,254,1344.743202
0.0,129,1347.466709
5.0,350,1354.766033
2.0,225,1359.707397
3.0,231,1364.618074
2.0,202,1368.82654
3.0,230,1373.711071
0.0,129,1376.228406
5.0,349,1383.792081
1.0,176,1387.473174
0.0,129,1390.041939
3.0,232,1395.07129
9.0,404,1403.854184
2.0,204,1407.994487
3.0,248,1413.436635
8.0,421,1423.019995
15.0,646,1437.280397
4.0,282,1443.379527
1.0,175,1447.096013
7.0,427,1457.090964
3.0,227,1462.001162
3.0,248,1467.52307
4.0,324,1474.497314
14.0,604,1488.309235
10.0,452,1498.44605
12.0,525,1510.208144
5.0,311,1517.141735
2.0,220,1521.622587
2.0,202,1526.023081
2.0,202,1530.353042
14.0,598,1544.58566
0.0,129,1547.14003
13.0,449,1557.36016
0.0,129,1560.115743
3.0,247,1565.548525
9.0,422,1574.551362
9.0,498,1585.64064
11.0,497,1597.113902
7.0,385,1605.59752
3.0,252,1610.689099
17.0,660,1627.231267
5.0,286,1635.155747
2.0,202,1639.911057
1.0,173,1644.003242
13.0,586,1659.456261
8.0,415,1669.373838
0.0,129,1672.713299
0.0,129,1676.023964
5.0,309,1683.588756
14.0,528,1696.45657
7.0,438,1707.243497
7.0,420,1717.796115
8.0,442,1727.85318
0.0,129,1730.438244
3.0,254,1736.233624
16.0,584,1749.999254
8.0,494,1761.237351
3.0,271,1767.972991
0.0,129,1770.584656
2.0,202,1775.517729
15.0,725,1793.272511
4.0,303,1800.267629
15.0,656,1816.594519
7.0,401,1826.521119
13.0,519,1839.362115
11.0,450,1849.98758
17.0,569,1863.60456
14.0,691,1881.13435
0.0,129,1883.932532
10.0,372,1893.491613
18.0,672,1910.326243
14.0,590,1925.559216
5.0,352,1934.398817
10.0,518,1947.508518
1.0,155,1951.281193
10.0,490,1963.642528
