episode_length,explained_variance,fps,policy_loss,P01:episode_rewards,policy_entropy,PMM:episode_rewards,epoch_idx,grad_norm,value_loss,advantage_norm,P09:episode_rewards,frames
179.88888888888889,-3.1468288403749467,397,-0.049635410404298454,0.0,1.3448708894848824,1.25,1,3.5245289930474617,0.2032785913880434,2.4180530945211647,3.5,8000
189.45238095238096,-0.02871606469154358,200,-0.004274691248429008,0.0,1.381213639974594,1.5119047619047619,2,0.23373718774916877,0.01576452144315226,1.3505116236582397,4.0,16000
184.87,0.0299679958820343,260,0.001886232855176786,0.0,1.3720899868011474,1.44,3,0.17116401077140836,0.011181881020615948,1.016779873687774,4.0,24000
173.33,0.010177913308143615,294,0.0017298994259908795,0.0,1.3834697818756103,1.17,4,0.1758700891152914,0.013311296193260205,1.21715457290411,3.0,32000
183.56,0.01560331404209137,326,-0.0015800116749596783,0.0,1.383319206237793,1.39,5,0.14974724892893276,0.011952462039116653,1.150271275267005,3.0,40000
192.28,0.022029386758804323,352,0.005109148973133415,0.0,1.3716356563568115,1.58,6,0.27226267624973594,0.017139050970690732,1.419360796958208,4.0,48000
186.34,0.01596376419067383,372,-0.0012972987117245793,0.0,1.3789160966873169,1.45,7,0.20373220191234329,0.012461087914598466,1.1388484046980738,3.0,56000
181.2,0.027258731722831726,389,0.0016291393956635147,0.0,1.3823981058597565,1.32,8,0.18881195250046098,0.01192176411032051,1.1319108145684005,3.0,64000
186.23,0.059370490908622744,402,0.0025974827969912438,0.0,1.3841837120056153,1.45,9,0.2299195093582199,0.014189394738386908,1.2629122107475996,3.0,72000
186.06,0.08958903551101685,414,-0.0021053331706207246,0.0,1.3795504772663116,1.44,10,0.33691519679808535,0.01701411165180616,1.2970916543900968,3.0,80000
194.21,0.2408151149749756,423,-0.0006070359172008466,0.0,1.3756799972057343,1.67,11,0.3117058949640397,0.014853489353554324,1.3453841559588908,4.0,88000
197.67,0.10642799258232116,433,-0.02365597276657354,0.0,1.3566978812217712,1.72,12,1.298175787826398,0.08813529098115395,1.8747294241189956,4.0,96000
194.94,0.5183807182312011,440,-0.0015609783076797612,0.0,1.3703071308135986,1.73,13,0.3119391169836677,0.011960430227336474,1.2332910493016243,4.0,104000
