value_loss,explained_variance,P09:episode_rewards,epoch_idx,grad_norm,episode_length,advantage_norm,PMM:episode_rewards,fps,P01:episode_rewards,frames,policy_loss,policy_entropy
0.24787400662111395,-3.177776017189026,3.0,1,6.732682468823867,182.28947368421052,2.7248253214731815,1.394736842105263,409,0.0,8000,0.023008805906865746,1.3155177740752697
0.017958704391203353,0.06740928411483765,4.0,2,0.3502639533378486,189.1829268292683,1.4263363303989172,1.5,202,0.0,16000,0.0018755749869160355,1.3591160809993743
0.01890046297121444,-0.03450059592723846,4.0,3,0.38227771681919287,196.44,1.4654069143533706,1.69,262,0.0,24000,0.005268363608338405,1.3703041279315948
0.015301150327941286,-0.04960490942001343,4.0,4,0.37054843632723045,196.8,1.3002165523171425,1.7,296,0.0,32000,0.0010778751398902386,1.353773945569992
0.018541790371818932,0.30048421561717986,4.0,5,0.40484286201951664,199.05,1.4951489073038102,1.81,327,0.0,40000,0.005834417496807873,1.3603589165210723
0.016561223101743964,0.6770705533027649,4.0,6,0.4474858433545317,200.96,1.4864983290433884,1.88,350,0.0,48000,-0.004522144207257952,1.3322575867176056
0.01471320360666141,0.7157591295242309,4.1000000000000085,7,0.447413728979543,207.31,1.4068641024827957,2.05,368,0.0,56000,-0.0035888193166465497,1.3552117371559143
0.014827802607323975,0.7747393381595612,5.0,8,0.4153823809020456,202.17,1.4427530086040496,1.85,385,0.0,64000,-0.004226288674108219,1.3369910609722138
0.0126848191593308,0.7914630311727524,5.0,9,0.3973217867696033,206.88,1.2740835285186767,2.05,397,0.0,72000,-0.0002861052862135693,1.3539121699333192
0.008344874301692472,0.9124570274353028,5.1000000000000085,10,0.30234138588456444,220.4,1.0661032965779305,2.35,408,0.0,80000,-0.0007383320192457177,1.3490631186962128
0.007202884153230116,0.9118961870670319,6.0,11,0.28341091832873205,210.78,0.9893621617555618,2.18,418,0.0,88000,-0.002045835790413548,1.3104923510551452
0.006629821564420126,0.9107882517576218,9.0,12,0.28426756273108006,204.73,0.9226566854119301,2.16,427,0.0,96000,0.000296807240738417,1.3199130988121033
0.0064137476112227886,0.8901551008224488,5.1000000000000085,13,0.2840346782198522,187.27,0.9353285938501358,1.6,434,0.0,104000,-0.0009197854861849919,1.3572522699832916
0.008369420969393105,0.9068612104654312,5.0,14,0.2968799893210627,193.7,1.0760661989450455,1.65,441,0.0,112000,-0.0020003964749048466,1.3534661889076234
0.006825860700628255,0.9040146797895432,5.0,15,0.25391225834526665,205.05,0.9354335236549377,1.96,447,0.0,120000,0.0006514847667131108,1.3547737097740173
0.0056966204330092295,0.9333031821250916,5.0,16,0.23316561181561846,203.21,0.8717428374290467,1.89,453,0.0,128000,-0.00024592927569756285,1.3640839970111847
0.006612012174446136,0.9302003920078278,5.0,17,0.25244705481936086,203.42,0.8942557710409165,2.03,458,0.0,136000,-0.0004795910549000837,1.3571340072154998
0.0037649522838182747,0.9510225886106491,5.0,18,0.17479598163642515,203.89,0.6794238182902336,1.97,463,0.0,144000,1.7614300159038976e-05,1.3577589547634126
0.005346611254499294,0.929524478316307,5.0,19,0.21279094473162485,207.6,0.8561079531908036,2.06,467,0.0,152000,-0.001516591010731645,1.3486650323867797
0.003579178032814525,0.9626096701622009,6.0,20,0.17145320261311336,211.52,0.6683444172143936,2.21,471,0.0,160000,-0.0008246649400098249,1.3441798031330108
0.004895876058144495,0.9504276049137116,9.0,21,0.20298110148888976,216.88,0.7611838781833649,2.42,474,0.0,168000,-0.0006667116996322875,1.349656697511673
