policy_entropy,epoch_idx,advantage_norm,q_loss,policy_gradient_loss,PMM:episode_rewards,fps,frames,rollout_prob_std,model_prob_std,policy_loss,explained_variance,avg_q_selected,grad_norm,P09:episode_rewards,policy_gradient_bias_correction,avg_q_retraced,episode_length,P01:episode_rewards
2.0444976409276325,1,0.0963055254270633,0.0026917038623651022,-0.00039470098829497147,0.0,436,7200,0.053473791728417076,0.05347379104544719,-0.00039470098441446075,-36.44837716420491,0.00967711266130209,0.09994064770063456,0.0,1.3901349978547492e-12,0.01070340322330594,0,0.0
1.0935113463861248,2,0.3783786148453752,0.009764180778195927,-0.0009856742031149205,0.0,204,14400,0.17950816669811806,0.17950816955417395,-0.0009856744718402884,-55.87155165672302,0.008409040452291568,0.4330678151536198,0.0,-2.6440296011582037e-10,0.005617759330198169,0,0.0
2.188194211324056,3,0.012342497644325098,9.622819622260674e-05,9.914825483671544e-05,0.0,248,21600,0.011849272095908721,0.011849272189040978,9.914825483671544e-05,-85.24497241973877,-0.0024100120271517275,0.007676985571186452,0.0,0.0,-0.0023221894458401947,0,0.0
2.1919875860214235,4,0.02936485627045234,4.6572593858703235e-05,4.6843421985916695e-05,0.0,278,28800,0.01124264436463515,0.011242643961062034,4.6843421985916695e-05,-14.910133647918702,-0.0026204772914449376,0.0043026513782763376,0.0,0.0,-0.0026400941501682003,0,0.0
2.1931291103363035,5,0.014339166429514686,9.82844310518279e-06,0.00010392953149676031,0.0,289,36000,0.009975846856832504,0.009975846949964761,0.00010392953149676031,-7.968840964635214,-0.004469394846819341,0.0014969262473895286,0.0,0.0,-0.004403339054745933,0,0.0
2.193096407254537,6,0.022627299837768077,1.5122381705623411e-05,8.64104114498332e-05,0.0,299,43200,0.009909019650270542,0.009909019712358713,8.64104114498332e-05,-21.501178232828774,-0.0032537437044084074,0.002099614073744907,0.0,0.0,-0.0031610439298674466,3324.0,0.0
2.188703521092733,7,0.008476045960560442,2.156390916828362e-05,4.734253982405789e-05,0.0,311,50400,0.012217445826778809,0.012217445764690638,4.734253982405789e-05,-66.4251251856486,-0.004080535917698095,0.0024639670978930574,0.0,0.0,-0.003976766540048023,3324.0,0.0
2.1826140801111857,8,0.008157541618372004,1.092119371908969e-05,0.0002210549732618953,0.0,321,57600,0.01782479657170673,0.017824796928713717,0.0002210549732618953,-38.068833669026695,-0.00840092912549153,0.0020538247827456987,0.0,0.0,-0.008248078252654523,3324.0,0.0
2.194150439898173,9,0.018323944648727775,1.1642907080992397e-05,3.970502366428264e-05,0.0,329,64800,0.008438919996842742,0.008438919965798656,3.970502366428264e-05,-10.764877875645956,-0.001776398322544992,0.0015819560518604845,0.0,0.0,-0.0016979200746087978,3324.0,0.0
2.19411940574646,10,0.013468688734186192,6.995954133041475e-06,5.0110454958485205e-05,0.0,336,72000,0.008651797256122033,0.008651797302688162,5.0110454958485205e-05,-20.955240551630656,-0.0026064882054924964,0.0011441671383511035,0.0,0.0,-0.0025605261713887253,3324.0,0.0
2.1938435951868693,11,0.022595360223203898,1.0077655086130713e-05,4.406266183044257e-05,0.0,342,79200,0.009073120246951779,0.009073120246951779,4.406266183044257e-05,-5.947557830810547,-0.0015771239976553866,0.0014414111919155588,0.0,0.0,-0.0015657634183298796,3324.0,0.0
2.195233448346456,12,0.007064808113500476,1.9278528251713095e-06,3.705127237481065e-05,0.0,347,86400,0.006983487292503318,0.006983487261459231,3.705127237481065e-05,-15.517577425638835,-0.0014571951624626914,0.0005277900242417155,0.0,0.0,-0.001418607437517494,3324.0416666666665,0.0
2.1878971894582113,13,0.006114208155001203,2.5715058266465953e-06,0.00013315377803640633,0.0,351,93600,0.014393770306681593,0.014393770244593422,0.00013315377803640633,-19.430165946483612,-0.007877152677004536,0.0008488729393178817,0.0,0.0,-0.00781504282883058,3324.0416666666665,0.0
2.1934609015782676,14,0.006173887895420194,1.1296904062874092e-06,0.00010813958121692243,0.0,356,100800,0.008717276031772296,0.00871727600072821,0.00010813958121692243,-9.645656768480936,-0.0033582169096916916,0.0004231113080839337,0.0,0.0,-0.0033004812935056786,3324.0416666666665,0.0
2.1938631931940713,15,0.021091971336863934,8.892851373805874e-06,2.256989294740682e-05,0.0,360,108000,0.009065656239787738,0.009065656317397952,2.256989294740682e-05,-8.06180108388265,-0.0012079069565515965,0.0012590357455138138,0.0,0.0,-0.0011415252966495851,3324.0416666666665,0.0
2.1948426961898804,16,0.008023019119476279,2.6607147972868007e-06,3.7836551139965495e-05,0.0,365,115200,0.007643304206430912,0.007643304004644354,3.7836551139965495e-05,-13.815561532974243,-0.0016552581471235802,0.0005195820563277793,0.0,0.0,-0.0016483869694638997,3324.0416666666665,0.0
2.193272183736165,17,0.021078253663921107,8.105932336377465e-06,4.828404436011625e-05,0.0,365,122400,0.018617818928841085,0.00983275931302665,4.82107650054786e-05,-4.943082894980907,-0.002005591428217788,0.0012928359268199684,0.0,-7.32793579219206e-08,-0.0019677200692886903,3324.027777777778,0.0
2.1903953301055092,18,0.025622408804077183,3.374196840060077e-05,4.655144452174552e-05,0.0,361,129600,0.03661735675822471,0.012807131566602497,4.8240245509265464e-05,-4.05783605656217,-0.0031202206466973406,0.0008475672749218,0.0,1.6888009038524163e-06,-0.003057932809581019,3324.027777777778,0.0
2.1864745334784192,19,0.009870997080468529,1.6766632194806186e-06,8.562340580671918e-05,0.0,358,136800,0.03747213007804627,0.015840017197372776,8.664337626898924e-05,-3.2532269590383485,-0.003605238817822932,0.000533793141291643,0.0,1.0199704634520199e-06,-0.00354855145817748,3324.027777777778,0.0
