P09:episode_rewards,P01:episode_rewards,explained_variance,fps,advantage_norm,PMM:episode_rewards,grad_norm,episode_length,value_loss,policy_entropy,epoch_idx,policy_loss,frames
2.0,0.0,-2.703121170401573,526,4.837060607895255,0.9743589743589743,29.05074347416801,164.28205128205127,0.9466141679693919,1.3185133004747331,1,0.15799842589545732,8000
3.0,0.0,-5.251746261715889,320,0.7513546652905643,1.1704545454545454,0.11356178510083102,173.3068181818182,0.005806266515314747,1.3839044451713562,2,0.0005394267514930107,16000
4.0,0.0,-3.128050286769867,361,0.6886447726935149,1.42,0.09561957116887562,185.51,0.005270937957811838,1.3833368372917176,3,-0.00010916973322309786,24000
4.0,0.0,-3.658938670158386,385,0.7863810371421277,1.4,0.09414649641958076,184.39,0.006462300348939607,1.3850434553623199,4,0.00032053794129751625,32000
4.0,0.0,-4.016594059467316,401,0.682839376134798,1.41,0.07592512168881502,183.17,0.005157749331108335,1.3850182282924652,5,-0.0005291094840140431,40000
3.0,0.0,-1.9077598363161088,410,0.6858148849569261,1.32,0.0767676043060198,179.51,0.005273097028621692,1.3857249999046326,6,0.0005479518335778266,48000
3.0,0.0,-1.952701182961464,415,0.8019337267614901,1.38,0.13773233343444047,182.44,0.0066881876599313725,1.3859684538841248,7,0.0017416548533947208,56000
3.0,0.0,-0.7251554816961289,419,0.7996362623199821,1.35,0.0880383540090681,178.84,0.006053176900368271,1.385754749774933,8,0.0001320867647882551,64000
4.0,0.0,-4.245195939540863,423,0.6928544393461198,1.57,0.07383512417525352,188.02,0.0055182165655520525,1.3856099236011505,9,3.320900403195992e-05,72000
3.0,0.0,-3.1954257398843766,425,0.6229966274090111,1.3,0.07703435653118841,178.98,0.004759004282109344,1.385394377708435,10,0.0003129612891643774,80000
2.0,0.0,-3.9746609234809878,425,0.624448110666126,1.05,0.07331875832486644,168.1,0.004780984399214958,1.3843755066394805,11,-0.00045302918544621207,88000
2.0,0.0,-1.9998268580436707,427,0.609211640600115,0.97,0.07678535011553972,165.43,0.004657374801147398,1.3850164711475372,12,0.000839442407595925,96000
3.0,0.0,-1.3817601275444031,429,0.7092112193629145,1.12,0.07343680102377377,173.19,0.005670787163317073,1.3831892251968383,13,-0.0004670342872850597,104000
3.0,0.0,-1.366019670367241,430,0.6414415708929301,1.16,0.06255703847329301,174.83,0.004754591002365487,1.3837141180038453,14,0.0005065024369105231,112000
3.0,0.0,-0.6542617356777192,431,0.7018975188955665,1.19,0.0635752960800503,175.23,0.005349983342111955,1.383459323644638,15,-0.0009525608422700316,120000
3.1000000000000085,0.0,-0.7887939667701721,432,0.728360944762826,1.3,0.06053435654205586,181.13,0.005401053088116896,1.3807695055007934,16,0.0005722868301745621,128000
3.0,0.0,-0.9957488238811493,433,0.8009121210873127,1.4,0.07905619736625417,184.46,0.006528980215543925,1.3835124790668487,17,0.0004024535770292914,136000
3.1000000000000085,0.0,-1.4785546088218688,434,0.6669483173824847,1.38,0.0572237662245308,183.65,0.005148985213077139,1.3847766518592834,18,-0.0009680241969181225,144000
3.1000000000000085,0.0,-0.8629423975944519,435,0.7625861299596727,1.39,0.0653910479650609,185.19,0.006180530520027787,1.3858608627319335,19,0.0012014133844058961,152000
4.0,0.0,-0.7492247271537781,436,0.7808071822673083,1.61,0.08535382259027953,191.06,0.006287551429149971,1.3858026230335236,20,0.0012788002181332559,160000
4.0,0.0,-1.2910107845067977,437,0.7040394004061818,1.53,0.06185466293212229,186.38,0.005470963843768004,1.3850863218307494,21,0.00025223502714652565,168000
4.0,0.0,-0.8986950820684433,437,0.7384090873971582,1.54,0.07331771041271587,187.11,0.005958896859083324,1.383981705904007,22,0.0002779150473361369,176000
3.0,0.0,-1.1014878660440446,437,0.7223611979186535,1.46,0.06430328099385234,183.67,0.005633618596411907,1.3780625557899475,23,-0.0004363998226472177,184000
3.0,0.0,-1.8707567268610001,438,0.6709102714806795,1.32,0.05512545212400778,178.85,0.0052845880647964805,1.3766118252277375,24,0.0001413091587164672,192000
3.0,0.0,-2.8012878912687302,438,0.5935936332866549,1.25,0.06409992653786953,177.12,0.0047193359615675945,1.3793439781665802,25,-0.00038226385178859347,200000
3.0,0.0,-2.649678149819374,438,0.6127215333282947,1.12,0.053975782097154375,172.57,0.004433564115586251,1.3766462576389313,26,7.022555786534212e-05,208000
3.0,0.0,-1.4598980617523194,438,0.7030502070114016,1.09,0.06932719990517146,171.35,0.005571126638060377,1.3764938282966614,27,0.00014211558736860753,216000
3.0,0.0,-1.8480695140361787,438,0.6217498901858926,1.2,0.05996996161386647,172.06,0.004589742741400187,1.3781070828437805,28,0.00012982951826415957,224000
2.1000000000000085,0.0,-2.3726209449768065,438,0.6852423277124763,1.05,0.07431125396346323,166.81,0.005448929373342253,1.373821688890457,29,-0.0005736927618272602,232000
2.0,0.0,-1.4340226250886916,439,0.6634152058139443,1.09,0.07573876248181972,169.76,0.00485050930052239,1.3803266763687134,30,-0.0004898902832064778,240000
