epoch_idx,frames,explained_variance,policy_entropy,fps,value_loss,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,advantage_norm,episode_length,grad_norm,policy_loss
1,8000,-11.013153812885285,1.3219776904582978,520,0.9255828142641258,1.0,0.0,2.8999999999999986,4.364263414405286,164.76190476190476,28.835071859075423,-0.14263770699268208
2,16000,-2.876667650938034,1.3664339017868041,313,0.0049844032226747,1.074468085106383,0.0,3.0,0.6579851397685706,168.56382978723406,0.10246152328412501,-0.0005692086450289935
3,24000,-5.63146812081337,1.3697248351573945,353,0.004113240967812999,0.96,0.0,2.0,0.5275458160229027,163.95,0.07778828017374632,0.0001952958856600162
4,32000,-2.9479124188423156,1.3765642595291139,376,0.004241552232688264,0.82,0.0,2.0,0.579837074931711,158.62,0.07421958785656205,0.00034121749638870824
5,40000,-2.1828470462560654,1.379408656358719,393,0.005075763410736726,1.07,0.0,3.0,0.6498118129558861,168.82,0.07975266553143738,-0.00035349337107618337
6,48000,-2.653414509296417,1.3770701241493226,405,0.00532611985688618,1.15,0.0,3.0,0.6786534337326884,171.1,0.08292887781611792,0.00019408517284318804
7,56000,-2.0445418226718903,1.3789091098308563,411,0.0049474116590567975,1.07,0.0,3.0,0.6626684520579874,168.91,0.08249165983470584,-6.348482565954328e-07
8,64000,-1.237051146030426,1.3842745018005371,415,0.006835226000102921,1.55,0.0,3.1000000000000085,0.8179593898355961,183.77,0.09170971760171512,0.0012886112183332443
9,72000,-1.4109137427806855,1.3843356359004975,420,0.0052412366505450335,1.65,0.0,3.0,0.690502989217639,187.37,0.07557369299551482,-0.0008077350695384666
10,80000,-2.0965130668878555,1.3842311704158783,423,0.0055415599430352815,1.37,0.0,3.0,0.7094841389916837,182.87,0.08241758047344107,-0.0007811647516791708
11,88000,-2.054083806872368,1.3824746489524842,423,0.004716317064403484,1.3,0.0,3.0,0.6506937184557319,180.57,0.07531238331471796,6.24755888202344e-05
12,96000,-1.991735811829567,1.3830670750141143,425,0.006643820801245965,1.41,0.0,3.1000000000000085,0.7953504294902086,182.54,0.12259401346598033,0.002687657185597345
13,104000,-1.567642518877983,1.3821908140182495,427,0.005478794848586404,1.59,0.0,3.0,0.7004311641678214,187.83,0.08752760187116776,0.0002321569644846022
14,112000,-2.791980682015419,1.3830114531517028,428,0.004387033332050123,1.36,0.0,3.0,0.5934386857971549,180.89,0.07172742760988554,-0.00042611848574779286
15,120000,-2.15694509267807,1.384312471151352,429,0.004714111275479809,0.95,0.0,2.0,0.6518673846498132,165.13,0.08056621414283882,-0.00017567920658621006
16,128000,-2.246229780912399,1.3848979794979095,430,0.005085618675766454,1.08,0.0,3.0,0.6838596054166556,168.54,0.07776490038581332,0.0008604495986219262
17,136000,-1.5725049608945847,1.3857134342193604,432,0.005945777993947559,1.33,0.0,3.0,0.7856903660297394,179.62,0.09471653215074051,8.689816495461854e-06
