rollout_prob_std,grad_norm,explained_variance,P09:episode_rewards,P01:episode_rewards,fps,model_prob_std,avg_q_selected,episode_length,policy_gradient_loss,epoch_idx,PMM:episode_rewards,policy_gradient_bias_correction,q_loss,policy_entropy,frames,policy_loss,avg_q_retraced,advantage_norm
0.03021569103002548,0.01601212634288137,-4.242718887329102,0.0,0.0,509,0.030215692333877088,0.0041563120515396195,0,-0.00020426789688675248,1,0.0,0.0,0.00018857823379221373,2.1574484427769978,7200,-0.00020426789688675248,0.004097374830356178,0.10554450228810311
0.08817344258228937,0.6282777885837341,-5.767522199948629,0.0,0.0,208,0.08817344283064206,-0.021939942132060727,0,-0.00018806701167098556,2,0.0,-3.592934882482949e-10,0.02255236481554069,1.890405495961507,14400,-0.0001880673769240578,-0.020425124497463306,0.5560033428172271
0.023201102918634812,0.005011201039014145,-6.231403311093648,0.0,0.0,251,0.023201103166987497,-0.00018994745769305155,0,9.634637147731458e-05,3,0.0,0.0,5.300718300228861e-05,2.1727081298828126,21600,9.634637147731458e-05,-9.954832779233888e-05,0.05694154140849908
0.01775109947969516,0.003119084513195496,-6.055463743209839,0.0,0.0,289,0.01775109991431236,-0.00016552834258618532,0,2.708170133397895e-05,4,0.0,0.0,2.6439924992397814e-05,2.1849562724431357,28800,2.708170133397895e-05,-0.00015619497001656175,0.0419599444915851
0.0198745117833217,0.0015743640703519033,-5.612709188461304,0.0,0.0,318,0.019874512466291586,-0.001322877756805004,0,-6.483440226171903e-05,5,0.0,0.0,8.175319211053041e-06,2.1821799914042157,36000,-6.483440226171903e-05,-0.0014413850778510096,0.02264237521837155
0.01636567429328958,0.00162869382869957,-5.859409666061401,0.0,0.0,341,0.016365674479554098,-0.0009557869595785936,3324.8333333333335,7.196822286156626e-05,6,0.0,0.0,1.0248747480545717e-05,2.18679826259613,43200,7.196822286156626e-05,-0.000919592556116792,0.027486944881578285
0.02315032702560226,0.001766844814930143,-5.428462123870849,0.0,0.0,361,0.023150327615439892,-0.0018482101091649382,3324.8333333333335,4.891252256129519e-05,7,0.0,0.0,1.0035107012148122e-05,2.171056302388509,50400,4.891252256129519e-05,-0.0017630774527788162,0.019640237931162118
0.042681896748642124,0.0012944556469221677,-5.1382641633351644,0.0,0.0,376,0.042681899418433505,-0.002923683022405991,3324.8333333333335,8.117793049677857e-05,8,0.0,0.0,3.485716577718752e-06,2.1274452527364094,57600,8.117793049677857e-05,-0.0029148811581004943,0.015417011640965938
0.016552389940867822,0.0014106310463899575,-5.02281395594279,0.0,0.0,390,0.016552390499661365,-0.0005849411175101219,3324.8333333333335,-2.8798477463472714e-06,9,0.0,0.0,9.21090527299384e-06,2.1866297245025637,64800,-2.8798477463472714e-06,-0.0005956960880818467,0.025602643129726252
0.01857253002623717,0.001070916515383028,-5.482730960845947,0.0,0.0,403,0.018572530150413512,-0.0012654590409511002,3324.8333333333335,2.0861120234864453e-05,10,0.0,0.0,6.289575670355892e-06,2.1839911301930743,72000,2.0861120234864453e-05,-0.001252057401870843,0.020203276351094247
0.01738893836736679,0.0014004229156775075,-5.107249863942465,0.0,0.0,413,0.01738893842945496,-0.0009461989960982464,3324.8333333333335,0.00014286933602534191,11,0.0,0.0,9.68190740877617e-06,2.185488057136536,79200,0.00014286933602534191,-0.0008091523232603019,0.027893366850912572
0.014556537133951981,0.0009293591468222085,-5.414382600784302,0.0,0.0,422,0.014556537351260583,-0.0006084533328248653,3324.3333333333335,4.597417276575773e-05,12,0.0,0.0,3.4623841618971105e-06,2.1889304717381797,86400,4.597417276575773e-05,-0.0006047891826407673,0.015501336505015692
0.03715950765957435,0.0012898513113339428,-4.948622035980224,0.0,0.0,431,0.037159509894748526,-0.0027924290761196366,3324.3333333333335,6.26337022822554e-05,13,0.0,0.0,3.605392214467429e-06,2.1431814352671306,93600,6.26337022822554e-05,-0.0027774869784479963,0.013696465144554774
0.020465736432621878,0.0007749499579088114,-4.7944772958755495,0.0,0.0,441,0.02046573714663585,-0.0008425865031919481,3324.3333333333335,8.923657924242434e-05,14,0.0,0.0,2.6438879823823905e-06,2.176846973101298,100800,8.923657924242434e-05,-0.0007609273491046527,0.014063425765683254
0.01525539035598437,0.0014354386359386121,-5.280942281087239,0.0,0.0,450,0.015255390635381142,-0.00028282864556482913,3324.3333333333335,2.109117108375358e-05,15,0.0,0.0,1.0472143958395464e-05,2.188092350959778,108000,2.109117108375358e-05,-0.0002628793028407017,0.029155867795149486
0.01761738071218133,0.0008189748108942146,-5.429531272252401,0.0,0.0,459,0.01761738092948993,-0.0010960500153790538,3324.3333333333335,-1.139011628007817e-06,16,0.0,0.0,3.836704926622284e-06,2.185307836532593,115200,-1.139011628007817e-06,-0.0011166942053629707,0.015479588694870473
0.02072088341202794,0.0013197543499950887,-4.634305709799131,0.0,0.0,462,0.018347970655498407,-0.0006862577585141277,3324.027777777778,-3.5067436082967e-05,17,0.0,-1.1371690381957298e-06,8.598832389263102e-06,2.184104647239049,122400,-3.620460515624775e-05,-0.0007775191627701536,0.026528351434196032
0.02714528557209933,0.0009884936098483626,-3.719503424318282,0.0,0.0,457,0.01865452031163165,-0.000982812309339218,3324.027777777778,-1.9504894163162253e-06,18,0.0,-4.2135339502810225e-07,3.5497069277568882e-06,2.183436857606756,129600,-2.3718422172879574e-06,-0.0010115521274858424,0.01717014965096941
