PMM:episode_rewards,advantage_norm,grad_norm,P01:episode_rewards,explained_variance,value_loss,policy_loss,fps,policy_entropy,frames,P09:episode_rewards,epoch_idx,episode_length
1.425,1.9844182520359754,2.293649135616423,0.0,-3.007947858572006,0.05479507095686131,0.00726833121443633,357,1.2831637784838676,8000,3.1000000000000014,1,182.175
1.3132530120481927,1.4249867241084575,0.2952984361171537,0.0,-0.06970420122146606,0.018137100322928746,0.005315577956062043,179,1.3603490912914276,16000,3.0,2,177.79518072289156
1.54,1.2439826272055508,0.2047743896068048,0.0,-0.003002287149429321,0.013781210553534038,-0.0029878158879000694,216,1.3606768584251403,24000,4.1000000000000085,3,188.98
1.56,1.0291500814631582,0.17648880074927253,0.0,-0.06521661579608917,0.011253728268602572,0.00036809594254009424,240,1.3757792806625366,32000,5.0,4,189.03
1.15,1.1769261820986867,0.1778769249670019,0.0,0.024722262024879454,0.012644100817360594,0.0029251059045782312,257,1.3732447946071624,40000,3.0,5,173.37
1.27,1.1710167220979928,0.18055580190157605,0.0,-0.007446299195289612,0.012534121715325454,-0.0012057128953165375,269,1.376921103000641,48000,3.0,6,179.41
1.21,1.1955796612799168,0.20538513119083363,0.0,0.024571112990379333,0.013297595468102372,0.0033144375721167307,278,1.3764198517799378,56000,3.0,7,176.56
1.16,1.1656525389105081,0.2073975914017678,0.0,0.06984515011310577,0.012376152712386101,0.0023902137002187376,284,1.3752841126918793,64000,3.0,8,174.4
1.29,1.1752500784397126,0.21313393795168975,0.0,0.09955518841743469,0.012616902387235314,-4.190341831417754e-05,290,1.371727979183197,72000,3.0,9,179.63
1.3,1.294424942433834,0.3109678898056357,0.0,0.11251880705356598,0.014615908722335006,0.0010621683337376452,295,1.3447020661830902,80000,3.0,10,175.16
1.28,1.6398049753904342,0.5404410978178725,0.0,0.2224958574771881,0.023361318245588337,-0.006203474633512087,300,1.3426045894622802,88000,3.1000000000000085,11,171.62
1.35,1.4450888885557651,0.36017961899415396,0.0,0.3214313280582428,0.016642711392487398,-0.0035275562913739122,303,1.3664610385894775,96000,3.1000000000000085,12,177.28
1.6,1.3266273155808448,0.34027007602334,0.0,0.5586448913812637,0.013181013638386503,-0.004011743270602892,307,1.3601267969608306,104000,4.0,13,187.29
1.46,1.378389085829258,0.42068804412392985,0.0,0.6313191246986389,0.014867364954552613,-0.006720984487910755,310,1.3596795868873597,112000,4.0,14,184.8
1.79,1.372365310192108,0.35984391466879295,0.0,0.7521806961297989,0.013127276512095705,-0.004421486474980156,312,1.3227116358280182,120000,5.0,15,199.42
1.77,1.3583139544725418,0.418255408170618,0.0,0.7543446600437165,0.01447921851184219,-0.003720973386080004,314,1.3443450832366943,128000,4.1000000000000085,16,194.18
1.98,1.3449492537975312,0.3617139948636203,0.0,0.8176261603832244,0.012409015354933217,-0.0004988490527011891,317,1.3212163627147675,136000,5.0,17,204.46
2.39,1.2002608913183213,0.29159764656057147,0.0,0.8973227578401566,0.00996791917597875,-0.004440614949562587,319,1.3230336666107179,144000,5.0,18,219.99
2.01,1.0471933445334434,0.3028629168275707,0.0,0.9008564561605453,0.00827475274563767,-0.0011402468872256577,326,1.343726933002472,152000,5.0,19,205.47
2.1,0.998467201590538,0.24643430995689822,0.0,0.9028508925437927,0.007376651332015172,-0.0019451904235756956,333,1.3344851422309876,160000,5.0,20,210.96
2.38,0.9767497593164444,0.24604114814015074,0.0,0.9258478337526321,0.007185050686821341,-0.0018941532808821647,340,1.3243557548522948,168000,5.1000000000000085,21,221.44
2.47,0.8169716420769692,0.20383926125357774,0.0,0.9409498661756516,0.005267093743314035,0.0003334864381031366,347,1.3310472500324249,176000,6.0,22,224.37
2.34,0.8089387455582618,0.21409169987737936,0.0,0.9462818527221679,0.004889687360264361,-0.0001672231941483915,352,1.3339390468597412,184000,8.0,23,214.16
2.15,0.810913754105568,0.2167701315462086,0.0,0.9559030133485794,0.005037154899328016,-0.0007665602976339869,358,1.3314135491847991,192000,5.0,24,209.16
2.2,0.6845609468221664,0.17888908165799985,0.0,0.9626972693204879,0.0035580001352354886,-0.0013493998169724364,364,1.3436972093582153,200000,5.0,25,211.27
2.2,0.738073291182518,0.18884194637609888,0.0,0.9635831576585769,0.004151552390540019,-0.0002982556531060254,370,1.351578060388565,208000,5.0,26,212.34
2.12,0.7418952855467796,0.18269510657749527,0.0,0.9541398179531098,0.0045593142081634145,-0.0006844887651965337,374,1.3494224953651428,216000,5.0,27,209.16
2.03,0.6661924543976784,0.16747454078587534,0.0,0.9622396659851075,0.0036110735395050142,-7.853777482523583e-05,378,1.3506036770343781,224000,5.0,28,205.68
1.86,0.9188341879844666,0.2328080833683109,0.0,0.9270381665229798,0.0064682926575187595,-0.000927358133267262,377,1.3575694060325623,232000,5.0,29,199.28
1.71,0.6496393623948097,0.15720355238783237,0.0,0.9645474499464035,0.0033960409570136106,-4.8709784168750046e-05,377,1.3424272739887237,240000,5.0,30,193.69
2.09,0.7903048089146614,0.18647077659766292,0.0,0.944152660369873,0.0054989474939065985,-0.001143508022360038,379,1.3633632123470307,248000,6.0,31,205.24
2.28,0.9446423920989037,0.22067753392577014,0.0,0.9184231960773468,0.0070627468422753735,-0.001032724434044212,380,1.3603071808815002,256000,8.0,32,211.24
2.49,0.9691374948620797,0.23025629060700262,0.0,0.9216111904382706,0.007142342593288049,-4.331425647251308e-05,379,1.370254933834076,264000,8.0,33,219.64
2.7,0.8554904459416867,0.19800752718833575,0.0,0.933010522723198,0.00570710028783651,4.726363200461492e-05,375,1.3628319144248962,272000,8.0,34,227.94
2.21,0.7513436561822892,0.18674945388427294,0.0,0.9572355538606644,0.004704679570859298,-0.0016360969003289937,366,1.3510469281673432,280000,6.0,35,211.79
2.06,0.5871428370475769,0.13923657334041123,0.0,0.9724755346775055,0.002977543421147857,-0.0008355339211993851,362,1.3511538982391358,288000,6.0,36,206.21
2.17,0.6215217834711075,0.14544427512171076,0.0,0.9684131735563278,0.0033034777906141245,-9.10347442550119e-05,360,1.355686867237091,296000,6.0,37,210.94
2.2,0.8116167184710502,0.19729642249746582,0.0,0.9457459914684295,0.00534031093120575,-0.0011242927803323255,357,1.352117736339569,304000,6.0,38,210.35
2.36,0.7968743544816971,0.19402336264019662,0.0,0.9415254926681519,0.0055848127961507996,-0.0006906248664017766,355,1.357339938879013,312000,8.100000000000009,39,212.41
2.54,0.8533453622460365,0.18897021502551428,0.0,0.9251745539903641,0.005987562223745044,-0.0015185197872051503,352,1.3515446448326112,320000,9.0,40,217.25
2.57,0.5767542043328285,0.14114316381722644,0.0,0.9739786005020141,0.0027015723544172943,-0.00046599206019891425,350,1.343145843744278,328000,6.200000000000017,41,223.54
2.44,0.7380944548547268,0.18300459857626286,0.0,0.9610592418909073,0.004595872149220668,0.00010137386794667691,348,1.365805526971817,336000,5.1000000000000085,42,219.91
2.14,0.8141173535585403,0.20572573344941536,0.0,0.9437947630882263,0.00495458725374192,-0.0008226743192062714,346,1.3705988371372222,344000,5.0,43,209.76
2.02,0.8498399034142494,0.20930888510724255,0.0,0.9474336874485015,0.005501885582925752,-0.001251553762704134,345,1.3483140516281127,352000,5.0,44,204.39
2.18,1.0676602044701575,0.2773696083485399,0.0,0.9056471526622772,0.008691084395395591,-0.00214321175677469,343,1.3520498740673066,360000,6.0,45,212.27
2.36,1.0690585139393807,0.26992800195878464,0.0,0.9059997946023941,0.008824203856638633,-0.0014448896620888262,341,1.342479201555252,368000,6.0,46,220.11
2.33,0.7437347382307052,0.21792578345658228,0.0,0.9495057713985443,0.004840904803713784,-0.001573075083852018,340,1.355910359621048,376000,5.0,47,217.18
2.16,0.6924176420271396,0.1768537503381905,0.0,0.9613693600893021,0.00397074376931414,-0.0014244309671630616,339,1.3561719393730163,384000,5.1000000000000085,48,210.04
2.17,0.855063662827015,0.2123376478883525,0.0,0.935350615978241,0.00609003577468684,-0.0015731802505615632,337,1.3672585952281953,392000,6.0,49,211.42
1.99,0.9017094838619232,0.21986389336851203,0.0,0.9300413078069687,0.006291173469799105,0.00028883559367386623,336,1.3702168130874635,400000,6.0,50,203.88
1.92,0.787329894900322,0.20129927894182584,0.0,0.9527569347620011,0.004858589701470919,-0.0009707898797933013,335,1.368369815349579,408000,5.1000000000000085,51,203.23
2.04,0.7688026195764541,0.19559869075833153,0.0,0.9529741775989532,0.004664750239462592,-0.0008443884507141774,333,1.3661758148670196,416000,6.0,52,206.71
1.89,0.9181601059436798,0.21257110717181354,0.0,0.9078950297832489,0.006704131703008898,-0.00023128744214773178,332,1.3693727135658265,424000,5.0,53,201.31
1.45,0.9473042371869087,0.2345852634953502,0.0,0.9220992034673691,0.006721678713220171,-0.0014762333850376309,331,1.3655382096767426,432000,4.0,54,186.63
1.92,0.7503403402864933,0.18056102686768408,0.0,0.9616152673959732,0.004210712480125949,-0.00042913537385175004,330,1.3546903729438782,440000,5.0,55,200.34
2.32,0.9821456724405289,0.2385814401176638,0.0,0.9187742722034454,0.0076054527080850675,-0.001000890584255103,328,1.3561645638942719,448000,5.0,56,213.4
2.58,0.8788791021704674,0.22827830688261522,0.0,0.9315385395288467,0.006560616790666245,-0.0027880316105438397,328,1.3535820460319519,456000,7.1000000000000085,57,221.68
2.77,0.8330253469944,0.2123581825362159,0.0,0.9490176349878311,0.005495681450120173,-0.0014067206384788733,326,1.3522718417644501,464000,9.0,58,229.62
2.95,0.6733555269241333,0.16730432000582407,0.0,0.971432991027832,0.0035286179615650324,-0.0001900947914691642,325,1.352462511062622,472000,9.0,59,239.72
3.31,0.9151005846261978,0.22087844825534492,0.0,0.9388454955816269,0.006619399223127403,-0.002204923850367777,325,1.3496561181545257,480000,9.0,60,251.72
3.06,0.8610645106434822,0.21113054954226088,0.0,0.9520714545249939,0.005504322320921347,-0.00017832236888352783,324,1.3609005844593047,488000,8.0,61,243.91
2.72,0.9991522440314293,0.22985859280588333,0.0,0.9172371357679368,0.0072235365986125545,-0.0008057390770409256,323,1.3609016704559327,496000,8.0,62,226.79
2.61,0.9740817975997925,0.23890755603962194,0.0,0.9374614179134368,0.007109465393004939,-0.0014251801937643904,323,1.3617993438243865,504000,7.1000000000000085,63,225.78
2.98,0.871742459833622,0.21270238180627923,0.0,0.9409334099292755,0.005645444615511224,-0.0004705032971105538,323,1.3615625965595246,512000,8.100000000000009,64,235.12
2.42,0.7845413200557232,0.1918093299530873,0.0,0.9546268022060395,0.004651146084361244,0.00013623303122585638,323,1.361574319601059,520000,6.0,65,216.25
2.45,1.0308325862884522,0.2615485689205002,0.0,0.9104335659742355,0.007624525190331042,-0.0026959085193811916,323,1.3466972720623016,528000,5.1000000000000085,66,221.25
2.74,1.027415005862713,0.2694634323391922,0.0,0.9147023719549179,0.007776104713557288,-0.0024102794117061422,322,1.3409722566604614,536000,6.1000000000000085,67,230.85
2.9,1.0324384486675262,0.27643480790357716,0.0,0.9094047635793686,0.007683820951497182,-0.0019443814889382339,322,1.3445386362075806,544000,6.0,68,238.35
2.79,0.8691260799765587,0.21008666366319972,0.0,0.949764461517334,0.0057070625672349705,-0.0006592870398890227,321,1.3540867269039154,552000,5.1000000000000085,69,232.55
2.61,1.0710985997319222,0.25313581672666907,0.0,0.9037985891103745,0.008293465646565891,-0.00011692013125866652,321,1.3520194137096404,560000,5.300000000000026,70,225.35
2.92,1.1269895678758621,0.29653380377156857,0.0,0.8920437282323838,0.009522684946423396,-0.0013226794201182202,321,1.3542846858501434,568000,8.100000000000009,71,234.52
2.97,1.0968663093447686,0.2867350882399217,0.0,0.9025490409135819,0.008775963757652789,-0.0033271427056752144,321,1.355241470336914,576000,9.0,72,237.01
3.08,1.0109980270266532,0.25757108853549004,0.0,0.9226848924160004,0.0071615149884019045,-0.0019187719421461225,321,1.3416951847076417,584000,8.100000000000009,73,244.85
3.01,1.0154460263252258,0.2742920511896216,0.0,0.9208196443319321,0.007517601806321181,-0.00194830353197176,321,1.3448267447948457,592000,9.0,74,242.22
2.93,1.1662325882911682,0.32004215343346554,0.0,0.8835850381851196,0.010263411466730758,0.000997543007833883,321,1.344811885356903,600000,8.100000000000009,75,235.38
3.02,1.1194618988037108,0.3270733514532481,0.0,0.9213689303398133,0.008689855743432418,-0.0063636903610313315,321,1.332446401119232,608000,9.0,76,237.2
3.36,1.107377296090126,0.2745332320545557,0.0,0.9080192345380783,0.008642808215226979,-6.635883037233725e-05,320,1.3275426745414733,616000,9.0,77,249.16
3.76,1.3772788065671921,0.35012671990194827,1.0,0.8459688794612884,0.013388959595467896,-0.003829372334294021,320,1.3313631629943847,624000,10.0,78,266.29
3.84,1.2832761257886887,0.3338208823421032,1.0,0.8888458830118179,0.010987168734427542,-0.002340355827473104,320,1.3128262996673583,632000,10.0,79,264.0
3.79,1.2000681710243226,0.28734264379160673,1.0,0.8963889068365097,0.00998394678812474,-0.0016271318827057258,320,1.3203471505641937,640000,9.100000000000009,80,260.83
3.67,1.207792128920555,0.32124202752057157,1.0,0.8745250153541565,0.010369170429185033,-0.0011023572436533867,320,1.3136243844032287,648000,9.0,81,255.82
