policy_entropy,value_loss,PMM:episode_rewards,clip_fraction,explained_variance,fps,P01:episode_rewards,advantage_norm,approx_kl_divergence,frames,epoch_idx,P09:episode_rewards,policy_loss,grad_norm,episode_length
0.4616342151130349,1360165.643454459,11.764705882352942,0.3811279296875,-12.7353880494833,474,0.0,15.96869158744812,1250.3993497440308,10240,1,50.0,0.05226210476625966,3958285.883235682,528.9411764705883
1.7474196642637252,0.008434543154362473,98.46938775510205,0.389306640625,-4.8428773880004884e-09,362,0.0,15.968716996908189,0.007861472839977068,20480,2,230.00000000000043,-0.00040362690851907245,0.10202920983892949,391.265306122449
1.7627503097057342,0.009869503957452253,150.6024096385542,0.2466552734375,-2.6822090148925782e-08,405,0.0,15.968717670440673,0.0036043506412283934,30720,3,439.9999999999999,-0.0017633967283472885,0.05582830234537136,372.30120481927713
1.756101594120264,0.008053608750537932,165.25,0.2516845703125,1.825392246246338e-08,425,25.0,15.968717360496521,0.0032281729206886213,40960,4,402.5000000000002,-0.0018821999987267191,0.053216588604702145,343.9
1.7807704225182532,0.008299999486189336,166.0,0.2194580078125,-1.899898052215576e-08,445,47.50000000000001,15.968717765808105,0.0029353248611641903,51200,5,350.0,-0.001211614877684042,0.053182331051823725,335.56
1.7787403367459773,0.007889512509927954,141.25,0.2697021484375,-1.6763806343078613e-08,461,25.0,15.968717181682587,0.0034327507384432467,61440,6,250.0,-0.0017214562576555181,0.05436325384473313,329.54
1.7691295981407165,0.0103175384361748,151.5,0.2571044921875,3.725290298461914e-09,470,47.50000000000001,15.968717461824417,0.0035174516467463947,71680,7,275.0,-0.001708519159728894,0.053079972399115126,324.54
1.7796824797987938,0.008607499588833889,164.0,0.1673095703125,-1.9744038581848144e-08,476,50.0,15.968717712163926,0.002398040613240937,81920,8,300.0,-0.0008454931179585401,0.05095196513757476,328.66
1.7834133870899678,0.007478827704471769,166.0,0.3142578125,5.215406417846679e-09,482,25.0,15.96871691942215,0.004150478146181058,92160,9,310.00000000000085,-0.0024333448465768013,0.05031952438762608,330.09
1.780455956608057,0.008918137122782355,162.0,0.249365234375,4.097819328308106e-09,487,25.0,15.968717694282532,0.0034647408898536014,102400,10,402.5000000000002,-0.0017040005335729803,0.05129723506086529,331.55
1.7743889786303044,0.010211055113381917,174.0,0.2288818359375,3.7252902984619143e-10,490,25.0,15.968717086315156,0.0031369919520784608,112640,11,400.0,-0.001664443386835046,0.05432382780731628,337.92
1.777965509146452,0.008028554958650602,170.5,0.2411376953125,-1.1548399925231934e-08,491,25.0,15.968717175722123,0.0036042176166461103,122880,12,350.0,-0.00202160404442111,0.052988909246347804,335.96
1.7775887377560138,0.011882112310559023,176.5,0.2111572265625,-7.450580596923829e-10,496,25.0,15.968717783689499,0.0027674827474129414,133120,13,325.0,-0.001546657625658554,0.05573528343601706,336.12
1.7824781447649003,0.010078997677192092,174.25,0.259375,6.7055225372314455e-09,499,25.0,15.968717861175538,0.0031980413963594856,143360,14,325.0,-0.001701666501321597,0.05450451902046207,335.22
1.7745758913457395,0.009474604139859366,199.75,0.2259521484375,-1.4528632164001465e-08,503,50.0,15.968717235326768,0.0032140153048089816,153600,15,327.5000000000002,-0.001883931422707974,0.05387275009152198,348.35
1.782154906541109,0.010906902137503494,201.0,0.2357177734375,-1.2665987014770507e-08,503,25.0,15.968717920780183,0.003321128018399122,163840,16,375.0,-0.0016683898127666907,0.05617127190358765,348.19
1.782968807220459,0.008751408793614246,184.25,0.2050048828125,-7.450580596923829e-10,506,25.0,15.968717205524445,0.0026727457956212675,174080,17,325.0,-0.0012778617616277187,0.0546001558316624,344.05
1.7783408127725124,0.008306165037583923,175.25,0.1587158203125,-1.862645149230957e-08,508,25.0,15.96871771812439,0.0022702604361370506,184320,18,325.0,-0.0011117001435195562,0.05058059171800076,340.28
1.7686139918863772,0.0119087003331515,174.75,0.202734375,-8.568167686462402e-09,510,47.50000000000001,15.968717789649963,0.0026880940656837994,194560,19,327.5000000000002,-0.0014697149716084823,0.0587176293839576,337.73
1.7708411008119582,0.012705170489789452,192.25,0.214111328125,3.3527612686157227e-09,512,50.0,15.96871750354767,0.0028088449710537587,204800,20,377.5000000000002,-0.0014420217128645163,0.057338260207396116,340.49
1.7643463119864464,0.012455894028244074,237.0,0.1749755859375,-6.7055225372314455e-09,511,75.0,15.96871775984764,0.002527038853270369,215040,21,475.0,-0.0012122157164412783,0.05418631449497915,351.35
1.763962706923485,0.010639015626111359,243.5,0.2367919921875,-1.30385160446167e-08,514,75.0,15.968717902898788,0.002866904522824143,225280,22,480.00000000000045,-0.0015304920681955992,0.054412497652370904,353.99
1.7688428848981856,0.008497234461492554,224.75,0.246826171875,1.862645149230957e-08,515,50.0,15.968717539310456,0.0029900395655204194,235520,23,475.0,-0.002068059050361626,0.05303352557502712,348.92
1.761602519452572,0.006589699188264309,164.5,0.2765380859375,-1.564621925354004e-08,517,25.0,15.968709510564803,0.0036077062520575966,245760,24,302.5000000000002,-0.0018030516224825988,0.05187354760505285,332.11
1.781260507553816,0.010310984750231001,159.75,0.3023193359375,1.2293457984924316e-08,517,25.0,15.96871770620346,0.003739231980398472,256000,25,275.0,-0.0024893615976907314,0.05461708262788369,330.12
1.783022739738226,0.009421581684728153,153.25,0.1976318359375,7.82310962677002e-09,519,25.0,15.968717789649963,0.002506673394248082,266240,26,275.0,-0.0011295342108496697,0.054565629206127605,326.65
