epoch_idx,value_loss,P01:episode_rewards,advantage_norm,frames,episode_length,policy_loss,policy_entropy,fps,grad_norm,P09:episode_rewards,PMM:episode_rewards,explained_variance
27,0.003786403497942956,0.0,0.6310415342450142,216000,177.73,0.0007832982742183958,1.3838533890247344,437,0.12002047066648547,3.1000000000000085,1.31,-2.8804304218292236
28,0.003459279584676551,0.0,0.6061039503663779,224000,177.92,0.0005273856755229644,1.3828769540786743,437,0.09800169132580366,4.0,1.24,-2.18565149307251
29,0.003970328600771609,0.0,0.6707533152401447,232000,186.21,0.0003389362432062626,1.3835399401187898,437,0.11264135551922293,4.0,1.48,-2.089017199873924
30,0.0034467011517881475,0.0,0.5794920715689659,240000,188.01,-0.0008789629221428185,1.3817341947555541,436,0.13197637717035254,4.0,1.56,-3.413521689772606
31,0.0036467939053545706,0.0,0.6131029846519231,248000,190.97,0.00029552106891060246,1.3823530316352843,436,0.10467967026710001,4.0,1.6,-2.2482883059978485
32,0.00325880638032686,0.0,0.5921241321414709,256000,207.7,0.00015924041843391024,1.3828227460384368,437,0.08514336651674215,5.0,1.98,-8.123020123839378
33,0.0034287832693007656,0.0,0.5877088404446841,264000,199.44,-0.002456673546184902,1.3773612082004547,438,0.11568150574113474,4.0,1.73,-1.9132231158018111
34,0.002240987044369831,0.0,0.4525370082259178,272000,188.01,-0.0004471407960954821,1.3764057636260987,439,0.07295171666561816,4.0,1.42,-3.9983067327737807
35,0.004330842285071412,0.0,0.554858281724155,280000,176.82,0.004830977885430912,1.380272045135498,440,0.1957877557960069,3.0,1.2,-2.1261026632785796
36,0.0022794473395333623,0.0,0.43934935219585897,288000,170.53,-0.0011941215067054144,1.384869784116745,441,0.08820976936670503,3.0,1.11,-4.285931802988053
37,0.002135173987426242,0.0,0.4544280019775033,296000,163.51,0.0009146080560094561,1.383954564332962,442,0.07389056042195521,3.0,0.94,-2.3614249563217165
38,0.002877123075486452,0.0,0.5469390297681094,304000,177.37,-0.0006154683529166504,1.3820675420761108,443,0.0797979598234413,3.1000000000000085,1.25,-1.073027992248535
39,0.0031254089856156495,0.0,0.5660966050997377,312000,183.09,-0.0009399802262123558,1.3804468286037446,444,0.11197769622532336,3.1000000000000085,1.39,-9.538881655335427
40,0.0023918660427261784,0.0,0.48774957392364743,320000,171.91,-0.0002038896840531379,1.3804908776283265,445,0.07835753584007522,3.0,1.11,-11.636784445643425
41,0.0033993839837603446,0.0,0.5839680831506848,328000,181.34,0.0010175181797239929,1.380121397972107,446,0.07976729076428764,3.0,1.39,-3.921474046707153
42,0.0025096950213628587,0.0,0.48623145136982204,336000,190.18,-0.00036782476636290087,1.3826112616062165,447,0.07965521666646155,4.0,1.65,-2.25346464574337
43,0.0031524884738519175,0.0,0.5417359605059028,344000,196.81,-0.00015769886260386557,1.3850635528564452,448,0.07382745401593024,4.0,1.78,-31.148834626078607
44,0.0018987996208670666,0.0,0.41654024802148343,352000,185.32,0.0002822617589845322,1.3841228795051574,449,0.05979651186951643,4.0,1.47,-2.6675837713479997
45,0.0025754298231095165,0.0,0.5091102032363415,360000,191.36,-0.0005996262138069141,1.384135057926178,450,0.0736105734313063,4.0,1.54,-1.0574874019622802
46,0.0027849017000335153,0.0,0.5100575745850802,368000,201.23,0.0002463084948249161,1.3853778529167176,450,0.06825201153927059,5.0,1.88,-2.844644805788994
47,0.002187277009288664,0.0,0.43649786073714497,376000,192.62,5.794845277705463e-05,1.3857435417175292,451,0.06585565782827794,4.0,1.67,-3.0733876448869704
48,0.0021125341412880517,0.0,0.4389740316197276,384000,186.75,2.873291965443059e-05,1.3855176877975464,452,0.07207096997557992,4.0,1.51,-1.8478478974103927
49,0.001543397997802458,0.0,0.37469986870884897,392000,178.51,5.9676475793821736e-05,1.3853618836402892,452,0.05845792094602635,3.0,1.3,-1.993934196829796
50,0.0023331527294976695,0.0,0.4761166366189718,400000,178.76,0.00010187606269028037,1.3849024665355683,452,0.06602321292625471,3.0,1.28,-3.281657484173775
51,0.0022123171795465166,0.0,0.4598820586130023,408000,183.42,0.00020491420887992719,1.3846011388301849,453,0.06916991649811524,3.0,1.38,-2.9478719633817674
52,0.002000612219926552,0.0,0.4359354655817151,416000,183.09,6.03603657509666e-06,1.3836029970645904,454,0.06880679845958873,3.0,1.36,-1.092654179930687
53,0.0024301056341209915,0.0,0.49951200518757105,424000,188.64,9.1549154230961e-05,1.383881185054779,454,0.07550813111338292,4.0,1.53,-2.5577577531337736
54,0.0013905236659138608,0.0,0.34539047207683327,432000,183.47,6.891559372888878e-05,1.38451189994812,455,0.046584311183777434,4.0,1.41,-3.7367399203777314
55,0.0017909679200329264,0.0,0.3950151025131345,440000,181.86,-3.739365056389943e-05,1.3854183316230775,456,0.058578519048663874,3.1000000000000085,1.36,-2.000743678212166
56,0.0017558622698015825,0.0,0.3968501603230834,448000,178.37,8.38164863307611e-05,1.3851029443740845,456,0.06604134990463724,3.0,1.27,-1.7427807199954986
57,0.001732726008985992,0.0,0.3838982009515166,456000,181.33,-0.00026929524597107957,1.3853658425807953,457,0.055759940570074565,3.0,1.34,-2.640927944779396
