PMM:episode_rewards,policy_entropy,P09:episode_rewards,value_loss,grad_norm,policy_loss,fps,frames,advantage_norm,explained_variance,P01:episode_rewards,epoch_idx,episode_length
1.4166666666666667,1.3292879366874695,3.0,0.028903512851211417,1.3268691305943698,0.004349890223820694,524,8000,1.792301470413804,-1.2242791199684142,0.0,1,180.36111111111111
1.8375,1.3761233711242675,4.0,0.017151470065891773,0.2911074381793437,0.00651233505239361,314,16000,1.3771444341167807,-0.03893236219882965,0.0,2,195.75
1.85,1.3810594058036805,5.0,0.015726302021794255,0.2485092433961381,-0.00043602773308521137,354,24000,1.3449033096060157,-0.0208295476436615,0.0,3,198.29
1.56,1.3832787704467773,4.0,0.014961415366233268,0.23925007658488487,0.0010615584556944667,380,32000,1.331610750630498,0.03306827962398529,0.0,4,188.45
1.77,1.3811726331710816,4.1000000000000085,0.016485715046073893,0.34763403596131714,0.0019339117969502694,397,40000,1.333105658441782,-0.001584736704826355,0.0,5,197.79
1.36,1.381125535964966,4.0,0.01177197575529135,0.26778854517826456,0.002060931957385037,408,48000,1.1411781940609216,0.036691718101501465,0.0,6,182.44
1.49,1.371698306798935,4.0,0.019982361097790998,0.44028572386677484,-0.0018299865409790073,416,56000,1.5839222724735738,0.3064593583345413,0.0,7,186.21
1.85,1.3612108397483826,5.0,0.016260417386656626,0.37586479802447575,-0.004416551587637514,422,64000,1.4470362901687621,0.5518874078989029,0.0,8,200.26
1.91,1.372918988466263,5.0,0.01688833089036052,0.45540332223102803,-0.0035352589641115626,426,72000,1.4539685679972172,0.2597198408842087,0.0,9,199.9
1.57,1.3782380640506744,3.1000000000000085,0.010385640843596776,0.3090244549902973,-0.0024269000403000975,431,80000,1.1504998545348644,0.4923715144395828,0.0,10,183.13
1.28,1.3814787399768829,3.0,0.012330883217509836,0.36088928915835017,-0.003923546904698014,435,88000,1.2346712949872016,0.546482498049736,0.0,11,175.77
1.41,1.369011459350586,4.0,0.014962258603191003,0.4444846849174041,-0.002241569109464763,439,96000,1.430991340279579,0.7308140373229981,0.0,12,184.49
1.74,1.3486327695846558,5.0,0.011835771903861314,0.4230545269741875,-0.006438487318227999,443,104000,1.2765041163563728,0.7978958690166473,0.0,13,196.81
1.83,1.33959299325943,5.0,0.009402589978417381,0.3813551098671766,-0.005783842987038951,444,112000,1.1432955285906792,0.8758218067884446,0.0,14,197.64
2.02,1.3556279182434081,6.0,0.00982777327822987,0.3256190961341065,-0.0016271447413600982,446,120000,1.161552064716816,0.8507439768314362,0.0,15,203.12
1.95,1.3358000111579895,5.0,0.00776445392286405,0.38439372423608176,-0.00466012629418401,449,128000,1.01787343993783,0.9208306860923767,0.0,16,204.13
1.7,1.3293131875991822,5.0,0.007543584277154878,0.26778859299595564,-0.00029238965857075527,450,136000,0.996356631219387,0.9053432881832123,0.0,17,195.17
1.74,1.329354909658432,5.0,0.003724954496137798,0.2071438937786226,0.00040552183316322043,452,144000,0.7092361277341843,0.9607869553565979,0.0,18,194.95
1.86,1.3511995208263397,5.0,0.0049274829910427795,0.23542651705232395,-0.0004886521802109201,454,152000,0.7884688878059387,0.9496480530500412,0.0,19,195.53
1.65,1.343462997674942,5.0,0.005642849792493508,0.23598843640269584,-0.0006270630966537283,456,160000,0.8418218609690666,0.9436625951528549,0.0,20,187.89
2.05,1.340471589565277,5.0,0.005020623455347959,0.24933264312839415,-0.0011812718650617172,458,168000,0.7916785329580307,0.9576243078708648,0.0,21,206.91
2.01,1.3462732207775117,5.0,0.005824313993216492,0.2391034191481428,-0.0017403895760071464,459,176000,0.8612236633896828,0.934980576634407,0.0,22,205.81
2.33,1.329773347377777,7.1000000000000085,0.0039004924235632645,0.19634882970387277,-0.000630899392253923,460,184000,0.6944884984195232,0.9661132627725602,0.0,23,214.84
2.45,1.3224607801437378,9.0,0.0028437882936850657,0.14918254283847818,-0.0014434272583457642,461,192000,0.5916375568509102,0.9720181101560592,0.0,24,215.54
2.42,1.3353036868572234,9.0,0.004747358850727324,0.21731585906254772,-0.0006234401266556233,462,200000,0.7862896445393562,0.9444343411922455,0.0,25,215.1
1.8,1.34879469871521,6.1000000000000085,0.0033555255451938135,0.163632148971918,-0.0003336123444751138,464,208000,0.61653993755579,0.958386093378067,0.0,26,193.12
1.8,1.349689531326294,5.1000000000000085,0.0038170369435101747,0.1902532262847716,-0.0014466172808170086,466,216000,0.663910440504551,0.9705983763933181,0.0,27,195.83
2.0,1.3356073880195618,5.1000000000000085,0.004191796384111513,0.18476743770474857,-0.0016057260413072072,468,224000,0.701369260251522,0.9542095893621445,0.0,28,200.48
2.12,1.3316846263408662,6.0,0.003459002344752662,0.16322993332270191,-0.0010763205477269367,469,232000,0.6230038724839687,0.9671186113357544,0.0,29,204.12
1.92,1.3302068054676055,6.0,0.003363249932153849,0.16256530193731322,-0.0011402528558392077,470,240000,0.6027940119802951,0.967174289226532,0.0,30,199.99
