P01:episode_rewards,value_loss,grad_norm,advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,fps,P09:episode_rewards,policy_entropy,frames,episode_length,epoch_idx
0.0,0.053021847084964976,1.4309276948557306,1.6310766326636077,0.016005816136021166,0.9782608695652174,-12.269345008730888,343,2.5,1.350012354850769,8000,164.97826086956522,1
0.0,0.013974863264666055,0.27530976084198366,1.2539881036430598,-0.0016924250442389166,1.105263157894737,-0.05123422861099243,170,3.0,1.3478025579452515,16000,169.98947368421054,2
0.0,0.011997581331961556,0.21839425519142058,1.1164077568799258,0.0015906864528369624,1.2,-0.01296556830406189,204,3.0,1.3729421746730806,24000,173.81,3
0.0,0.013864557011183934,0.24860582332438483,1.2470970050990582,0.00014771680405829102,1.26,0.012784768342971802,229,3.0,1.3638647019863128,32000,176.61,4
0.0,0.016226795923357712,0.3286385617044498,1.3640283580124377,0.003041009732260136,1.49,0.09145450592041016,247,4.0,1.3632299959659577,40000,186.07,5
0.0,0.017028751550533343,0.3799410836486217,1.3481548410654067,-0.002044710417976603,1.65,0.35746651589870454,262,5.0,1.3654033362865448,48000,189.78,6
0.0,0.012938915131962858,0.3349024729491342,1.2757422249019146,-0.001911296914331615,1.69,0.4724698930978775,273,5.0,1.3643159615993499,56000,189.42,7
0.0,0.013160236651892775,0.36628994241575585,1.3224851095676422,-0.0008374633733183145,1.57,0.5957229900360107,282,4.0,1.3570988976955414,64000,186.45,8
0.0,0.019395823258673773,0.5249682964183708,1.621194565296173,-0.01038115365721751,1.9,0.7316541010141373,289,5.0,1.3680015707015991,72000,201.95,9
0.0,0.01181265887862537,0.3764521551408204,1.2500784340500832,-0.000447079002042301,1.82,0.700073207616806,296,5.0,1.3736775171756745,80000,199.1,10
0.0,0.008708520923682954,0.3318675203984929,1.059425627887249,-0.00200457570143044,1.21,0.7584109765291214,303,3.1000000000000085,1.3540855062007904,88000,176.26,11
0.0,0.010687400327296927,0.39406950365120175,1.2182031401991844,-0.004017303235013969,1.03,0.8522746342420578,308,3.0,1.3475468289852142,96000,169.15,12
0.0,0.0074518198252189905,0.3305439761862912,1.0207887610793114,-0.00044893556856550275,1.57,0.9118371373414993,312,5.0,1.3504723966121674,104000,189.35,13
0.0,0.009396378248929978,0.3309005362251163,1.1491603714227676,-0.0009556085738586261,2.09,0.8914912629127503,316,6.200000000000017,1.358780139684677,112000,206.31,14
0.0,0.00755217706260737,0.29020380467819984,1.008733385503292,-0.001577469990006648,2.04,0.9209463775157929,320,6.0,1.358115371465683,120000,205.38,15
0.0,0.012190929159987717,0.3972836466431266,1.151005920767784,-0.0028094530245289205,2.33,0.8832417529821396,322,6.200000000000017,1.3623598659038543,128000,214.87,16
0.0,0.007372033151332289,0.27314024676175924,0.9845110753178596,-0.000797607118729502,1.98,0.9013808065652847,325,5.0,1.3350298357009889,136000,203.84,17
0.0,0.0038508304097922517,0.2032452933544007,0.7263432092964649,-0.00012647401948925107,1.94,0.959364555478096,327,5.0,1.3333864200115204,144000,202.9,18
0.0,0.00490494049852714,0.22178504592436202,0.7770923191308975,-0.0012679479320358666,2.0,0.9571047413349152,332,5.0,1.3403497517108918,152000,203.2,19
0.0,0.0034899720150860956,0.18700873071775156,0.6706124103069305,-0.00032358959841076283,2.28,0.9647038900852203,338,5.0,1.340470654964447,160000,215.23,20
0.0,0.00653093708329834,0.26528116512045036,0.9208440461754799,-0.0014103988197166472,2.46,0.9302905309200287,343,6.0,1.339416072368622,168000,221.03,21
0.0,0.0051199617242673415,0.21891340163672196,0.8203663814067841,-0.0027080755318456794,2.61,0.9559040719270706,350,5.1000000000000085,1.3150819110870362,176000,228.39,22
0.0,0.0018062327813822775,0.13594244788189097,0.490399030148983,-0.0006255711843550671,2.25,0.9844841229915618,357,5.0,1.3235661268234253,184000,214.88,23
0.0,0.004086742194776889,0.18930798542818486,0.6658683809638023,-0.0018052677129162475,2.21,0.9373595994710923,364,5.0,1.329795731306076,192000,212.73,24
0.0,0.0036266436087316833,0.19155919963789794,0.6632453188300133,-0.001024827287910739,2.1,0.9586559838056564,369,6.0,1.34388298869133,200000,206.58,25
0.0,0.0045139963162364434,0.1937073964057242,0.7305072405934334,-0.0008202714717481285,2.12,0.9529818660020828,375,9.0,1.3326805448532104,208000,204.54,26
0.0,0.00373345025756862,0.17786683742727477,0.6878879280388355,-0.0015067191439447924,2.34,0.961879568696022,381,6.300000000000026,1.3289190530776978,216000,215.05,27
0.0,0.002673113509081304,0.15185250206115178,0.5538870671391487,-0.0007204863148945151,1.84,0.9716142112016678,387,5.0,1.332870501279831,224000,199.41,28
0.0,0.002740153399063274,0.15438674549379253,0.5588718751072883,-0.002290457292983774,1.74,0.9751906067132949,394,5.0,1.3179665315151214,232000,195.24,29
0.0,0.004301139599701856,0.20529868514950791,0.7261527988314629,-0.0014834541708933103,1.81,0.9609959542751312,399,5.0,1.3239521944522858,240000,200.16,30
0.0,0.0028044968894391786,0.13486653739503296,0.550720154941082,-6.993116594458115e-05,1.91,0.939824002981186,398,5.0,1.3406675696372985,248000,202.24,31
0.0,0.005520352172898129,0.21350454340217584,0.8118915420770645,-0.00018160684072427103,1.74,0.9407722854614258,401,5.0,1.350516015291214,256000,192.48,32
0.0,0.007631868286407553,0.2575412194572998,0.932211098074913,-0.001375244207738433,1.69,0.8845728164911271,407,5.0,1.3288350117206573,264000,192.1,33
0.0,0.003364684124535415,0.16224746744593915,0.6605752424895763,-1.0980203915096354e-05,2.2,0.9677469021081925,411,5.0,1.3396007752418517,272000,212.42,34
