fps,epoch_idx,grad_norm,advantage_norm,frames,policy_loss,value_loss,explained_variance,P01:episode_rewards,P09:episode_rewards,policy_entropy,PMM:episode_rewards,episode_length
386,1,2.6365868016120175,2.0595330602675674,8000,-0.004584960672073066,0.08012293882247831,-1.3854512447118759,0.0,4.399999999999999,1.312085482031107,1.4324324324324325,187.35135135135135
201,2,0.32182157030100533,1.4843465831503273,16000,0.00330055896891281,0.018689243723511027,0.09893852770328522,0.0,5.0,1.3386858713626861,1.75,197.46052631578948
260,3,0.4713818556714364,1.7039605744183064,24000,0.0031818973188637756,0.0237616163038183,0.15257429003715514,0.0,5.1000000000000085,1.3188022029399873,2.36,221.84
294,4,0.36019033724099786,1.349527498781681,32000,0.0023465002232114784,0.015691405925754225,0.3229105645418167,0.0,5.1000000000000085,1.354776268005371,2.38,220.58
324,5,0.3772159870899894,1.2788916353136301,40000,-0.000934485612960998,0.01360666364809731,0.45065218448638916,0.0,4.0,1.36095188498497,1.62,191.78
346,6,0.43771121997793616,1.4207145443558693,48000,-0.003928155050089117,0.015433530057198368,0.6845073157548904,0.0,5.0,1.3337166798114777,1.68,195.61
365,7,0.6569194005517738,1.6372519212961196,56000,-0.00294892993173562,0.02518331171013415,0.6825863164663315,0.0,6.0,1.3147512558102608,2.29,217.05
381,8,0.42611889230538147,1.3778803914785385,64000,-0.0035589429643005134,0.01380202809232287,0.7904968214035034,0.0,7.1000000000000085,1.340535156726837,2.65,229.37
394,9,0.3827290391571476,1.2904897153377533,72000,0.001351750767789781,0.012245019129477442,0.8430649733543396,0.0,9.0,1.3568029928207397,2.55,220.2
403,10,0.3775714825076696,1.2244270968437194,80000,-0.0011901231128831568,0.010728126193862408,0.8636445194482804,0.0,8.100000000000009,1.347115217447281,2.37,214.68
413,11,0.37242790746274307,1.1716710144281388,88000,-0.0021437009291548747,0.01082247678306885,0.8596682494878769,0.0,9.0,1.3263188195228577,2.66,223.79
420,12,0.26705036223249623,0.8758120545744896,96000,-0.00013801194203551858,0.005441267986316234,0.9365570825338364,0.0,8.100000000000009,1.328837172985077,2.51,218.78
428,13,0.2740233281155332,0.8861486223340035,104000,-0.00034982746990863233,0.005888252279837616,0.9291010415554046,0.0,5.0,1.3355457055568696,2.05,203.91
434,14,0.25556974444208325,0.8754097276926041,112000,-0.0002617351640947163,0.0056946030841209,0.9305652981996536,0.0,5.0,1.34930539727211,1.83,200.25
440,15,0.2167848979531851,0.7873395435512066,120000,0.0007461065674942802,0.004950926377787255,0.9419491618871689,0.0,5.0,1.3443371975421905,1.9,200.4
445,16,0.3087037947006747,1.0623632940649985,128000,-5.5314261189778335e-05,0.008548349916818552,0.903318589925766,0.0,9.0,1.3541162168979646,2.63,226.72
449,17,0.2129505620579752,0.7023370055854321,136000,-0.0019880578957963734,0.0040263346067513335,0.9581200116872788,0.0,9.0,1.3371803069114685,2.41,216.67
453,18,0.17387239058131534,0.6077180097997189,144000,0.000187524526809284,0.002875582223496167,0.9723949670791626,0.0,5.0,1.3404835033416749,1.75,195.8
457,19,0.17739032948016198,0.6136261641979217,152000,-0.0008522905627614819,0.0033419641421642155,0.928854011297226,0.0,5.0,1.3487043857574463,1.67,193.8
461,20,0.2031243485894257,0.7221809148788452,160000,-0.0004077231053088326,0.004290081828366965,0.9468215888738633,0.0,5.0,1.3339532339572906,1.89,199.86
463,21,0.21595842731132264,0.7287861919403076,168000,-0.0015609802541439422,0.004360250927275047,0.9593686854839325,0.0,6.0,1.3534733188152313,2.19,209.67
467,22,0.21780006918312414,0.8219198128581047,176000,0.0006014255993068218,0.005664443500572816,0.9498181056976318,0.0,9.0,1.350848627090454,2.7,225.41
469,23,0.2681225946349822,0.9473229138553143,184000,-0.00040148780564777556,0.007470784625329543,0.9064244323968887,0.0,9.0,1.3649870955944061,2.83,232.77
471,24,0.20302655524836719,0.7760941976308823,192000,-0.0019526370566200057,0.004979963450168725,0.9546627688407898,0.0,9.0,1.3437837970256805,2.94,232.07
