fps,explained_variance,policy_entropy,PMM:episode_rewards,advantage_norm,grad_norm,frames,value_loss,P09:episode_rewards,epoch_idx,P01:episode_rewards,episode_length,policy_loss
343,-3.883563153743744,1.3256962651014328,1.0952380952380953,1.8744604011625052,2.1185265992040923,8000,0.06015817743777006,2.8999999999999986,1,0.0,171.61904761904762,-0.01578276095329784
172,0.043278881907463075,1.3824706995487213,1.074468085106383,1.0608464851230384,0.20146037797365945,16000,0.011602624603947334,2.700000000000003,2,0.0,170.67021276595744,0.0019895826858555665
207,3.0021071434020997e-05,1.379465675354004,1.19,1.2544863901659846,0.34207911690442877,24000,0.016583231011099996,3.0,3,0.0,175.93,0.0041075625800294805
232,0.05978699088096619,1.3831703972816467,1.28,1.1838587401807308,0.24520573606219032,32000,0.012470289531120216,3.0,4,0.0,180.01,0.0018183178617618978
251,0.11353607535362244,1.3821489453315734,1.39,1.28935447499156,0.2479521241196834,40000,0.014883268493831566,3.1000000000000085,5,0.0,183.56,0.002745687434216961
265,0.15711410582065582,1.3789907169342042,1.46,1.2041923865675925,0.24455717347048725,48000,0.012380283030652209,4.0,6,0.0,186.0,0.0006581954291323199
276,0.3202644675970078,1.3638939356803894,1.44,1.3985629065334797,0.41260951295035947,56000,0.015975816330756062,4.0,7,0.0,185.45,-0.002054543410486076
286,0.5574727606773376,1.3642454481124877,1.65,1.4721884694695473,0.4315361499881892,64000,0.016979989241808654,4.0,8,0.0,194.24,-0.0026991520724550357
293,0.4536564189195633,1.3710897982120513,1.69,1.341159600019455,0.3577112064576482,72000,0.015583405109937302,4.0,9,0.0,195.96,-0.0015057983358565251
299,0.579668864607811,1.3829750096797944,1.46,1.2685332363843917,0.3561573878369579,80000,0.01227612072689226,4.0,10,0.0,185.32,-0.0027790786692639814
305,0.6077642941474914,1.370307869911194,1.45,1.373325275182724,0.4197478800085173,88000,0.015125958552234807,4.0,11,0.0,184.45,-0.000596223782922607
309,0.7156020885705948,1.3757766115665435,1.48,1.1912104257941245,0.35671591413196646,96000,0.011041212995769456,4.0,12,0.0,188.26,-0.0015773621130938408
313,0.7277870947122573,1.3820445954799652,1.52,1.2979276138544082,0.3825059077003061,104000,0.012164395313011483,4.0,13,0.0,189.07,9.040200267918408e-05
317,0.7351150131225586,1.3732043159008027,1.44,1.1317512702941894,0.3498052746028978,112000,0.010031800779106561,4.0,14,0.0,185.61,-0.003015723155112937
320,0.8376349359750748,1.372177768945694,1.58,1.3050767177343368,0.3970765342605162,120000,0.01216161448508501,5.0,15,0.0,191.93,-0.0028895806064247152
323,0.8788622111082077,1.3581225419044494,2.05,1.1261404371261596,0.3073569923889066,128000,0.009114347083959728,6.0,16,0.0,206.1,-0.003015054483548738
326,0.9159278517961502,1.3423988330364227,2.25,1.0146932724118232,0.29266443447589896,136000,0.007442411318188533,6.0,17,0.0,213.32,-0.0005763283360283822
328,0.937139248251915,1.338138552904129,2.09,0.9134140977263451,0.28327087717423516,144000,0.006025571146165021,5.1000000000000085,18,0.0,206.78,-0.0006330378155689686
332,0.942962384223938,1.346318292617798,2.12,0.8944297781586648,0.24088548993566988,152000,0.005862654263619333,7.200000000000017,19,0.0,205.77,0.00013182989554479717
338,0.9001661288738251,1.3597234654426575,2.08,0.9501259872317314,0.2640674293677865,160000,0.0070658447063760834,9.0,20,0.0,203.2,0.0007973271526861936
344,0.9300855028629303,1.3588903975486755,2.21,0.8642733553051949,0.23818908633345565,168000,0.005428953533410095,6.1000000000000085,21,0.0,210.07,-0.0013256050433847122
351,0.9544381737709046,1.3554353618621826,2.62,0.7883473059535027,0.23361224517221524,176000,0.004719482324144337,8.100000000000009,22,0.0,221.87,-0.00023722693877061828
358,0.9528918915987015,1.3476195335388184,2.3,0.6978713753819465,0.19825896519150876,184000,0.00402510936895851,6.200000000000017,23,0.0,212.4,0.00045838286016078203
365,0.949183492064476,1.3392418003082276,2.01,0.6671774420142174,0.18105851480973656,192000,0.003747159047634341,6.1000000000000085,24,0.0,200.45,-0.0007633925861955504
371,0.9320138257741928,1.3370871233940125,1.92,0.962520622909069,0.2683166964201326,200000,0.007508931279880926,6.0,25,0.0,199.19,-0.0011960088668274693
376,0.977615996003151,1.3352202939987183,2.07,0.5529023188352585,0.15524868479314924,208000,0.002288361479877494,6.0,26,0.0,204.89,-0.0010683661441726144
381,0.952119048833847,1.358038581609726,2.07,0.7705270671844482,0.20489548832206958,216000,0.004661167002050206,6.0,27,0.0,204.33,-2.356732031330466e-05
387,0.9488667982816696,1.362087390422821,1.6,0.7551862841844559,0.21034772722972853,224000,0.004748151978710666,5.0,28,0.0,187.6,-0.0010352598120334732
392,0.9071793496608734,1.3677849400043487,1.53,0.8059285974502564,0.22028008358801407,232000,0.005587784398230724,4.0,29,0.0,187.47,-0.0013290763776967651
397,0.9507705116271973,1.3566619157791138,1.8,0.7830880427360535,0.21249579928826134,240000,0.005043707857839763,5.0,30,0.0,195.09,-0.00010431908399823442
394,0.9261819612979889,1.3633637344837188,2.16,0.7512543477118016,0.20525575596181123,248000,0.004661400029726792,6.1000000000000085,31,0.0,205.86,-0.0008002019899868173
399,0.9030753314495087,1.3657379448413849,1.92,0.9486625990271569,0.2458371724448132,256000,0.006856602240586654,5.0,32,0.0,199.98,-0.00015312802985135933
